Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Me da mucho gusto estar de nuevo aquí con ustedes, en Acapulco, para darle seguimiento al plan de reconstrucción de Acapulco. Se va avanzando, yo diría que bastante, en beneficio de la población de Acapulco, de Coyuca, y hoy vamos a informar sobre esos avances.",0.0,45,15,02,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos aquí miembros de todo el gobierno: desde luego, la gobernadora Evelyn Salgado, la presidenta municipal, secretarios del gobierno federal y quienes desde los primeros momentos del huracán han estado trabajando en la reconstrucción, en el apoyo a la gente de Acapulco.",0.0,42,15,02,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a iniciar. Al final, queremos invitarles a que puedan constatar un desembarco de equipos de electrodomésticos, de enseres que provienen de China, que han llegado al puerto de Lázaro Cárdenas ya varios barcos, y se trae esa carga de electrodomésticos hasta Acapulco, se hace por tierra y se hace por mar. Y es algo que queremos también destacar, por el compromiso responsable del gobierno hermano de la República Popular de China, le hicimos al presidente de China esta solicitud y están cumpliendo, incluso antes de lo pactado. Están llegando los barcos de China con todos los electrodomésticos, con todos los enseres.",0.0,102,15,02,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y lo que se está adquiriendo en el mercado nacional ya significa una cantidad considerable, ya estamos hablando de alrededor de 190 mil paquetes entregados, 190 mil paquetes. Esto lo va a informar el secretario de la Defensa, el general Sandoval. No sé si entregados o en proceso, pero esa es la cantidad, 190 mil refrigeradores, 190 mil estufas, y así otros electrodomésticos.",0.0,63,15,02,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Me da mucho gusto estar aquí, repito, en Acapulco. Decirle a la gente de Acapulco, de Coyuca, que no están solos, que siempre van a contar con nosotros.",0.0,28,15,02,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Y ahora sí comenzamos.,0.0,4,15,02,2024
LUISA MARIA ALCALDE LUJAN," Con su permiso, presidente. Buenos días a los medios de comunicación, a los que nos escuchan.",0.0,16,15,02,2024
LUISA MARIA ALCALDE LUJAN,"El día de hoy vamos a hacer el recuento de las acciones que hemos realizado desde el Gobierno de México, por supuesto en coordinación con el gobierno estatal y los gobiernos municipales, tanto de Acapulco como de Coyuca de Benítez.",0.0,40,15,02,2024
LUISA MARIA ALCALDE LUJAN,"Antes que nada, agradecer muchísimo la solidaridad de todo el pueblo de México, de ciudadanos de todas las entidades federativas; por supuesto, de empresarios, de organizaciones de empresarios, del Consejo Coordinador Empresarial, y muchos otros pequeños, medios y grandes empresarios que han sido muy solidarios con Acapulco.",0.0,47,15,02,2024
LUISA MARIA ALCALDE LUJAN,"Informarles que actualmente están tres mil 435 funcionarios públicos en Acapulco que siguen colaborando todos los días; esto, por supuesto, sin contar las Fuerzas Armadas y Guardia Nacional.",0.0,28,15,02,2024
LUISA MARIA ALCALDE LUJAN,Tenemos a la fecha una inversión de 28 mil 463 millones de pesos a través de las diferentes acciones que hemos venido informando por todo el Gobierno de México.,0.0,29,15,02,2024
LUISA MARIA ALCALDE LUJAN,"También, queremos iniciar, aprovechar informando que vamos a ampliar el apoyo al no pago de electricidad, del servicio eléctrico, por parte de la Comisión Federal de Electricidad. Iba a concluir el último día de febrero, se va a ampliar dos bimestres más, es decir, no habrá pago para marzo y abril, ni para mayo y junio. Todo esto porque sabemos que vienen épocas de calor, viene la Semana Santa, viene el verano, viene un gasto importante, y para poder seguir colaborando y seguir ayudando, apoyando a las familias de Acapulco hacemos este anuncio donde se suspenderá este pago.",0.0,98,15,02,2024
LUISA MARIA ALCALDE LUJAN,"Por supuesto, pedirles que ahorremos, eso sí, la energía, que la utilicemos de forma racional. Pero sabemos que hay un compromiso de todas y de todos, pero ese sería un anuncio importante que queremos aprovechar en este momento.",0.0,38,15,02,2024
LUISA MARIA ALCALDE LUJAN,"Le vamos a pasar la palabra a la gobernadora y después vamos a ir dando el informe, como lo hemos estado dando en los últimos meses. Adelante, gobernadora.",0.0,28,15,02,2024
EVELYN CECIA SALGADO PINEDA," Muchas gracias, secretaria. Muy buenos días a todas y a todos. Con su permiso, señor presidente.",0.0,16,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Darle la bienvenida, una vez más, a nuestro hermoso puerto de Acapulco, que ya se convirtió, estoy segura, en una segunda casa para usted.",0.0,24,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Por supuesto, agradecer a todos y cada uno de los miembros del gabinete federal que nos acompañan.",0.0,17,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Y, bueno, pues expresarles una vez más el agradecimiento del pueblo de Acapulco y de Coyuca de Benítez por esa decisión de estar con nosotros desde el primer momento, de no soltarnos de la mano, de no dejarnos solos.",0.0,39,15,02,2024
EVELYN CECIA SALGADO PINEDA,El seguimiento personal de nuestro presidente ha sido fundamental para la reconstrucción de nuestro maravilloso puerto de Acapulco y de Coyuca de Benítez.,0.0,23,15,02,2024
EVELYN CECIA SALGADO PINEDA,"En primer término, quiero informar sobre la reactivación de lo que es nuestra principal industria y fuente de empleo, que es el turismo. Al respecto, hoy en día Acapulco cuenta con 167 hoteles en operación, que significan siete mil 110 habitaciones disponibles, esto corresponde a un 59 por ciento de los hoteles registrados. y significa un incremento del 56 por ciento en las habitaciones disponibles con respecto al mes anterior. Estos 167 hoteles están: 72 en la zona tradicional, 68 en la dorada, 17 en Acapulco Diamante y 10 en Pie de la Cuesta.",0.0,94,15,02,2024
EVELYN CECIA SALGADO PINEDA,"En cuanto al turismo de convenciones, pues decirles que con esta infraestructura hemos podido garantizar 20 convenciones importantes en nuestro puerto, mismas que significan la participación de más de 36 mil personas.",0.0,32,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Es importante el calendario de eventos, pues reafirma la confianza en Acapulco y proyecta para el primer trimestre del año una derrama económica de cuatro mil 377 millones de pesos y para el segundo trimestre una derrama de cinco mil 44 millones de pesos.",0.0,44,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Dentro de los eventos destacan el turismo deportivo, particularmente lo que es el Abierto de Tenis, que va a tener lugar del 26 de febrero al 2 de marzo con una asistencia estimada diaria de más de 10 mil personas; y el Abierto Mexicano, también, de Pádel Tenis, el evento más importante que se tiene a nivel nacional para este deporte. Ahí, reconocemos el impulso de todos los que han hecho posible mantener estos grandes eventos aquí en Acapulco.",0.0,79,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Respecto a la reactivación económica, les informamos que, con referencia a la reapertura de centros de consumo, informamos la operación de 287 de las principales tiendas del puerto. Esto significa una operación ya del 96 por ciento.",0.0,37,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Con respecto a los servicios bancarios, mantenemos la información de que ya se encuentran normalizado el servicio en prácticamente todo el municipio a través de las distintas financieras que tienen presencia en el puerto.",0.0,34,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Con referencia a un punto muy importante, y que por supuesto es donde hemos centrado también muchas de las fuerzas los tres órdenes de gobierno, es con referencia a la limpieza y al retiro de basura y escombro. Queremos informarles que continuamos trabajando de la mano de la federación y del municipio atendiendo los puntos rojos que pudieran prevalecer aún en algunas colonias del municipio.",0.0,65,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Durante el mes de enero retomamos las actividades en las distintas zonas de responsabilidad. Hemos estado trabajando todos los días con división de áreas, están compañeras y compañeros trabajando en las diferentes colonias, en los diferentes sectores. Y al momento tenemos un corte de 882 mil 590 toneladas de basura y escombro retiradas de las calles, lo que equivale a 117 mil 822 viajes de camiones de volteo y mil 910 kilómetros lineales intervenidos.",0.0,74,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Para esto se logró con el apoyo de servidoras, servidores públicos, de casi 300 jóvenes del programa Construyendo el Futuro; también, más de 168 vehículos, maquinaria, retroexcavadoras, camiones de volteo que han estado trabajando con el tema de la limpieza en Acapulco. No hemos descansado, no vamos a dejar solo ni a Acapulco ni a Coyuca de Benítez en este punto que es muy importante, vamos a seguir trabajando en labores de limpieza.",0.0,73,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Con respecto de las personas fallecidas y los esfuerzos también en la búsqueda de personas, informar que, de acuerdo con los datos presentados por la Fiscalía General del estado, tenemos el registro permanente de 52 personas fallecidas, de las cuales 46 personas fueron entregadas a sus familiares.",0.0,47,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Se continúan los esfuerzos de búsqueda, mantenemos el registro de estas 32 personas, en la cual se siguen realizando estas búsquedas, tanto en mar como en tierra.",0.0,27,15,02,2024
EVELYN CECIA SALGADO PINEDA,Quiero concluir esta intervención con el reconocimiento a todas y a todos los que se han sumado a este esfuerzo por la reconstrucción de nuestro maravilloso puerto de Acapulco y Coyuca de Benítez.,0.0,33,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Estos municipios han cambiado mucho en estos cuatro meses, hoy ambas ciudades están brillando con fuerza, hoy las familias tienen en su hogar esa esperanza de un futuro de luz, de paz y de bienestar, todo gracias al apoyo de nuestro presidente Andrés Manuel López Obrador, por supuesto del gabinete federal y de todas y de todos los que se han sumado a este gran esfuerzo con espíritu de lucha, con resiliencia, y a la alegría, por supuesto voluntad y trabajo de un pueblo que no sabe rendirse, como es el pueblo guerrerense.",0.0,93,15,02,2024
EVELYN CECIA SALGADO PINEDA,"Muchas gracias. Y nuevamente sea bienvenido, señor presidente.",0.0,8,15,02,2024
EVELYN CECIA SALGADO PINEDA,Es cuanto.,0.0,2,15,02,2024
JOSE RAFAEL OJEDA DURAN," Con su permiso, señor presidente.",0.0,5,15,02,2024
JOSE RAFAEL OJEDA DURAN,"Vamos a dar la información con respecto a las acciones de búsqueda en la mar. Desde el 28 de noviembre hasta el día 13 de febrero se han llevado a cabo 12 reuniones con los familiares de las personas desaparecidas y desde luego con instituciones como esta Secretaría de Marina, la Fiscalía General del estado y el Ministerio Público de aquí del municipio de Acapulco.",0.0,65,15,02,2024
JOSE RAFAEL OJEDA DURAN,"Desde esa fecha que les comenté, se han llevado 78 búsquedas: 49 son marítimas, 19 en tierra y 10 áreas. Y, desde luego, todo esto se ha fortalecido con equipos como son drones submarinos, con sondas multihaz y embarcaciones con ecosondas monohaz.",0.0,42,15,02,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se lleva a la fecha embarcaciones con personas desaparecidas, tenemos 15; localizadas 11; pendientes por localizar, cuatro; personas desaparecidas que no hemos podido localizar a la fecha, 24.",0.0,31,15,02,2024
JOSE RAFAEL OJEDA DURAN,"Como les dije anteriormente cinco drones submarinos estamos empleándolos ecosondas multihaz, dos; siete embarcaciones que traen ecosondas monohaz; buzos, son 70 los que están trabajando. Y a la fecha se han llevado siete mil 93 inmersiones.",0.0,36,15,02,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a embarcaciones localizadas en Acapulco, 448 se han localizado; en Puerto Marqués, 25; y de esas, se han recuperado en Acapulco 75, en Puerto Marqués 21.",0.0,31,15,02,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a abastecimientos de comida, se han repartido un total de un millón 963 mil 816 despensas y dos millones 431 mil 221 canastas básicas.",0.0,29,15,02,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a la preparación de comidas calientes y entrega de tortillas, a la fecha se han repartido comidas, tres millones 377 mil 335, y 259 mil 577 kilos de tortillas.",0.0,34,15,02,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiera a abastecimiento de agua potable, se ha repartido un total a la fecha de siete millones 377 mil 683 litros de agua para beber; de las 17 plantas potabilizadoras que se instalaron, se han repartido más de siete millones de litros de agua. Y en lo que se refiere a pipas, 156 pipas han repartido hasta la fecha 26 millones 886 mil litros de agua potable.",0.0,71,15,02,2024
JOSE RAFAEL OJEDA DURAN,Le cedo la palabra al general.,0.0,6,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ," Con su permiso, señor presidente.",0.0,5,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Bien, sobre la aplicación del Plan DN-III-E, el Plan Marina y el Plan de la Guardia Nacional, tenemos aquí trabajando en Acapulco y en Coyuca un total de 17 mil 583 elementos: mil 83 de la Secretaría de Marina, seis mil 500 de la Secretaría de la Defensa y 10 mil de la Guardia Nacional, apoyados con aeronaves, con embarcaciones, con maquinaria pesada, plantas potabilizadoras y pipas de agua.",0.0,69,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Sobre la seguridad que está encargada la Guardia Nacional con estos 10 mil elementos, se están realizando tareas de patrullaje, de control de tránsito y seguridad a inmediaciones de estaciones de gasolina, centros comerciales, bancos, restaurantes, también en las vías de comunicación, en vigilancia, en casetas de cobro, el reforzamiento de la seguridad en playas y áreas marítimas, el apoyo a la Secretaría del Bienestar, principalmente en las sedes donde se hace el pago de los recursos de programas sociales, y también a empresas de participación estatal mayoritaria como Pemex y Comisión Federal de Electricidad.",0.0,95,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Sobre el plan de seguridad que se implementó para Acapulco y Coyuca, ya tenemos divididos los dos municipios en 20 sectores para Acapulco y un sector en Coyuca, en ellos se van a construir 21 instalaciones para alojar a la Guardia Nacional y dos unidades habitacionales para que las familias del personal de la Guardia puedan tener dónde vivir. De estas 21 instalaciones, se harán dos de tipo batallón con una capacidad de 750 elementos, siete para alojar a 250 elementos y 12 tipo 2 que serán para alojar a 60 elementos.",0.0,92,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Todo el recurso que necesitamos para la construcción ya está disponible, ya lo tiene la Secretaría de la Defensa para que los ingenieros militares inicien la construcción a partir de la primera semana de marzo.",0.0,35,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Sobre la entrega de los paquetes que están integrados con el refrigerador, estufa, colchón, vajilla, ventilador y licuadora, se han entregado hasta el 14 de febrero 190 mil 750 paquetes que han llegado a la población, nos faltan por entregar 59 mil 250.",0.0,43,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"También, para informar que, de todos los enseres que se adquirieron en China, se han recibido 41 mil 464 refrigeradores y 18 mil 747 estufas; están pendientes 15 mil 628 refrigeradores y 14 mil 410 estufas.",0.0,36,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"De los enseres que se adquirieron a lo que es las empresas nacionales, se han recibido 151 mil 488 refrigeradores y 172 mil ocho estufas; están pendientes 41 mil 420 refrigeradores y 44 mil 840 estufas.",0.0,36,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí en la siguiente lámina podemos observar en los movimientos el arribo de los buques, son siete buques. Inicialmente eran ocho buques que iban a llegar de China; gracias a que la fabricación fue más rápido, pudieron ellos en siete buques se está contemplando ya el concentrar todos estos refrigeradores y estufas acá a Lázaro Cárdenas. De tal manera que están cinco ya, que han llegado.",0.0,66,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Ahorita tenemos en Lázaro Cárdenas el quinto buque y el día 17 está proyectado el arribo del sexto y el día 19 de febrero del séptimo, y con esto concluiríamos toda la transportación de enseres procedentes de China.",0.0,38,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"El procedimiento que hemos empleado para el manejo de estos enseres es: cuando arriban a Lázaro Cárdenas, en los buques se hacen los trámites administrativos, la descarga; después, hay una inspección de enseres, se carga en los buques de Semar y los tractocamiones de Sedena, todo lo que se va a venir hacia acá por mar y por tierra, aquí al puerto de Acapulco; posteriormente, llegan los buques, llegan los tractocamiones, se descargan y se integran los kits de los enseres con todos los demás enseres que los integran, y se hace la distribución a la población. Eso es lo que estamos realizando.",0.0,103,15,02,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,Y cedo la palabra a la secretaria del Bienestar.,0.0,9,15,02,2024
ARIADNA MONTIEL REYES, Buenos días. Con el permiso del señor presidente.,0.0,8,15,02,2024
ARIADNA MONTIEL REYES,"Como ustedes saben, el plan de reconstrucción en materia de viviendas y locales que fueron entregados ocho mil pesos para la limpieza de estas viviendas, de 35 a 60 mil pesos para la reconstrucción también de las viviendas, 45 mil pesos para los locales comerciales y la inversión social es de 15 mil 275 millones de pesos.",0.0,57,15,02,2024
ARIADNA MONTIEL REYES,"Sobre el tema del avance de los pagos de limpieza, hemos entregado 301 mil 76 apoyos de limpieza; la primera parte de reconstrucción de las viviendas, 293 mil 143 familias han recibido su apoyo; y el segundo pago de reconstrucción de viviendas, 291 mil 552, y se han apoyado a 30 mil 196 locales.",0.0,54,15,02,2024
ARIADNA MONTIEL REYES,"Hemos hecho una tarea muy importante, que es hacer una verificación de la reconstrucción de las viviendas, hemos ido nuevamente casa por casa a ver cómo van avanzando en la reconstrucción para apoyar también a las familias, qué es lo que hace falta. A veces se plantea el tema de material y demás.",0.0,53,15,02,2024
ARIADNA MONTIEL REYES,Dividimos Acapulco y Coyuca en 200 zonas de trabajo y hemos verificado 75 mil 616 viviendas.,0.0,16,15,02,2024
ARIADNA MONTIEL REYES,"El presidente de la República va a otorgar un certificado a las personas que ya hayan hecho su reconstrucción, como aquí él se había comprometido, y el día de hoy estamos en esta tarea.",0.0,34,15,02,2024
ARIADNA MONTIEL REYES,"Mantenemos aquí el equipo de trabajo de la Secretaría de Bienestar, dos mil 336 servidores de la nación continúan en actividades de apoyo a la población.",0.0,26,15,02,2024
ARIADNA MONTIEL REYES,"Y aquí les presentamos algunas fotografías, el avance del trabajo de las familias en la reconstrucción de sus viviendas, también de local.",0.0,22,15,02,2024
ARIADNA MONTIEL REYES,"Se han distribuido apoyos también a campesinos a pescadores que tuvieron afectaciones, 34 mil 609 de ellos han recibido este apoyo, con una inversión de 259.5 millones de pesos.",0.0,29,15,02,2024
ARIADNA MONTIEL REYES,"Respecto a la reconstrucción de escuelas, con el programa La Escuela es Nuestra se han establecido 928 comités escolares que dirigen los padres de familia. Ya se les entregaron sus tarjetas del Banco del Bienestar, ya se hizo la dispersión y ellos están realizando su plan de trabajo para la utilización de sus recursos. Se lleva un avance del 97 por ciento, con una inversión de 314 millones de pesos.",0.0,70,15,02,2024
ARIADNA MONTIEL REYES,"Respecto a los Créditos a la Palabra, 152 hoteles de una, dos y tres estrellas han recibido su crédito, 231 restaurantes ya también lo recibieron y hacia el fin de semana se entregarán cerca de 400 adicionales.",0.0,37,15,02,2024
ARIADNA MONTIEL REYES,"También, hemos atendido a prestadores de servicios turísticos, como guías de turistas, informadores de hoteles, en un número de 654. Y permanentemente estamos atendiendo a estos sectores que dependen de la actividad turística.",0.0,33,15,02,2024
ARIADNA MONTIEL REYES,Y hemos entregado mil 37 apoyos a comercios diversos con el apoyo y el trabajo de la Financiera para el Bienestar.,0.0,21,15,02,2024
ARIADNA MONTIEL REYES,"Respecto a los Programas de Bienestar, continúan su operación, 46 mil 583 familias se han incorporado a las becas, a las pensiones, al programa de Jóvenes Construyendo el Futuro, y esto se suma a 212 mil beneficiarios que ya venían recibiendo sus apoyos en los programas y becas y pensiones de Bienestar aquí en Acapulco y Coyuca.",0.0,57,15,02,2024
ARIADNA MONTIEL REYES,"También, se ha establecido un esquema de créditos y préstamos a los trabajadores del Seguro Social y del Issste.",0.0,19,15,02,2024
ARIADNA MONTIEL REYES,"En el caso del Infonavit, tiene cuatro estrategias: la prórroga del pago del crédito, el reporte de seguro de daños para que también las aseguradoras les apoyen con recursos de estos seguros, también algunos trabajadores han retirado recursos de su cuenta de vivienda para ayudarse en su reconstrucción, y hay un fondo de 331 millones de pesos para la rehabilitación de espacios comunes en la Unidad Habitacional El Coloso y Alto Progreso en materia del Infonavit.",0.0,76,15,02,2024
ARIADNA MONTIEL REYES,Fovissste ha levantado cinco mil 810 reportes de daños para que el seguro también aplique en estas viviendas con crédito de Fovissste. Y en el caso del Issste se han prestado cinco mil 510 apoyos a los trabajadores del Issste.,0.0,40,15,02,2024
ARIADNA MONTIEL REYES,"Muy bien. Y, bueno, estas son las fotos del trabajo de los jóvenes que han estado participado en las calles limpiando.",0.0,21,15,02,2024
ARIADNA MONTIEL REYES,"Y vamos a presentar un proyecto que el presidente nos pidió desde que estuvimos realizando el censo. Queremos levantar la imagen urbana de Acapulco. En el segundo pago de reconstrucción se le preguntó a la gente sobre qué color le gustaría que fuera el nuevo Acapulco y cada quien dio su opinión, todos y cada uno de los que reciben este apoyo. Y, bueno, estos son los colores los que se consultaron, de esta manera se consultó, seguramente quienes viven aquí así lo marcaron. Y, bueno, esta es la paleta del color, del 1 al 10 es el ranking de los colores que escogió la gente.",0.0,106,15,02,2024
ARIADNA MONTIEL REYES,"Bueno, estos son ejemplos de otras ciudades aquí en México, en otros países, donde también pueden participar muralistas.",0.0,18,15,02,2024
ARIADNA MONTIEL REYES,"Hicimos el cálculo de fachadas, cuánto miden las fachadas, para hacer un cálculo general, hicimos este estudio del tipo de fachadas y sacamos un cálculo de 58 metros cuadrados por vivienda para hacer todo el cálculo de la pintura. Y, bueno, los materiales que vamos a utilizar, y lo vamos a realizar con los Jóvenes Construyendo el Futuro y obviamente con el apoyo del pueblo.",0.0,65,15,02,2024
ARIADNA MONTIEL REYES,Muchísimas gracias. Buenos días.,0.0,4,15,02,2024
ROMAN MEYER FALCON," Con su permiso, señor presidente. Muy buenos días a todos y a todas.",0.0,13,15,02,2024
