Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIEGO PRIETO HERNADEZ," Muy buenos días, presidente, secretaria, secretario, amigas y amigos de los medios de comunicación y todas las personas que nos siguen a través de las diversas plataformas de comunicación audiovisual.",0.0,30,28,02,2024
DIEGO PRIETO HERNADEZ,"Hoy es un gran día para la arqueología mexicana, es un gran día también para la cultura maya de México y de Mesoamérica en el presente. Por primera vez, la gran ciudad maya de Chichén Itzá, esta zona arqueológica inmensa, que es patrimonio de la humanidad, va a contar con un museo, un museo que se necesitaba mucho porque representa la posibilidad de presentar los testimonios de quienes construyeron, significaron y le dieron grandeza a la gran ciudad, estado de Chichén Itzá, esta ciudad que prevaleció en el periodo que conocen algunos como posclásico temprano, otros como epiclásico, entre el año 900 y 1200 de nuestra era.",0.0,107,28,02,2024
DIEGO PRIETO HERNADEZ,"Esta, que es la zona arqueológica que hoy por hoy recibe el mayor número de visitantes en México y en el continente americano, más de dos y medio millones de visitantes en promedio al año que muy probablemente este año se convertirán en una visita por arriba de tres millones de personas, hoy estamos recibiendo alrededor de ocho mil personas cada día en Chichén Itzá.",0.0,65,28,02,2024
DIEGO PRIETO HERNADEZ,"Y ahora los visitantes podrán contar con un museo en forma que nos permitirá exhibir el resultado de décadas de excavaciones e investigación, pero también del trabajo reciente que se ha hecho gracias a que, junto con el proyecto integral Tren Maya, se ha hecho una gran labor de salvamento arqueológico y se ha instruido, por indicaciones del presidente, un Programa de Mejoramiento de Zonas Arqueológicas.",0.0,66,28,02,2024
DIEGO PRIETO HERNADEZ,"Él ha dicho que la manera de fortalecer este sistema de comunicación es generar la posibilidad de que los millones de turistas que llegan a nuestro país a través del aeropuerto de Cancún y ahora del aeropuerto internacional de Tulum puedan internarse a atractivos culturales, como lo son las zonas arqueológicas.",0.0,51,28,02,2024
DIEGO PRIETO HERNADEZ,"Vamos a presentar ahora un video general, presidente, sobre el significado de Chichén Itzá en la historia de la nación maya y después una probadita de lo que es ya una realidad: el Gran Museo de Chichén Itzá. Adelante.",0.0,39,28,02,2024
DIEGO PRIETO HERNADEZ, Ahora un breve video que explica un poco la conformación del gran museo de Chichén Itzá,0.0,16,28,02,2024
DIEGO PRIETO HERNADEZ," Dentro de unos momentos saldremos en el Tren Maya desde aquí, de la Ciudad Palenque hacia Chichén Itzá para inaugurar este museo, que cuenta con más de 400 piezas originales, pero también con una serie de réplicas o reproducciones.",0.0,39,28,02,2024
DIEGO PRIETO HERNADEZ,"Por ejemplo, la gente va a poder conocer la estructura que se encuentra debajo del castillo, el edificio más conocido de Chichén Itzá. Abajo hay un templo que, ya por condiciones de conservación, ya no se visita por todo el público, pero ahora lo van a poder conocer con su chac mool, con su altar del jaguar rojo, su trono del jaguar rojo y con el gran friso que preside a este templo. También, va a haber una serie de dispositivos audiovisuales en dos mil 800 metros cuadrados de áreas de exhibición y mil 300 metros cuadrados de áreas de servicio a visitantes.",0.0,103,28,02,2024
DIEGO PRIETO HERNADEZ,"Las piezas provienen del Museo Regional de Antropología de Yucatán, Palacio de Cantón, del gran Museo del Mundo Maya que generosamente ha proporcionado piezas, pero también de las piezas que se encontraban en la propia ciudad de Chichén Itzá y de muchas otras que provienen de las excavaciones recientes de salvamento arqueológico o del Promeza, Tren Maya.",0.0,57,28,02,2024
DIEGO PRIETO HERNADEZ,A partir de mañana la gente podrá visitar el gran Museo de Chichén Itzá. Enhorabuena.,0.0,15,28,02,2024
