Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DAVID AGUILAR ROMERO," Muy buenos días a todas y a todos ustedes. Señor presidente, buen día, excelente inicio de semana.",0.0,17,11,03,2024
DAVID AGUILAR ROMERO,Damos inicio en esta ocasión con los precios de los combustibles. Tenemos que para el 7 de marzo el precio de la mezcla mexicana de petróleo se cotizó en el mercado internacional en 73 dólares con 55 centavos.,0.0,38,11,03,2024
DAVID AGUILAR ROMERO,"En este caso, también para esa fecha, los precios promedio de los combustibles en el caso de la gasolina regular tuvimos el precio de 23 pesos con tres centavos el litro, en el caso de la premium tuvimos el precio de 24 pesos con 78 centavos y 24 pesos con 74 centavos promedio por litro del diésel.",0.0,57,11,03,2024
DAVID AGUILAR ROMERO,"A partir del viernes pasado, durante esta semana, tendremos incentivos fiscales: en el caso de la gasolina regular, 16.8 por ciento; en el caso del diésel, 8.8 por ciento; una vez más, la premium no tendrá incentivo fiscal.",0.0,38,11,03,2024
DAVID AGUILAR ROMERO,"Ahora, pasamos a los precios e indicadores de ganancia por marca. En el caso de las franquicias, y a inicios de marzo, tuvimos que nuevamente Arco y Chrevron están dentro de las más careras y con índices, indicadores de ganancia más altos, al igual que Oxxo Gas, pero también seguimos con buenas noticias en el caso de Orsan, Hidrosina y G500 como aquellas franquicias que en términos nacionales por su marca están siendo las aliadas del consumidor.",0.0,77,11,03,2024
DAVID AGUILAR ROMERO,"Pasamos ahora por tipo de combustible, y estamos con la gasolina regular, donde encontramos un caso curioso que les voy a comentar: en el caso de Petro Seven, la empresa Petro Max S.A. de C.V., allá en Apodaca, Nuevo León, tuvo un precio para la regular bastante alto, 25 pesos con 89 centavos y, un exceso, un indicador de ganancia de cinco pesos con 49 centavos; eso quiere decir que, de esos 25.89, 5.49 fueron de ganancia.",0.0,77,11,03,2024
DAVID AGUILAR ROMERO,"Y, sin embargo, tenemos también, en el caso de Centro, Tabasco, por la misma regular el litro en promedio lo tuvieron en 21 pesos con 58 centavos; pero también tuvimos un caso en el municipio de Monterrey, muy cerca ahí de Apodaca, en la misma zona metropolitana, una franquicia de Pemex que el precio lo tuvo en 21.59, una diferencia de cuatro pesos con 30 centavos respecto a la Petro Seven que les acaba de mencionar. Como lo podemos ver y como lo he comentado, no sólo es referente los precios, sino no se trata de comparar un precio por litro en Monterrey y compararlo en Tlaxcala, en la misma zona metropolitana en varias ocasiones, como lo hemos mencionado, en la misma ciudad, a veces con distancias de no más de tres, cuatro kilómetros las diferencias suelen de tres hasta cuatro pesos.",0.0,142,11,03,2024
DAVID AGUILAR ROMERO,"En el caso de la gasolina premium nos encontramos en Culiacán, Sinaloa, con el litro promedio a 27 pesos con 11 centavos; tuvimos precios también de Oxxo Gas en Apodaca, Nuevo León, también de 26.99, por ejemplo, una franquicia de Pemex en Zapopan, 26.97; ahí los indicadores de ganancia se han mantenido hasta cierto punto estables aun en los precios altos de la premium, estamos con indicadores de 2.10, 3.96, 2.89.",0.0,71,11,03,2024
DAVID AGUILAR ROMERO,"Sin embargo, nos encontramos con la misma gasolina premium en el puerto de Veracruz, una franquicia de Pemex proveedora de Combustibles y Lubricantes JT, S.A. de C.V., nos dio el litro en promedio a 22 pesos con 99 centavos, y también nos encontramos, por ejemplo, LaGas, en Umán, Yucatán, a 23.19; en Ciudad Madero, franquicia Pemex, 23.20; Servifácil, allá en Tuxtla Gutiérrez, 23.39. Indicadores de ganancia de 23 centavos, 26 centavos. Como vemos, una diferencia también en el caso de la premium de cuatro pesos con 12 centavos respecto a la gasolinera antes mencionada, la de Pemex. Acá tuvimos a Redpetroil con un precio, cuatro pesos con 12 centavos por debajo de la anterior.",0.0,114,11,03,2024
DAVID AGUILAR ROMERO,"En el caso del diésel, y su importancia a nivel nacional en la economía, sobre todo, nos encontramos desgraciadamente con Pemex gasolinera Curutarán, allá en Jacona, Michoacán, con un precio de 26 pesos con 89 centavos por litros. Y precios similares en el resto del país, los menos, porque también nos encontramos con otra franquicia de Pemex, Santa Fe Gas & Oil, allá en Cadereyta, Nuevo León, el litro de diésel la semana pasada 22 pesos cerrados, solamente 22 pesos en el caso de Puebla, en la capital de ese estado, Mobil, por ejemplo, estuvo en 23.19, Usfuel, allá en Chihuahua, en su capital, 23.42; Pemex, en Coatzacoalcos, 23.59. precios alrededor de los 23.50 como vemos, en el caso del diésel.",0.0,121,11,03,2024
