Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ARIADNA MONTIEL REYES, Buenos días.,0.0,2,18,03,2024
ARIADNA MONTIEL REYES,"Con el permiso del presidente, vamos a informar sobre los avances del plan de atención a los afectados por el huracán Otis en Acapulco y Coyuca de Benítez. Respecto al plan de reconstrucción, hemos apoyado a más de 300 mil viviendas con apoyos que van entre los 43 mil y 68 mil pesos, más de 30 mil locales comerciales que han recibido 45 mil pesos; en suma, 15 mil 275 millones de pesos se han destinado para la recuperación del bienestar de las familias. También se apoyó a pequeños productores, tanto campesinos como pescadores de Acapulco y de Coyuca, 34 mil 609 de ellos han recibido sus apoyos con una inversión de 259.5 millones de pesos.",0.0,116,18,03,2024
ARIADNA MONTIEL REYES,"Respecto al tema de educación, está ya el 100 por ciento de estudiantes en clases, el regreso a clases se hizo de manera paulatina y el 100 por ciento de las escuelas ya están en actividades; 928 escuelas de educación básica ya son beneficiarias del programa La Escuela es Nuestra. A través de los comités escolares se están reconstruyendo las escuelas y se entregó este apoyo a la totalidad de estas escuelas, con una inversión de 314 millones de pesos.",0.0,80,18,03,2024
ARIADNA MONTIEL REYES,"También, se entregaron 475 mil nuevos libros de texto gratuito, que se perdieron básicamente por el tema del agua que entró a las casas y el viento que se llevó los techos, y también 76 escuelas de educación media superior están por recibir el apoyo económico para su reconstrucción.",0.0,49,18,03,2024
ARIADNA MONTIEL REYES,"En el caso de salud, durante la emergencia, mil 685 profesionales de la salud estuvieron concentrados atendiendo a la población en casi 400 mil atenciones de todo tipo. Y también aquí agradecer a los gobiernos de los estados, que llegaron personal a apoyar al sector salud de Guerrero. Y el IMSS-Bienestar y el IMSS ordinario y el Issste están rehabilitando diversos hospitales de región allí en Acapulco, principalmente. Y también, en el caso de IMSS-Bienestar, se está desplegando la estrategia que ya se ha informado en los temas de salud.",0.0,90,18,03,2024
ARIADNA MONTIEL REYES,"Respecto a los programas de Bienestar, 245 mil 980 personas son derechohabientes o beneficiarios de los diversos programas, casi 50 mil beneficiarios se incorporaron en esta emergencia y 61 mil 742 familias se beneficiaron con el Tianguis del Bienestar.",0.0,39,18,03,2024
ARIADNA MONTIEL REYES,"Para la reactivación económica se han entregado 230 Créditos a la Palabra para hoteles de una, dos y tres estrellas. Han recibido también estos créditos mil 266 restaurantes, 892 prestadores de servicios turísticos como guías de turista, informadores de hoteles, los clavadistas de La Quebrada, han recibido estos créditos, y 951 locales de mercados también han recibido este apoyo.",0.0,59,18,03,2024
ARIADNA MONTIEL REYES,"Tenemos ya registradas 16 mil 85 solicitudes de estos créditos a pequeños comercios, que se les estarán entregando en el transcurso de las dos semanas siguientes. La inversión será de 500 millones de pesos para esta reactivación económica del pequeño comercio.",0.0,41,18,03,2024
ARIADNA MONTIEL REYES,"En el caso de créditos y préstamos para los trabajadores del IMSS y del Issste, tanto Infonavit, Fonacot, Fovissste e Issste establecieron estrategias para que se aplicaran los seguros de daños que aplican para quienes tienen créditos, prórrogas para estos créditos, para iniciar a pagar en seis meses, y también se han hecho préstamos a los trabajadores y nuevos créditos.",0.0,60,18,03,2024
ARIADNA MONTIEL REYES,"La Comisión Nacional del Agua trabaja en 58 acciones de fortalecimiento a la infraestructura para el abastecimiento del agua potable, la captación y también la detección y reparación de fugas, almacenamiento, rebombeo para generar la potabilización del agua, se trabaja en colectores y en las plantas de tratamiento. Nueve acciones de estas 58 son de saneamiento, que esto es muy importante, el desazolve y el retiro de basura y escombro que impactó a la infraestructura hidráulica. La inversión es de 667.9 millones de pesos. Y también se trabaja en la perforación de un pozo profundo.",0.0,95,18,03,2024
ARIADNA MONTIEL REYES,"Adelante. En el caso de la Comisión Federal de Electricidad, garantizó el restablecimiento total del suministro eléctrico, que, como ustedes vieron, miles de trabajadores, 3 mil 658 de ellos, realizaron una labor titánica para restablecer el alumbrado público, pero también para realizar un recorrido casa por casa y restituir el suministro eléctrico en las viviendas. Se invirtieron 145.6 millones de pesos para esta estrategia de restablecer la energía eléctrica, tanto en Acapulco como en Coyuca.",0.0,75,18,03,2024
ARIADNA MONTIEL REYES,"En materia de desarrollo urbano y territorial, se realizan 130 acciones de obra comunitaria en la recuperación de canchas deportivas, mercados, centros de desarrollo comunitario, parques, plazas, corredores, una estrategia general de mejoramiento integral de los barrios con iluminación, vegetación y señalética, y también se trabaja en el proyecto de semaforización de Acapulco de 65 cruces del puerto; 417 millones de pesos se invierten en esta estrategia.",0.0,67,18,03,2024
ARIADNA MONTIEL REYES,"Es cuanto, presidente. Buenos días",0.0,5,18,03,2024
