Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
EVELYN SALGADO PINEDA," Muchas gracias. Muy buenos días a todas, a todos. Con su permiso, señor presidente.",0.0,14,18,03,2024
EVELYN SALGADO PINEDA,"Agradezco una vez más la oportunidad de participar en esta conferencia, sobre todo en un día tan especial, como es el aniversario de la expropiación petrolera, un día icónico para nuestra soberanía nacional.",0.0,33,18,03,2024
EVELYN SALGADO PINEDA,"Aprovecho también para reiterar el agradecimiento del pueblo de Guerrero al Gobierno de México, que encabeza nuestro presidente Andrés Manuel López Obrador, por todo el respaldo y el apoyo otorgado a Guerrero.",0.0,32,18,03,2024
EVELYN SALGADO PINEDA,"La principal actividad económica, ustedes lo saben, tanto de Acapulco como de Coyuca de Benítez es, sin duda, el turismo. En este sentido, trabajamos de la mano de este sector y, por supuesto, los tres niveles de gobierno para impulsar una recuperación importante que nos ha permitido lograr hasta este momento la reapertura de 180 hoteles, que representan ocho mil 326 habitaciones, esto corresponde a un 68 por ciento de la oferta hotelera registrada y es un número que día con día ha ido aumentando. De esos 180 hoteles, 76 se encuentran en la zona tradicional, 70 en la Dorada, 22 en Diamante y 12 en Pie de la Cuesta.",0.0,110,18,03,2024
EVELYN SALGADO PINEDA,"Esta importante recuperación del sector fue posible en gran medida gracias al trabajo para el restablecimiento de las comunicaciones y sobre todo de la infraestructura carretera, al trabajo que coordinó la SICT para que en 11 días se restableciera la circulación en 23 puntos carreteros, con la participación de 110 personas, 126 maquinarias.",0.0,53,18,03,2024
EVELYN SALGADO PINEDA,"Tenemos en ese sentido algunas imágenes más importantes, como son los tramos de la carretera Acapulco-Chilpancingo, el libramiento norte de Acapulco, la autopista del Sol, que, por supuesto, tuvieron afectaciones, pero que hoy se encuentran totalmente transitables.",0.0,37,18,03,2024
EVELYN SALGADO PINEDA,"Con referencia al aeropuerto de Acapulco, nos da mucho gusto informar que ya se ha concluido con la confinación al 100 por ciento del perímetro, la torre de control ya está funcionando, la cubierta del edificio terminal también ya fue restaurada, la zona de aviación general fue impermeabilizada, las bandas de equipaje restauradas y ya todo está operando. Esto significa un avance del 85 por ciento en el proceso de reconstrucción. Y gracias a este gran trabajo, también se va a poder restablecer vuelos internacionales desde y hacia Dallas y Houston a partir del mes de mayo.",0.0,97,18,03,2024
EVELYN SALGADO PINEDA,"Otro gran rubro que fue recuperado y que también fue restablecido fue el de telecomunicaciones, sobre esto yo quiero informar, la recuperación de la comunicación móvil y fija, así como la recuperación de internet, radiodifusión y conectividad satelital.",0.0,38,18,03,2024
EVELYN SALGADO PINEDA,"Seguimos trabajando de la mano, esto es lo que corresponde a todos los proyectos que han venido realizado el Gobierno de México, todo el gabinete, también las acciones realizadas a través de la SICT. Y por supuesto, todo esto ha ayudado enormemente a cambiarle al rostro a nuestro maravilloso puerto de Acapulco y a Coyuca de Benítez.",0.0,57,18,03,2024
EVELYN SALGADO PINEDA,"También, nos ha permitido que el renacer de Acapulco sea mucho más rápido al ofrecer la infraestructura necesaria para los grandes eventos y convenciones que ya se han anunciado en este mismo espacio, como el propio Tianguis Turístico 2024, que ya será mencionado en unos momentos y que gracias al apoyo del Gobierno de México este año se queda en su casa, que es Acapulco; la Convención Bancaria también, cuyo acertado lema ‘El progreso de México es responsabilidad compartida’. Esto reafirma el compromiso de todos los sectores con Guerrero y especialmente con nuestro hermoso puerto de Acapulco y Coyuca de Benítez.",0.0,101,18,03,2024
EVELYN SALGADO PINEDA,"Reitero el agradecimiento y reconocimiento del gobierno de Guerrero y de todo su pueblo, quienes han trabajado sin descanso por el renacer de Acapulco, de Coyuca.",0.0,26,18,03,2024
EVELYN SALGADO PINEDA,"Agradecer a todos los pueblos hermanos de todo México que nos estuvieron apoyando en todo momento, organizaciones de la sociedad civil, empresarias, empresarios, asociaciones, al Gobierno de México por supuesto, a todas las secretarias, secretarios, gobernadoras, gobernadores. Muchas gracias por todo su apoyo. Vamos a seguir trabajando de la mano por el renacer de Acapulco.",0.0,55,18,03,2024
EVELYN SALGADO PINEDA,"Es cuanto, presidente. Muchas gracias.",0.0,5,18,03,2024
