Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS RODRIGUEZ BUCIO," Con su permiso, señor presidente. Muy buenos días.",0.0,8,05,03,2024
LUIS RODRIGUEZ BUCIO,"Voy a presentar el avance de ‘Cero impunidad’ del 20 de enero al 4 de marzo. Tenemos cinco extradiciones por parte de la Fiscalía General de la República. Este es un ciudadano estadounidense que fue extraditado a México, requerido por un juez en el estado de Chihuahua por el delito de feminicidio, el resto son cuatro mexicanos que fueron entregados a diferentes cortes: por homicidio dos, por asociación delictuosa contra la salud y portación de agua de fuego, y por secuestro y abuso sexual.",0.0,84,05,03,2024
LUIS RODRIGUEZ BUCIO,"Tenemos como detenciones principales a Nelly Jacqueline o Nelly Janel, que fue detenida por la Fiscalía del estado de Hidalgo con el apoyo de Conase y de la Fiscalía del Estado de México tras cumplimentar una orden de aprehensión en su contra por el delito de desaparición forzada cometida por particulares en agravio de un bebé de tres días de nacido, esto en Pachuca, Hidalgo, el pasado 25 de enero. De acuerdo a las investigaciones, la señora Nelly Jacqueline, de oficio niñera, sustrajo a la menor tras drogar a sus padres, y lo trasladó a la Ciudad de México, donde finalmente el bebé fue localizado con vida en el municipio de Chalco.",0.0,112,05,03,2024
LUIS RODRIGUEZ BUCIO,"Dulce María ‘N’ fue detenida el 21 de febrero de este año por la Fiscalía del Estado de México con apoyo de Conase, tras cumplimentar una orden de aprehensión por el delito de secuestro en agravio de un hombre de identidad reservada en Tenango del Valle. La víctima fue privada de su libertad por varias personas cuando se encontraba fuera de su domicilio en San Miguel Balderas. A familia de la víctima se le exigió una cantidad de dinero mismo que fue depositado a la cuenta bancaria de la hoy detenida y la víctima continúa sin aparecer.",0.0,97,05,03,2024
LUIS RODRIGUEZ BUCIO,"Tenemos la detención de Arturo ‘N’ por parte de la Fiscalía del Estado de México, con apoyo de Conase, Conaho, tras cumplimentar orden de aprehensión en su contra por el delito de homicidio cometido en agravio de Gabriel ‘N’, él era un servidor público de la Fiscalía del Estado de México, esto el pasado 3 de diciembre del año pasado. De acuerdo con las investigaciones, la víctima y otras personas ingresaron a un inmueble en Toluca, donde se encontraban cinco personas, los agresores, entre ellos el hoy detenido, quienes sujetaron a la víctima por los brazos y cuello, y golpeándolo hasta dejarlo inconsciente. Posteriormente, uno de los agresores le habría provocado la muerte por asfixia.",0.0,115,05,03,2024
LUIS RODRIGUEZ BUCIO,"Vinculados a proceso tenemos a estas seis personas por el delito de homicidio agravado de cinco personas ocurrido en Benito Juárez, Quintana Roo. Los responsables fueron detenidos el 8 de febrero del presente año por la Fiscalía de Quintana Roo, con el apoyo del Ejército Mexicano y la Guardia Nacional, en un operativo realizado en seguimiento en seguimiento a una investigación sobre hechos ocurridos el 29 de enero en el ejido Alfredo V. Bonfil, donde se localizaron cinco cuerpos desmembrados al interior de un taxi. Derivado de esas detenciones, se logró ubicar una fosa más con cuatro cuerpos sin vida, hallazgo por el que también son investigados quienes fueron vinculados a proceso.",0.0,112,05,03,2024
LUIS RODRIGUEZ BUCIO,"Tenemos el caso vinculado a proceso Elías ‘N’, él era policía municipal en Cuautitlán de García Barragán, fue vinculado a proceso por el delito de desaparición forzada de personas en agravio de dos activistas indígenas, Javier ‘N’, Higinio ‘N’, esto en mayo del 2022 en la comunidad de Ayotitlán, Jalisco- De acuerdo con las investigaciones, la Fiscalía del estado de Jalisco el hoy detenido, al encontrarse en funciones como policía municipal y mediante engaños, sacó a las víctimas de su domicilio para presuntamente entregarlas a miembros de la delincuencia organizada. Horas después, las víctimas fueron localizadas con vida tras recibir amenazas presuntamente por su actividad de defensores en la sierra de Manantlán. Aquí hay un dato, el activista Higinio ‘N’, en otro evento similar, pero en el año 2023 fue privado de la vida; sin embargo, este es un delito que no se le carga al policía Elías ‘N’.",0.0,149,05,03,2024
LUIS RODRIGUEZ BUCIO,"Tenemos esta sentencia de 13 años y dos meses de prisión a Luis Enrique ‘N’ mediante un procedimiento abreviado, tras acreditar su responsabilidad en el delito de desaparición cometida por particulares en agravio del activista Cruz Soto Carabeo, en octubre del 2019 en Guazapares, Chihuahua.",0.0,45,05,03,2024
LUIS RODRIGUEZ BUCIO,"De acuerdo con las investigaciones de la Fiscalía de Chihuahua, Paulino ‘N’, entonces director de Seguridad Pública de Témoris, contrató a Luis Enrique ‘N’ y otros para privar de la libertad al activista y mantenerlo oculto por siete días. El día 20, que era el séptimo día, Soto Carabeo fue encontrado sin vida en la localidad de Lechuguilla, ya han sido sentenciadas otras cinco personas, entre ellas Paulino ‘N’.",0.0,69,05,03,2024
LUIS RODRIGUEZ BUCIO,"Esta sentencia de cinco años de prisión a Ismael ‘N’ y José ‘N’. Ismael era director general de Administración en la alcaldía Benito Juárez y José subdirector de Servicios Generales en la misma alcaldía. Fueron sentenciados mediante el procedimiento abreviado a cinco años de prisión tras acreditar su responsabilidad en los delitos de uso ilegal de atribuciones y facultades cometidas por servidores públicos, así como asociación delictuosa. Esta resolución judicial derivó de una investigación realizada por la Fiscalía de la Ciudad de México respecto a una red de corrupción en materia de bienes raíces en la alcaldía Benito Juárez.",0.0,99,05,03,2024
