Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MIGUEL MARIO DIAZ-CANEL BERMUDEZ," Querida presidenta Xiomara Castro, excelentísimos señores y jefes de Estado y de gobierno, y demás representantes de las naciones de nuestra región.",0.0,22,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"En nombre de su pueblo y gobierno, Cuba agradece y respalda esta cumbre extraordinaria de Celac por la gravedad del tema que nos convoca.",0.0,24,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"Como legítimo y único mecanismo de diálogo y concertación que agrupa los 33 países de Latinoamérica y el Caribe, tenemos la responsabilidad de examinar y pronunciarnos sobre los graves acontecimientos del pasado 5 de abril en la Embajada de México en Ecuador.",0.0,42,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"Hace pocas semanas, conmemorando el décimo aniversario de la proclama de América Latina y el Caribe como zona de paz, recordé el deber común de ratificar el compromiso de que nunca un país de América Latina y el Caribe usara la violencia contra un país hermano. Contra ese deber y nuestros compromisos se ha producido el pasado 5 de abril la violenta irrupción de la policía ecuatoriana en el recinto diplomático de México en Quito, un alto hostil e inaceptable que merece el más categórico rechazo.",0.0,86,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"Reitero aquí la enérgica condena de Cuba a esta flagrante violación del derecho internacional, incluida la Convención de Viena sobre relaciones diplomáticas y el derecho al asilo. Las imágenes que hemos observado no dejan ninguna duda al respecto, se violó la soberanía de México, se atentó con la integridad física y la dignidad del personal diplomático, se ignoró el recurso del diálogo y la solución pacífica de las controversias, cimiento de las relaciones entre nuestras naciones, se desconoció el compromiso que refrendamos todos en la proclama de paz, de desterrar para siempre el uso de la fuerza. Lo ocurrido no sólo impacta muy negativamente las relaciones bilaterales entre México y Ecuador, afecta a todos los países de esta región y a la comunidad internacional en su conjunto. La violación del derecho internacional y el menoscabo de los legítimos derechos de un Estado es un agravio a todos.",0.0,147,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,Instamos a restituir al vicepresidente Jorge Glas a su condición previa al asilo en la embajada mexicana y a reencauzar su caso en correspondencia con el derecho internacional. De nuestra actuación ahora dependerá en buena medida que hechos repudiables como este no vuelvan a ocurrir en América Latina y el Caribe. Aceptar o callar ante el inaceptable comportamiento del gobierno del Ecuador sentaría un precedente muy grave y peligroso.,0.0,69,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"La Celac y los países representados en ella tenemos la obligación de defender de manera firme y sin titubeos el derecho internacional, dejando absolutamente claro que la violación de sus principios no se justifica bajo ninguna circunstancia.",0.0,37,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"Respetar el derecho internacional es condición indispensable para garantizar la convivencia pacífica, es también premisa necesaria para sostener la unidad en nuestra diversidad, es requisito imprescindible para avanzar hacia la ya impostergable integración.",0.0,33,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"Excelencias, amigas y amigos, hermanas y hermanos de Latinoamérica y el Caribe:",0.0,12,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,"Como expresé a pocas horas del asalto a la embajada mexicana en Ecuador, extiendo toda la solidaridad al hermano pueblo mexicano, al querido presidente Andrés Manuel López Obrador, a la secretaria Alicia Bárcena y al Gobierno de México. Desde Cuba, donde se les admira y quiere por su ejemplar histórico respeto al derecho ajeno, su solidaridad y su compromiso con la integración, reafirmo que cuenta México con nuestro firme apoyo en las acciones que emprendan ante este inaceptable quebrantamiento del derecho internacional.",0.0,82,17,04,2024
MIGUEL MARIO DIAZ-CANEL BERMUDEZ,Muchas gracias.,0.0,2,17,04,2024
