Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JULIO CESAR CERVANTES PARRA," Gracias. Buenos días. Con su permiso, señor presidente.",0.0,8,19,04,2024
JULIO CESAR CERVANTES PARRA,"Para contextualizar, queremos informarles finalmente las cuentas de los trabajadores están seguras. En la siguiente lámina se informa que el Sistema de Ahorro para el Retiro está compuesto por 74 millones de cuentas que acumulan recursos por más de seis billones de pesos, de tal suerte que las cuentas inactivas corresponden a menos de medio punto porcentual activo neto del total del sistema.",0.0,63,19,04,2024
JULIO CESAR CERVANTES PARRA,En la siguiente lámina podrán apreciar que el sistema está compuesto por 10 administradoras:,0.0,14,19,04,2024
JULIO CESAR CERVANTES PARRA,"En primer lugar, tenemos una administradora pública, que es el PensionIssste.",0.0,11,19,04,2024
JULIO CESAR CERVANTES PARRA,"Tenemos una asociación público-privada, que es XXI Banorte, que está compuesta por el IMSS y el Banco Banorte.",0.0,18,19,04,2024
JULIO CESAR CERVANTES PARRA,"Tenemos cuatro afores que son entidades privadas nacionales donde encontramos a Profuturo, Inbursa, Azteca y Coppel.",0.0,16,19,04,2024
JULIO CESAR CERVANTES PARRA,"También tenemos tres afores de capital predominantemente estadounidense, que son InverCap, Principal y Citibanamex.",0.0,14,19,04,2024
JULIO CESAR CERVANTES PARRA,"Y, finalmente, tenemos una afore de origen colombiano.",0.0,8,19,04,2024
JULIO CESAR CERVANTES PARRA,"Como podemos apreciar, tenemos cuatro afores que tienen activos netos superiores o cercanos a un billón de pesos cada uno, que se encuentran del lado izquierdo de la gráfica. Y del lado derecho observamos que tenemos cuatro afores que concentran el mayor número de cuentas: Coppel con 14 millones, Citibanamex con 10 millones, Azteca con 9.3 millones y Banorte con ocho millones.",0.0,62,19,04,2024
JULIO CESAR CERVANTES PARRA,"En la siguiente lámina podemos apreciar que, como ya se señaló, las comisiones han venido disminuyendo de manera muy importante desde el inicio de la administración se ha disminuido en un 44 por ciento las comisiones, pasando en 2018 de una comisión por saldo promedio de 1.01 por ciento de los activos a 0.566 por ciento.",0.0,56,19,04,2024
JULIO CESAR CERVANTES PARRA,"Aquí es importante señalar que ocho administradoras cobran el límite dado por el promedio entre las comisiones de Chile, Estados Unidos y Colombia, de 0.57 por ciento; el Pensionissste, la afore pública cobra la comisión más baja, de 0.53; y tenemos otra afore en el promedio. Esto representa ya para los trabajadores dinero que ha permanecido en sus cuentas de 41 mil millones de pesos, pero proyectamos que al año 2030 van a permanecer en las cuentas de los trabajadores 166 mil 500 millones de pesos, lo cual, desde luego, les incrementa su pensión.",0.0,94,19,04,2024
JULIO CESAR CERVANTES PARRA,"En la siguiente lámina podemos apreciar cómo incluso con esta disminución de comisiones las afores siguen teniendo beneficios. Por un lado, señalar que hasta 2020 la rentabilidad de las afores fue más del doble que la registrada en la banca comercial.",0.0,41,19,04,2024
JULIO CESAR CERVANTES PARRA,"Hasta el año 2021 tuvieron ingresos de comisiones por 39 mil millones de pesos y para el año 2023 se tienen ingresos por comisiones de 30 mil millones de pesos, esto les ha permitido solventar plenamente sus gastos de operación y con base en ellos todavía tienen una utilidad neta y bruta. En el caso del año 2021 tenían utilidades de más del 16 por ciento y para 2023 se tiene una utilidad moderada de 9.6 por ciento.",0.0,78,19,04,2024
JULIO CESAR CERVANTES PARRA,"En la lámina siguiente se puede apreciar cómo el beneficio de la reforma en 2020, lo que corresponde al incremento de las aportaciones patronales, se refleja ya plenamente en los recursos que verán los trabajadores en sus cuentas. En el periodo entre 2023 y 2030 los trabajadores recibirán en sus cuentas un billón 500 mil pesos adicionales en sus cuentas, lo cual generará un incremento en los activos y, desde luego, incrementará sus pensiones.",0.0,74,19,04,2024
JULIO CESAR CERVANTES PARRA,"Pueden ver en la gráfica del lado derecho que los activos están proyectos pasar de más de seis billones de pesos a prácticamente 22 billones de pesos, con lo cual el Sistema de Ahorro para el Retiro acumulará recursos aproximadamente por el 45 por ciento del PIB.",0.0,47,19,04,2024
JULIO CESAR CERVANTES PARRA,"En la siguiente lámina podemos apreciar y enfatizar que en el Fondo de Bienestar las cuentas están totalmente seguras porque serán administradas por un comité técnico financiero, donde confluirán las autoridades financieras como Banxico, la Secretaría de Hacienda, la propia Consar, el Infonavit, el Issste y el Seguro Social desde luego.",0.0,51,19,04,2024
JULIO CESAR CERVANTES PARRA,"Como ya lo señalaba, el volumen de los activos que estarán adscritos al Fondo del Bienestar será menor al 0.4 por ciento de los activos y el número total de cuentas corresponde al 5.5 por ciento.",0.0,36,19,04,2024
JULIO CESAR CERVANTES PARRA,"En la siguiente lámina queremos recomendar a los trabajadores que quieran saber dónde está su afore, en la Consar estamos para atenderlos en el 55 13 28 50 00, y también pueden conocer el estado de cuenta de su afore a través de la aplicación Afore Móvil o del portal afore web. Lo pueden realizar únicamente proporcionándonos su número del Seguro Social y su CURP.",0.0,65,19,04,2024
JULIO CESAR CERVANTES PARRA,"Es cuanto, señor presidente.",0.0,4,19,04,2024
JULIO CESAR CERVANTES PARRA, Ya se tendría que estar regresando todo.,0.0,7,19,04,2024
