Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ISRAEL VALLARTA, Israel Vallarta.,0.0,2,24,04,2024
ISRAEL VALLARTA," Sí, señor.",0.0,2,24,04,2024
ISRAEL VALLARTA," No, yo no vi nada, señor. A mí me ofrecieron dinero para prestar mi casa.",0.0,15,24,04,2024
ISRAEL VALLARTA," Un tipo que se llama Salustio, señor.",0.0,7,24,04,2024
ISRAEL VALLARTA," Aquí hay tres, yo no sabía que eran las tres, pero aquí están tres.",0.0,14,24,04,2024
ISRAEL VALLARTA," Aquí, tres personas.",0.0,3,24,04,2024
ISRAEL VALLARTA," Sí, a mí me estaban pagando por eso.",0.0,8,24,04,2024
ISRAEL VALLARTA," Mire, lo que fuera, no, no tengo un…",0.0,8,24,04,2024
ISRAEL VALLARTA, Lo que me fueran a dar. No sé.,0.0,8,24,04,2024
ISRAEL VALLARTA, No conozco.,0.0,2,24,04,2024
ISRAEL VALLARTA, Sí.,0.0,1,24,04,2024
ISRAEL VALLARTA," Sí, señor, usted me pegó.",0.0,5,24,04,2024
ISRAEL VALLARTA," Nada, señor.",0.0,2,24,04,2024
ISRAEL VALLARTA," Nadie, señor.",0.0,2,24,04,2024
