Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Gracias, presidente. Buen día.",0.0,4,14,05,2024
PREGUNTA,"Dalila Escobar, de Proceso.",0.0,4,14,05,2024
PREGUNTA,"Primero preguntarle sobre lo que sucedió el fin de semana en torno al cambio de medida cautelar a militares. Se habla de que ya salieron, ya están en libertad. Quisiera preguntar o si nos pudiera dar el general, información en torno a la situación de estos militares y que ha generado descontento en torno a que puedan llevar ya el proceso en libertad.",0.0,63,14,05,2024
PREGUNTA, ¿Cómo identificaron que eran normalistas o no están seguros de que hayan sido estudiantes los que lanzaron?,0.0,17,14,05,2024
PREGUNTA, ¿Sí están seguros?,0.0,3,14,05,2024
PREGUNTA, ¿Tiene el estatus del estado de salud de los 26?,0.0,10,14,05,2024
PREGUNTA," ¿Incluida la liberación de los militares? O sea, es decir, lo que pregunto es…",0.0,14,14,05,2024
PREGUNTA, ¿Ustedes se manifiestan en contra de que siga el proceso en libertad por parte de estos militares?,0.0,17,14,05,2024
PREGUNTA," Y en torno al tema de la defensa que están teniendo estos militares, ¿esa defensa se da dentro de la propia Sedena, por el tema de que son elementos de la misma?",0.0,32,14,05,2024
PREGUNTA," Sobre este tema también, presidente, de la Ley de Amnistía que podría aplicar, sobre todo en casos de relevancia, en asuntos de Estado, como es el caso Ayotzinapa, ¿también los militares podrían acogerse a la misma si ellos deciden que van a dar información en torno a este caso? ¿Podría aplicarles a ellos la Ley de Amnistía?",0.0,57,14,05,2024
PREGUNTA," En este caso yo le preguntaría: ¿por qué? Si el Ejército ha tenido toda esta información que desde las propias organizaciones que han acompañado y de los propios padres han dicho que no les han querido dar, ¿por qué esperar a que sean militares detenidos los que puedan acogerse a la Ley de Amnistía para poder dar información que ya se tenía?",0.0,62,14,05,2024
PREGUNTA," Presidente, ¿el general no va a dar ningún comentario a estas cuestiones?",0.0,12,14,05,2024
PREGUNTA, ¿El general no va a dar ningún comentario en torno a toda esta información que ha surgido y en torno a la información que tendría la Fiscalía General de la República en torno al caso?,0.0,35,14,05,2024
PREGUNTA, ¿O esperarían hasta después de las elecciones?,0.0,7,14,05,2024
PREGUNTA," Sería sobre el caso y las peticiones que han hecho las madres y los padres, y precisamente…",0.0,17,14,05,2024
PREGUNTA," Pues sí, pero hasta después de las elecciones. O sea, han venido desde antes.",0.0,14,14,05,2024
PREGUNTA," No, en realidad las madres, los padres, le han dado por escrito la petición de reunión directa con usted en varias ocasiones, por eso se lo hemos preguntado.",0.0,28,14,05,2024
PREGUNTA," Y el tema de la Covaj, presidente, ¿es una comisión que todavía está vigente o ya, porque usted tomó las riendas de la investigación, lo va a hacer ya directamente, tal vez sin la intermediación, por ejemplo, de quien está a la cabeza de la Covaj?",0.0,46,14,05,2024
PREGUNTA," Presidente, en un tema de seguridad también, se ha hablado de los centros penitenciarios, la responsabilidad que hay en ellos, también en tema de presupuesto, se ha desglosado aquí lo que tiene que ver con lo público privado, la responsabilidad pública privada.",0.0,42,14,05,2024
PREGUNTA,"Hay un caso, por ejemplo, el caso del Cefereso 16, de Morelos, que se ha abordado en temas de presupuestos, pero en los últimos años, bueno, desde hace ya tiempo se han manejado situaciones que han sido complicadas para quienes están recluidas en ese Cefereso. En los últimos cuatro años han muerto 15 de mujeres y, de ellas, 11 en 2023, de acuerdo con algunas de las cifras, pero que han señalado que han sido suicidios.",0.0,76,14,05,2024
PREGUNTA,"Sin embargo, algunas de las quejas que han tenido familiares durante hace más de cuatro años incluso en este Cefereso es una constante en torno a que las personas que están reclusas, las mujeres que están ahí presas, no han tenido un acceso adecuado a medicamentos o atención médica. Sabemos que esto es mitad responsabilidad privada y mitad pública.",0.0,59,14,05,2024
PREGUNTA,"Quisiera saber ahí cómo han abordado el tema de los centros penitenciarios, en especial el caso del Cefereso 16, en Morelos, que no son los últimos casos que han resaltado, han sido otros en los que se han dado todos estos tipos de señalamientos. Hay familiares que están preocupados por el tema de la defensa que puedan tener, porque hay algunos traslados a otros penales y eso las aleja un tanto de la defensa, el tema de los derechos humanos.",0.0,80,14,05,2024
PREGUNTA,"Saber ahí qué responsabilidad tendría la empresa, la empresa privada, en torno a esta situación que están viviendo, y qué autoridad, o más bien, qué revisión, qué vigilancia está teniendo el estado en torno a este manejo, porque las empresas, bueno, generalmente se deslindan de este tipo de atención. Y, bueno, pues saber cómo hacen esta vigilancia y en específico qué sucede en este Cefereso. Se han tenido los reportes en torno a este tema de casos de las mujeres. Y, bueno, ¿qué pueden responder en torno a las preocupaciones de los familiares?",0.0,93,14,05,2024
PREGUNTA," Gracias, secretaria.",0.0,2,14,05,2024
PREGUNTA,"Ahí en ese sentido, lo que usted menciona es un apoyo integral que se ha dado ya en los últimos meses, lo cual ha evitado que haya estos eventos.",0.0,29,14,05,2024
PREGUNTA," Algunos de los familiares lo que mencionaban, de los que se dieron anteriormente, como menciona usted, ya no se han dado, es que precisamente por la falta de acceso a medicamentos —que ahora lo que usted menciona es que ya se está dotando— es lo que habría llevado a parte también de la desesperación de algunas de las presas, el no tener acceso a ciertas cuestiones a las que deben de tener acceso a las mujeres.",0.0,76,14,05,2024
PREGUNTA,"Saber si, en efecto encontraron… Ah, porque también los familiares decían que no les habían entregado un dictamen en el que dijera que, en efecto, fue un suicidio. Entonces, están entre esa duda y entre que…",0.0,36,14,05,2024
PREGUNTA," Perdón, nada más la precisión: ¿a partir de cuándo se empezó a aplicar este plan integral de atención?",0.0,18,14,05,2024
PREGUNTA, ¿De diciembre de 2023?,0.0,4,14,05,2024
PREGUNTA," Gracias, secretaria.",0.0,2,14,05,2024
PREGUNTA,"Y, presidente, nada más por último quisiera preguntarle sobre este tema, de lo que usted ha mencionado que es importante, que es en torno al tema de la reforma al Poder Judicial. ¿Cómo usted observa que pueda llevarse a cabo esta situación cuando, si bien usted ha mencionado aquí casos que se dieron con anteriores administraciones o de los que usted ubica que hay de dos grupos dentro de la propia corte, por ejemplo, que hay quienes están en contra de la administración y hay quienes están con la administración? ¿Cómo podría darse esta reforma al Poder Judicial si de los dos lados han salido cuestiones? Por ejemplo, el último caso del ministro Zaldívar, y otros casos que usted aquí ha mencionado pues del otro lado.",0.0,126,14,05,2024
