Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CARLOS IGNACIO VELAZQUEZ TISCAREÑO," Señor presidente, señor secretario de Marina, señoras y señores.",0.0,9,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"En el contexto de la obligación de informar públicamente y de carácter institucional, doy a conocer de manera resumida las acciones llevadas a cabo en el periodo comprendido desde julio de 2022 a marzo de 2024, en la que fungí como director general del Aeropuerto Internacional de la Ciudad de México, ahora sectorizado a la Secretaría de Marina.",0.0,58,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Desembarcamos en este puerto aéreo para atender una problemática muy compleja. El señor presidente de la República consideró necesario impulsar un cambio de administración para mejorar el servicio, la seguridad y poner orden, esto es condiciones de emergencia, soluciones extraordinarias. Como se dijo desde el principio, se realizó un trabajo con sólido principio de disciplina, honestidad, orden y responsabilidad.",0.0,59,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"En el año 2022, en que fuimos llamados para intervenir la administración del aeropuerto, encontramos diversas irregularidades, la principal fue el vacío de autoridad caracterizado por la falta de orden; predominaba la falta de comunicación y escasa coordinación entre autoridades, corrupción en áreas de migración y de aduana; demoras en todos los procesos de servicio al pasajero, como es trámites migratorios, aduanales, entrega de equipaje, robo de maletas; y las aerolíneas que hacían su voluntad a costa del pasajero, privilegiando sus fines comerciales y al margen de la legalidad; espacios ocupados ilegalmente con una fuerte acumulación de adeudos, impactando negativamente las finanzas del aeropuerto, toleradas de manera injustificada. Resumiendo: quien mandaba en el aeropuerto no era la autoridad.",0.0,118,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,En el periodo 2022 a 2024 se habrán invertido cuatro mil 269.9 millones de pesos entre recursos fiscales y recursos autogenerados.,0.0,21,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Durante el ejercicio de esta administración y hasta la fecha no se tiene ninguna queja, ni siquiera inconformidad, sobre los procesos de licitación, aunque sí molestias en algunos casos.",0.0,29,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Los recursos se crecieron en seis grandes rubros que se ponen en pantalla: pistas, edificios terminales, equipamiento, sistemas eléctricos, estudios y proyectos, y mantenimiento rutinario, haciendo una suma total de dos mil 69.2 millones de pesos que para el desarrollo de los trabajos de esta presentación me permito desglosar.",0.0,49,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Destaca la rehabilitación integral de la pista 5 izquierda, 23 derecha, que incluyó el reencarpetado de los casi cuatro kilómetros de pista, la ampliación de márgenes laterales, franjas de seguridad, trincheras y modernización del sistema de ayudas visuales en la pista a led.",0.0,43,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Se construyó la plataforma de emergencia, que es un puesto aislado de estacionamiento para aeronaves con amenazas de actos de interferencia ilícita.",0.0,22,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Asimismo, se efectuaron trabajos de bacheo en el área operativa de manera permanente en virtud de que, por el tipo de suelo inestable, como ya ha hecho insistencia el señor presidente al respecto, no se puede reencarpetar con concreto, sino únicamente con asfalto, con concreto lo permiten suelos estables como lo es el del Aeropuerto Internacional ‘Felipe Ángeles’.",0.0,58,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Se pagaron 613.6 millones de pesos en obras de adquisiciones para la modernización y mantenimiento de los edificios terminales, destacando el reforzamiento estructural de la Terminal 2, que fue ejecutada por el gobierno de la Ciudad de México y, como nos comprometimos, sin afectar a las operaciones y mucho menos a los pasajeros.",0.0,53,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Se invirtieron 408.7 millones de pesos para modernizar equipos existentes, resaltando la adquisición de cinco unidades de ataque y extinción de incendios.",0.0,22,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Se ejercieron 89.9 millones de pesos para modernizar las subestaciones eléctricas, los sistemas de ayudas visuales en pistas y la rehabilitación del sistema de drenaje y cárcamos.",0.0,27,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Asimismo, 33.4 millones de pesos en proyectos ejecutivos, necesario para la ejecución de obras en proceso.",0.0,16,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Adicional a todo lo anterior, se dio mantenimiento rutinario a diversas instalaciones en el lado aire y lado tierra por un monto de 298.3 millones de pesos, que abarca aspectos como conservación de plafones, aplicación de pintura, rehabilitación de alumbrado y conservación de techumbres, cubiertas y drenajes, entre otros. Lado aire es donde platafistas y plataformas y rackets; lado tierra, edificios e instalaciones.",0.0,63,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Para atender la saturación del aeropuerto se tiene una mejor administración de los horarios. Anteriormente se contabilizaban un promedio de 600 vuelos ilegales por mes que no correspondían al horario oficial asignado, esto para fines netamente económicos de las aerolíneas, además de que no existía un método de control sobre las operaciones.",0.0,52,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Con pleno conocimiento y participación de las aerolíneas se adoptaron las medidas ordenadas por las autoridades, se aplicó una primera reducción de 61 a 52 operaciones por hora, se dejaron de asignar horarios a las aerolíneas cargueras debido al cierre del aeropuerto a ese tipo de operaciones de carga dedicada y se mudaron al Aeropuerto Internacional ‘Felipe Ángeles’.",0.0,58,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"En este año entró también en vigor la segunda reducción de 51 a 43 operaciones por hora, la cual no afectó a los vuelos internacionales y se pospuso su entrada en vigor hasta el fin de las fiestas decembrinas, específicamente después de Reyes.",0.0,43,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,Se eliminaron las operaciones sin horario asignado y se eliminaron en las pantallas de información de vuelo los horarios comerciales. En la gráfica podemos observar cómo se desplomaron totalmente los vuelos ilegales.,0.0,32,02,05,2024
CARLOS IGNACIO VELAZQUEZ TISCAREÑO,"Para atender las quejas, agilizar los trámites y mejorar el tránsito de pasajeros de llegada, en el área de migración, y con recursos del Instituto Nacional de Migración, se pusieron en marcha 12 filtros migratorios autónomos, seis en cada terminal; en la aduana se instalaron 20 nuevas máquinas de rayos X con recursos de la ANAM, los cuales escanean maletas en segundo, al tiempo que es un sistema no intrusivo para las personas. Se han disminuido los tiempos en el proceso de reclamo de equipaje, logrando que se mantengan dentro o menor que los estándares internacionales.",0.0,96,02,05,2024
