Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,": Buenos días. Ánimo, ánimo.",0.0,5,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues es martes y cada 15 días informamos sobre seguridad. En esta ocasión vamos a informar de cómo está la seguridad en el país y dar a conocer toda la participación de la Guardia Nacional para garantizar que no haya violencia, que los ciudadanos puedan ir a votar con tranquilidad, con seguridad, sin temor.",0.0,55,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque consideramos que van a ser unas elecciones limpias, libres y, sobre todo, pacíficas, ese es mi pronóstico, eso es lo que yo sostengo, y además estamos trabajando con ese propósito con los gobiernos estatales y con el INE, para que todos juntos logremos que el pueblo se manifieste libremente y que vote sin ningún temor, sin ninguna presión; que el voto sea verdaderamente libre, secreto, individual y que se dé un ejemplo de democracia.",0.0,75,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Van a ser las elecciones, ese es mi pronóstico, más limpias, más libres en la historia de México, las del domingo, así como se los estoy comentando. Apostaron nuestros adversarios, los conservadores, a que iba a haber violencia, apostaron a eso, y afortunadamente no ha sido así.",0.0,47,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también ayuda mucho el que la gente ya no quiere fraudes, ya no quiere esa historia negra de fraudes electorales, cuando se robaban hasta la Presidencia de la República, como nos consta. Ahora estamos inaugurando una etapa nueva de una auténtica, de una verdadera democracia; ya no es de una caricatura de democracia, la democracia no es una fachada que sirve para que detrás opere una mafia de poder, una oligarquía, que eran los que se sentían los dueños de México. Ya estamos en otros tiempos, tenemos que celebrarlo, ahora es el pueblo el que manda, y esa es la democracia.",0.0,102,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos a informar sobre la seguridad y vamos después a las preguntas y a las respuestas. Adelante.,0.0,17,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien. Vamos a preguntas, se quedó Nancy, y ya después…",0.0,11,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, tendríamos que ir de nuevo al fondo, lo que ya hemos venido repitiendo, porque, si no, no se entienden las cosas. Hay dos proyectos distintos y contrapuestos de nación, y esto lleva a que haya definiciones; que, sin simulación, de manera sincera, pues todos fijemos con claridad nuestra postura y actuemos de manera consecuente, actuemos como pensamos. Siempre que hay una transformación son tiempos de definiciones, y ahora estamos viviendo un proceso de transformación y no hay para dónde hacerse. Como decía Juan Álvarez de manera muy coloquial, ‘esta ancheta —que, entiendo, es una tela— es tan angosta, que no hay ni para dónde hacerse’, o sea, ya no se puede simular, no hay cabida para la indefinición. Aunque no debe de haber maniqueísmo, en estos tiempos es muy difícil la moderación en lo político, es muy difícil el zigzagueo, el actuar en el centro, actuar de manera gelatinosa, blandengue, para que se entienda. Son tiempos de anclarnos en nuestros ideales, en nuestros principios, el decir ‘así somos’; no son tiempos para la hipocresía. Eso es una transformación.",0.0,179,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, muchos se la habían pasado muy bien, sin tener que definirse, incluso engañando que eran independientes, de que ellos no tenían partido. Se acuñó —porque eso es nuevo— lo de la sociedad civil, lo de las organizaciones no gubernamentales, los ciudadanos y candidatos independientes, todo eso se creó, todo ese andamiaje político, para ocultar el fondo de los grandes y graves problemas nacionales.",0.0,64,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Cuál era ese fondo?,0.0,4,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La corrupción, cómo una minoría se apoderaba de todo lo que pertenecía a todo un pueblo. Y quienes ayudaban a que se produjera esa ceguera colectiva, esa falta de toma de conciencia de lo que realmente estaba sucediendo eran los intelectuales orgánicos y los medios de información, que en sentido estricto eran medios de manipulación, porque eran los que ayudaban a legitimar todo ese atraco, toda esa corrupción de una élite, que eran los dueños de México.",0.0,77,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El pueblo no contaba. Pero que no nos entre por un oído y nos salga por otro. No les interesaba el pueblo, no le tenían ni respeto ni mucho menos amor al pueblo; por eso era una farsa hablar de democracia, porque la democracia es el gobierno del pueblo, para el pueblo, con el pueblo.",0.0,55,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"¡Qué les va a interesar el pueblo si deciden en el periodo neoliberal o neoporfirista convertir las deudas de una minoría en deuda pública! Lo que hicieron con el Fobaproa, rescatar con un proceso viciado, violentando la Constitución, con el imperio de la corrupción, deciden trasladarle al pueblo de México una deuda de tres billones de pesos. No les interesaba el pueblo.",0.0,62,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En política también. ¿Para quiénes escribían los periodistas? ¿Para quiénes hablaban los conductores de radio, de televisión? Pues para los de la llamada sociedad política y para justificar todo lo que se hacía en el régimen.",0.0,36,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ahora es distinto, inició una nueva etapa y ahora el pueblo es actor principal, es protagonista principal, es el motor de este cambio; ya no es un convidado de piedra, ya no es el sujeto colectivo que acuden a él cuando necesitan legalizar y legitimar el régimen de corrupción cuando hay elecciones.",0.0,53,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también, esto para los jóvenes, abajo se peleaban en elecciones municipales, entre partidos —los de más edad que platiquen cómo se peleaban—, pero arriba se unían.",0.0,27,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Por qué se unían arriba y se peleaban abajo los partidos?,0.0,11,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque abajo era la administración del presupuesto municipal, nada más, sí, pero arriba era definir la política económica, era definir si iba a haber aumento salarial o no, eso no lo definía el presidente municipal, ni siquiera el gobernador.",0.0,39,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Qué les podría interesar a los dueños de México o a los que se sentían dueños de México, quién era presidente municipal, quién era gobernador; lo que les importaba era cuál iba a ser la política económica, quién iba a ser el secretario de Hacienda, quién iba a ser el secretario del Trabajo, eso era lo que les importaba, quién iba a ser el secretario de Economía, porque es con la política federal, la política económica, como se pueden cambiar las cosas realmente.",0.0,83,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ese diferendo pues es el que lleva a que algunos no estén de acuerdo con nosotros. Y es normal también, muy normal. Cómo no se va a quejar Claudio X. González hijo, si recuerdo perfectamente cuando me invitaron en Televisa a una reunión con empresarios y traficantes de influencia, porque no todos eran empresarios. Y uno de los que tomó la palabra fue el joven Claudio X. González, apoyando —porque también había tomado la palabra Roberto Hernández, el que era dueño de Banamex—, apoyando el que Banamex o los dueños de Banamex, los accionistas de Banamex, no habían pagado impuestos.",0.0,101,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vendieron Banamex a Citigroup en 12 mil millones de dólares y no pagaron un centavo de impuestos; entonces, me reclamaban porque yo estaba denunciando eso; su argumento era que habían actuado de manera legal. Y yo entonces hasta les concedí: Sí, sí, sí, puede ser que sea legal, pero es inmoral. ¡Cómo van a recibir 12 mil millones de dólares y no pagan un centavo de impuestos! Si la venta o la compraventa, si en vez de que Citigroup comprara Banamex hubiese comprado Citigroup tenían que pagar tres mil millones de dólares en Estados Unidos de impuesto, y aquí no pagaron nada.",0.0,102,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y cuando dije que actué de manera moderada, bondadosa, es que ni siquiera fue legal, porque para no pagar esos impuestos se tenía que haber llevado a cabo una operación en la Bolsa de Valores, y en ese entonces Citigroup no participaba en la Bolsa de Valores. O sea, no le correspondía; aún con la legislación vigente tenían que pagar el impuesto.",0.0,62,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Les estoy hablando del 2006, de esa reunión; ahora, 2024, 18 años, pues que me diga que soy un enano moral pues no es para sorprendernos, ¿no? El es un gigante. Nada más un abrazo a los que les llaman enanos.",0.0,41,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Pero ese es el fondo.,0.0,5,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y es lo mismo de Ciro, llevamos años. Que él no se explica por qué tenemos diferencias; que se acuerde que él me condenó durante el desafuero, porque me hace una entrevista, eso fue en el 2004, más o menos. ‘¿Qué vas a hacer?’, me dice. A ver, consíguela, puede ser que esté ahí. ‘Qué vas a hacer, si ya estás desahuciado políticamente?’. Pues fíjate que estoy acostumbrado a luchar, eso fue lo que le contesté.",0.0,76,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero, luego, poco después… Porque a lo mejor a él ya se le olvidó. Yo no odio, pero no olvido, y aunque ya estoy chocheando, como dicen también mis adversarios, todavía recuerdo cosas, ¿no? A partir de ahí, Ciro fue copartícipe; para que se entienda mejor, fue cómplice del fraude electoral del 2006, porque usaron a Ciro con una encuestadora de estas ‘patito’ que crearon así, de la noche a la mañana. Yo llevaba bastante ventaja y de repente en esta encuestadora —y Ciro se encargaba de dar a conocer los resultados— estábamos empatados con Calderón, cuando no era así.",0.0,100,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esa encuestadora, para tener el contexto, la creó un señor, junto —desde luego— con Calderón y con otra persona que como es finado no lo voy a mencionar, con ese propósito de ir preparando el terreno a que iban a ser unas elecciones muy reñidas y que iba a haber empate para poder llevar a cabo el fraude electoral.",0.0,59,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ese señor, cuando se roban la Presidencia, pasa a ser el director del Cisen, Guillermo Valdés.",0.0,16,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, GEA-ISA.,0.0,1,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"O sea, Cisen. Que, por cierto, ese señor en el Cisen nunca vio nada de lo que hacía, ¿cómo se llama este señor? García Luna, nunca vio nada. Es más, hasta acaba de declarar que él no vio nada.",0.0,39,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y no se olviden que el Cisen no son siglas, era el sistema de espionaje del gobierno que creó Carlos Salinas de Gortari, en donde se formó desde joven García Luna. Para tener toda la película completa.",0.0,37,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, Ciro trabajó en eso. Un poco para recordarle la memoria de cuánto data el tiempo en que hemos tenido diferencias y él ha estado en contra de lo que yo he representado.",0.0,33,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya después vino lo que más se conoce, cuando se ponen de acuerdo. Que, también, en abono a Ciro y a muchos otros, a López-Dóriga, y a Loret de Mola, y a otros más, pues no por decisión de ellos, sino porque ellos están en un segundo nivel; por decisión de sus jefes deciden promover al licenciado Peña Nieto y lo convierten en un fenómeno mediático único en la historia del país. Toda una historia que por respeto no quiero subrayar aquí. Pero es un acto publicitario, político, de grandes magnitudes. Entonces, ahí también Ciro contribuye. Creo que la misma encuestadora de aquellos tiempos, del 2006, empieza a manejar, ya lo hemos dicho aquí, que el licenciado Peña Nieto lleva 20, 25, 30 puntos arriba, está en las nubes.",0.0,129,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero 100 días en la televisión: ‘¿Y cómo vamos hoy?’, o algo parecido. Y sacaba… Imagínense. Pero miren aquí cómo estaba, por dónde andaba yo, por acá; era como para decir ‘ahí nos vemos, échale ganas, ahí la llevas, vas muy bien’. Pero esto, diario; pura propaganda. Y abajo sí, sí porque la señora iba arriba. Pura propaganda. ¿Qué, no sabía él lo que hacía?",0.0,65,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, no sucede así, la diferencia es de otro tipo al final. Y entonces a los tres días o cinco días ofrece disculpa y dice: ‘Ya no vamos a presentar encuestas’, o algo así. Pero ¿y el daño causado?",0.0,39,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, que entienda Ciro, que entienda López-Dóriga, que entienda Loret de Mola, otros más, que no es nada personal, sino que son dos proyectos. Ellos tienen un trabajo, nosotros tenemos una causa que defender; la diferencia es que nosotros no lo hacemos por dinero, nosotros lo hacemos por ideales, por principios.",0.0,51,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues por eso a ellos… Él gana cinco veces más que yo, que soy presidente de México; o sea, debe ganar uno, dos millones de pesos al mes; Loret de Mola, dos, tres millones; Krauze hijo, cinco millones mensuales; el otro señor que sigue insistiendo, y que el New York Times, que habla de no sé cuántos asesinados, el New York Times, mentiroso, igual que la mayoría de los medios convencionales, no sólo de México, del mundo, Jorge Ramos, 17 millones de pesos mensuales.",0.0,84,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pero es su trabajo de ellos, nosotros tenemos el nuestro. Y somos muy felices, y yo espero que también ellos sean felices. Y que comprendan que no podemos tener la misma forma de pensar y de ser.",0.0,38,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y que, además, son libres, nadie es perseguido, nadie es censurado. Imagínese si a Salinas, Claudio X, o a cualquier presidente, le dice ‘enano moral’, o insultan como lo hacen conmigo.",0.0,31,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Por qué no tengo problema?,0.0,5,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Primero, porque tengo mi conciencia tranquila; y, segundo, porque sé que esta es una causa justa y sublime, noble, porque es en pos de otros. Y cuando se lucha por una causa justa se debe estar dispuesto a pagar cuotas de humillación. Porque todo eso, todo eso, se supera con la gran satisfacción que produce estar trabajando por los demás; ese es el idealismo, esos son los principios.",0.0,68,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, eso es lo que puedo decir.",0.0,7,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En el caso de las estaciones de radio, de televisión en Estados Unidos de habla hispana, pues no hay mucha diferencia, no porque están en Estados Unidos. Es como el New York Times o el Financial Times, ya están haciendo un periodismo profesional, objetivo, cercano a los ciudadanos, distantes al poder; no, no, no, esas televisoras también, de habla hispana, tienen intereses, son corporaciones que tienen intereses en Estados Unidos y en México.",0.0,73,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Afortunadamente, volvemos a repetir que el pueblo de México está muy consciente, muy, muy, muy despierto, y por eso resistimos toda la andanada, la gran lanzada, la guerra sucia. Y ya, además, estamos a días de las elecciones, ya nada más mañana vamos a estar aquí y el domingo ya vienen las elecciones y ya en la noche ya sabemos. Y van a ser elecciones tranquilas, pacíficas, y vamos a volver a dar los mexicanos una muestra de mucha responsabilidad, va a ser ejemplo; o sea, nada del México de los fraudes, no, eso se quedó atrás.",0.0,97,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, decirle al compañero de Oaxaca que, si ya ofreció disculpas, pues ya con eso es suficiente. Y que son agravios que se reciben cuando uno comete errores.",0.0,28,28,05,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Que todos los seres humanos cometemos errores, solamente el Creador y la naturaleza pueden actuar con precisión y sin equivocarse. Lo importante siempre es rectificar, no caer en la autocomplacencia, eso es lo más importante; es de sabios cambiar de opinión.",0.0,41,28,05,2024
