Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Tras los resultados electorales del 2 de junio en México, han surgido una nueva oleada de mentiras que auguran una falsa crisis económica en el país. Uno, el falso desplome del peso.",0.0,32,12,06,2024
PREGUNTA," Comunicadores aseguraron que las posibles reformas que impulsaría la nueva legislatura provocaron el desplome del peso. Las reacciones exageradas de los opinadores ignoran que, a pesar de la especulación, el peso mexicano continúa siendo la moneda que más se ha fortalecido con relación al dólar en todo el mundo, del 30 de noviembre de 2018 al 10 de junio de 2024 el peso ha recuperado el 10.4 por ciento frente al dólar.",0.0,72,12,06,2024
PREGUNTA,"El 10 de junio Fitch Ratings aseguró que no espera perturbaciones significativas en el desempeño financiero de los bancos ni en el crecimiento del crédito en México, ya que se espera una transición presidencial sin contratiempos.",0.0,36,12,06,2024
PREGUNTA,"La calificación estable de la economía otorgada por calificadoras como Fitch Ratings permite dar certeza a los inversores que en los primeros cinco meses de 2024 han anunciado inversiones por 39 mil 157 millones de dólares, situación que fortalece al peso.",0.0,41,12,06,2024
PREGUNTA,"Dos, la falsa crisis económica.",0.0,5,12,06,2024
PREGUNTA," Entre las maravillas culturales a las que podremos acceder por la ruta del Tren Maya se encuentra la antigua ciudad maya de Xpujil, localizada al sureste del actual estado de Campeche, en la región conocida como río Bec, área en la que desde siglo III de nuestra era se constituyó un conglomerado cultural constituido por un conjunto de ciudades interrelacionadas que albergaron una considerable población, y que a lo largo de cuatro siglos compartieron patrones urbanos, estilos arquitectónicos, modas artísticas y formas de organización que marcarían una época en el desarrollo de las culturas mayas de la península de Yucatán.",0.0,100,12,06,2024
PREGUNTA,"En el área central de esta región se yergue majestuosa la ciudad de Xpujil, cuyo nombre puede traducirse como ‘cola de gato’, en referencia a la planta del mismo nombre que llegó a ser muy abundante en estos parajes. Las primeras evidencias de ocupación humana en el sitio datan del siglo V antes de nuestra era, cuando inició un poblamiento que habría de tener una continuidad de más de 15 siglos. La época de auge de Xpujil puede ubicarse hacia el periodo denominado clásico tardío, entre los siglos VII y IX de nuestra era, siendo que a finales del siglo XII empezó a experimentar un declive que habría de derivar en su desocupación.",0.0,113,12,06,2024
PREGUNTA,"Fue hasta el siglo XX, en la década de los 30, que se comenzaron a tener noticias de esta zona arqueológica, cuando los investigadores norteamericanos Karl Ruppert, John Denison, y más tarde George Brainerd, llevaron a cabo estudios pioneros de la zona publicando los resultados de sus investigaciones a través del Instituto Carnegie de Estados Unidos. Estas primeras exploraciones permitieron rescatar de entre la selva los vestigios de esta enigmática ciudad.",0.0,71,12,06,2024
PREGUNTA,"Algunas hipótesis proponen que Xpujil constituyó un centro administrativo dependiente de la Ciudad de Becán y contemporáneo de Chicanná, asentamientos los que mantuvo un importante intercambio económico y político, conformando una red urbana regional.",0.0,34,12,06,2024
PREGUNTA,"La zona arqueológica está conformada por cerca de 25 grupos arquitectónicos y numerosas plataformas de carácter habitacional. De entre todas esas construcciones, la más emblemática es el edificio de Las Tres Torres, ejemplo representativo del estilo Río Bec, con sus notables torres falsas simétricamente levantadas sobre el edificio de un piso y de esquinas redondeadas. Aunque el paso del tiempo ha hecho sus estragos, aún pueden verse algunos mascarones sobre las entradas que representan a la montaña sagrada. En su interior este conjunto tiene 12 habitaciones distribuidas de acuerdo con los puntos cardinales, dedicadas a funciones administrativas y de gobierno.",0.0,100,12,06,2024
PREGUNTA,"En la década de los 80 del siglo pasado, el reconocido arqueólogo mexicano Román Piña Chan, con un equipo de jóvenes arqueólogas y arqueólogos, desarrollaron un intenso trabajo de exploración del edificio, a fin de comprender su funcionamiento y sus características formales, así como asegurar la conservación de sus elementos arquitectónicos.",0.0,51,12,06,2024
PREGUNTA,"Al oriente de este edificio monumental encontramos una estructura conformada por pequeños cuartos que tuvieron techos abovedados, con decoraciones en forma de T, elemento que simboliza al viento, ‘ik’, haciendo alusión al aliento de vida.",0.0,35,12,06,2024
PREGUNTA,"Otras construcciones monumentales que se yerguen en la zona nuclear de Xpujil se encuentran alineadas sobre una linera recta, que va de oriente a poniente, en referencia al curso del sol por la bóveda celeste.",0.0,35,12,06,2024
PREGUNTA,"Lo que ahora podemos observar en el sitio arqueológico es tan sólo una parte menor de lo que fue la ciudad en tiempos prehispánicos, puesto que gran parte de sus estructuras y áreas residenciales se mantienen dispersas en el área urbana de la actual localidad de Xpujil, cabecera municipal de Calakmul.",0.0,51,12,06,2024
PREGUNTA,"Caminar por Xpujil, enclavada en la selva maya del sur de Campeche, representa un viaje en el tiempo y en el mundo simbólico de la gran civilización maya, que sigue viva en las comunidades que mantienen viva la presencia, la dignidad, la resistencia y la persistencia cultural de los mayas de hoy y siempre.",0.0,54,12,06,2024
PREGUNTA," Buenos días, señor presidente.",0.0,4,12,06,2024
PREGUNTA,"Sandra Aguilar, de AE Grupo Informativo.",0.0,6,12,06,2024
PREGUNTA,"Primero, quiero compartirle que envían saludos de esta comunidad de Salto de Espejo, Altos de Jalisco, Guanajuato. Esta comunidad alberga al menos mil 500 personas, pero quiero decirle que en este lugar no hay fuentes de trabajo, todos tienen que salir a Guanajuato, a Querétaro, y viven de las personas que se han ido a otros países, específicamente a Estados Unidos, envían ellos su dinero y de esto vive esta comunidad.",0.0,71,12,06,2024
PREGUNTA,"Más allá de todo esto, quiero yo decirle que ellos están agradecidos con usted, con su gobierno, porque todos estos apoyos que ha implementado en esta administración, esto sí ha llegado a esta comunidad.",0.0,34,12,06,2024
PREGUNTA,"La comunidad migrante encaminada o coordinada con muchas mujeres de esta localidad lograron hacer un puente para que los niños pudieran pasar a su escuela o a sus escuelas y no tuvieran que rodear, una obra realmente majestuosa que hicieron los mismos habitantes de este lugar, creo que son albañiles, y con dinero de lo que mandan de Estados Unidos.",0.0,60,12,06,2024
PREGUNTA,"Ellos se reunieron en esta visita que tuve también con otro compañero en este lugar para hacer tres peticiones. Señor presidente, sé que su cuenta regresiva ha comenzado en esta administración, pero no quería dejar de ponerlo sobre la mesa.",0.0,40,12,06,2024
PREGUNTA,Ellos piden apoyo para implementar drenaje.,0.0,6,12,06,2024
PREGUNTA,"También solicitan una clínica. Ellos tienen que trasladarse hasta estos estados que le acabo de mencionar ante alguna emergencia, que es un trayecto de cerca de 30 o 40 minutos. Y esta clínica podría ayudar, no solamente a esta comunidad de Ojo de Agua de Espejo, también ayudaría a la comunidad de Soledad de Realengo, al Realengo, a San Vicente, a San Nicolás, y se habla de al menos unas 10 mil personas.",0.0,73,12,06,2024
