Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO ISAURO MARTINEZ OROZCO," Buenos días, presidente, con su permiso. Buenos días a todas y todos.",0.0,12,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Me voy a referir al proyecto de la zona de riego de Picachos, al proyecto Picachos. Este proyecto está situado en el sur del estado de Sinaloa. La presa Picachos se inauguró en el 2011, es una presa de almacenamiento que desde su inauguración no había tenido ninguna utilidad.",0.0,49,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Es hasta el 2019 que el presidente de la República y el gobierno federal, a través de la Conagua, inician con el proyecto de la construcción del acueducto a Mazatlán, donde la presa Picachos comienza a tener la primer gran utilidad para la región.",0.0,44,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Yo me voy a referir en este momento al segundo componente del proyecto Picachos, que es la construcción de la zona de riego de Picachos, que consta de 22 mil 500 hectáreas de riego tecnificado que se están haciendo.",0.0,39,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Nuestra inversión, la inversión federal que se ha hecho, es de cinco mil 444 millones de pesos. Al día de hoy nosotros llevamos un avance físico considerable del 97.1 por ciento. El proyecto beneficiará a tres mil 172 productores.",0.0,39,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"En la lámina se alcanza a percibir el plan general de construcción. En la parte naranja es toda la zona de riego tecnificado, toda la tubería que nosotros estamos instalando. Y la franja azul son parte de uno de los grandes componentes de la zona de riego que es la construcción de 61.8 kilómetros de canal revestido, así como 142 kilómetros de vialidades que conectan a más de 20 de ejidos en el sur de Sinaloa. Además, también, el proyecto comprende la construcción de 15.6 kilómetros de margen derecho, de canal principal entubado. El proyecto en general son 348.5 kilómetros de red entubada.",0.0,103,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Otro componente importante es la construcción de la derivadora Siqueros. Esta derivadora en su margen derecha provee de agua al acueducto de Mazatlán que el presidente inauguró en el año 2020, y en su margen derecha da el abasto de 20 metros cúbicos por segundo a la zona de riego.",0.0,50,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Aquí ya en estas imágenes podemos ver la presa derivadora Siqueros. El canal principal que ya está dotando de agua a productores que cosechan maíz, frijol, chile, cebolla, mango, en esta parte del estado de Sinaloa, en el municipio de Mazatlán.",0.0,41,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,El hidrante es la parte final donde el agricultor prácticamente llega y abre la llave y empieza a regar las hectáreas que ellos tienen. Y varias estructuras que tenemos aquí.,0.0,30,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,Siguiente. Un desfogue. Así se ve el canal. Estas son algunas de las estructuras.,0.0,14,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Comentar que en el estado de Sinaloa no hay infraestructura como esta que se está construyendo, 62 kilómetros de canal revestido significan ahorro racional del agua. No hay pérdidas por evaporación, por filtración, entonces es un sistema de riego tecnificado bastante novedoso y sofisticado en el país, al igual que los demás proyectos.",0.0,53,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"La fecha de inauguración que nosotros le hemos planteado al presidente es para la última semana de julio, la primera semana de agosto.",0.0,23,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Como lo comentaba, el proyecto Picachos tiene tres componentes:",0.0,9,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"El acueducto Mazatlán, que inicia el 2020 y culmina el 2021.",0.0,11,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"La zona de riego, que comienza el proyecto en el 2021 y estamos a punto de inaugurarlo, ya se tienen 20 mil de las 22 mil 500 hectáreas.",0.0,28,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Y esta vertiente es la vertiente emblema del proyecto, el presidente nos encargó mucho que hiciéramos posible llevar agua de calidad en cantidad suficiente al municipio de Concordia en el estado de Sinaloa. Nos pidió que hiciéramos realidad el hecho de que este municipio tuviera agua, este municipio está a menos de cuatro kilómetros de la presa y desde su construcción este municipio se abastecía a través de cuatro pozos ribereños cuando tenían agua, en tiempos de sequía el traslado y el suministro de agua se hacía a través del tandeo de pipas.",0.0,93,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Esta obra ya fue inaugurada por el presidente el 23 de febrero de este año. El proyecto comenzó en enero del 2023. La inversión que se generó, que se invirtió, fue de 406.23 millones de pesos. Nuestros beneficiarios con proyección al 2042 es de 19 mil habitantes.",0.0,47,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,¿Cuáles son los componentes de este acueducto?,0.0,7,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Se construyó una planta potabilizadora con capacidad de 89 litros por segundo, que, al día de hoy, desde la inauguración del presidente ya funciona, ya opera, ya en esta temporada de sequía ya la gente, 13 comunidades del municipio y la cabecera municipal de Concordia, ya tienen agua.",0.0,48,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Se construyeron, en un año, 89.25 kilómetros de tubería. Se construyeron 19 tanques de entrega, seis tanques de cambio de régimen para bombear a las comunidades serrana, este acueducto se construyó en la zona serrana del municipio de Concordia y del estado de Sinaloa; se generaron dos mil 298 empleos en todo un año.",0.0,54,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Y estas son las imágenes de la infraestructura ya construida y ya entregada. Ya la junta municipal de agua en Concordia la opera. Tiene una calidad en la construcción y los materiales y cómo se construyó. Nada más la planta potabilizadora con las celdas solares se abastece, el 30 por ciento de energía se abastece a través de las celdas solares. Hay tanques de cambio de régimen, el tanque de entrega de Concordia es de ocho mil litros.",0.0,78,20,06,2024
ALEJANDRO ISAURO MARTINEZ OROZCO,"Y ya ahora la realidad es que la gente en Concordia ya tiene agua en bloque de forma permanente, presidente.",0.0,20,20,06,2024
