Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS RODRIGUEZ BUCIO," Con su permiso, señor presidente. Muy buenos días.",0.0,8,25,06,2024
LUIS RODRIGUEZ BUCIO,"Voy a dar, me voy a permitir informar sobre el avance de ‘Cero impunidad’ del 11 al 24 de junio. Tenemos tres extradiciones realizadas por la Fiscalía General de la República. Aquí vemos los nombres. Son personas requeridas por las cortes de California, dos, y por la de Nueva York, por los delitos de homicidio, tentativa de homicidio, homicidio de segundo grado de un bebé y homicidio intencional, toma de rehenes y asociación delictuosa.",0.0,74,25,06,2024
LUIS RODRIGUEZ BUCIO,"Detenciones relevantes, tenemos esta de Carlos ‘N’, él fue detenido por la fiscalía del estado de Chihuahua, tras cumplimentar una orden de aprehensión por el delito de desaparición cometida por particulares, esto ocurrió el 20 de junio del 22 en Cerocahui, Chihuahua. El hoy detenido, junto con quien fuera el líder criminal de Urique, José Noriel, alias ‘el Chueco’, y otros hombres armados llegaron hasta un domicilio en Cerocachui en busca de una persona de nombre Jesús Armando. En el domicilio solamente se encontraba Paul Osvaldo, a quien privan de su libertad, llevándoselo en un vehículo, además de que le prendieron fuego a su vivienda. El cuerpo de Paul Osvaldo fue localizado sin vida el 4 de julio del 2022 en la comunidad El Chorro, municipio de Urique. Carlos ‘N’ ya fue vinculado a proceso penal.",0.0,136,25,06,2024
LUIS RODRIGUEZ BUCIO,"Otra detención relevante, de Daniel ‘N’, presunto integrante del grupo delictivo de la Familia Michoacana. Él fue detenido por la Fiscalía General de Justicia del Estado de México, con apoyo del Ejército Mexicano, Conaho y de la procuraduría de Tlaxcala, tras cumplimentar una orden de aprehensión por el delito de homicidio calificado en agravio de una persona de identidad reservada, esto el 11 de enero del 2024 en Chicoloapan, Estado de México. De acuerdo con las investigaciones ministeriales, la víctima se encontraba en la vía pública en la colonia Real Costitlán, lugar donde fue interceptado por Daniel y otros dos, quienes le habrían disparado con arma de fuego ocasionándole la muerte. El móvil del delito, hasta ahorita, tiene la fiscalía que habría sido la negativa de la víctima a comercializar droga proporcionada por Daniel ‘N’. Daniel, después de este homicidio, huyó a Tlaxcala, lugar donde fue detenido.",0.0,147,25,06,2024
LUIS RODRIGUEZ BUCIO,"Estas dos detenciones de Joaquín Jonathan y Brayan Manuel, ellos fueron detenidos por la Fiscalía del estado de Guanajuato tras cumplimentar una orden de aprehensión por el delito de homicidio calificado de seis integrantes de una familia, cuatro mujeres y dos menores, esto ocurrió el 9 de junio del 2024, en León, Guanajuato. De acuerdo con las investigaciones, los hoy detenidos habrían ingresado a un domicilio en la colonia Industrial, de León, Guanajuato, lugar donde privado de la vida a las seis víctimas con arma de fuego. Ya fueron vinculados a proceso con medida cautelar de prisión preventiva.",0.0,98,25,06,2024
LUIS RODRIGUEZ BUCIO,"Esta vinculación a proceso de María del Rosario ‘N’, ella fue vinculada a proceso por su presunta participación en los delitos de desaparición cometida por particulares, homicidio calificado y feminicidio y tortura cometido en agravio de tres hermanos González Moreno, esto en Guadalajara, Jalisco, en mayo del 2021. De acuerdo con las investigaciones de la Fiscalía de Jalisco, las tres víctimas fueron privadas de su libertad en la colonia San Andrés y llevadas a otra colonia, Monumental, lugar donde fueron torturadas y después privadas de la vida. Los cuerpos de los tres hermanos aparecieron dos días después en el kilómetro 27 de la carretera a Colotlán a la altura de la comunidad del Pueblito. Por este hecho ya fue detenido y vinculado a proceso otra persona de nombre Oswaldo ‘N’, en el 2022.",0.0,133,25,06,2024
LUIS RODRIGUEZ BUCIO,"Esta vinculación a proceso de Diana ‘N’, por el homicidio de Ricardo Arizmendi Reynoso, él era candidato suplente a la alcaldía de Cuautla, en las pasadas elecciones, así como por el feminicidio de una de sus trabajadoras de nombre Patricia, esto el 28 de mayo pasado en Cuautla, Morelos. De acuerdo con las investigaciones de la fiscalía de Morelos, Ricardo Arizmendi se encontraba en su negocio de venta de abarrotes, junto con su trabajadora, al interior de la plaza 12 de Octubre, en Tetelcingo, a donde arribó Diana y acciona su arma de fuego contra las víctimas, provocándoles la muerte. Ella había huido por la parte trasera de la plaza en una motocicleta que la esperaba en el exterior, presuntamente conducida por Luis Rodolfo ‘N’. Ellos dos enfrentan otro proceso penal por el delito de homicidio de otro comerciante en la misma plaza, ocurrido el 6 de junio del 2024.",0.0,150,25,06,2024
LUIS RODRIGUEZ BUCIO,"Esta sentencia, de prisión vitalicia más 46 años y dos meses a Lev Norman, por el de delito de feminicidio de Lucero Jazmín, de 23 años, así como por el delito de homicidio calificado en grado de tentativa del hermano de Lucero Jazmín, ambos casos ocurrieron el 3 de octubre en San Mateo Atenco, Estado de México. De acuerdo con las investigaciones de la fiscalía del Estado de México. Lucero Jazmín se encontraba en compañía del hoy sentenciado en el interior de un domicilio ubicado en el Barrio Santiaguito, lugar donde este la agredió con un objeto punzocortante causándole la muerte y posteriormente desmembró su cuerpo. Lev Norman fue descubierto por el hermano de Lucero Jazmín, quien también fue agredido por el sentenciado con el mismo objeto punzocortante lesionándolo de gravedad. El hoy sentenciado fue detenido por la policía municipal cuando intentaba huir llevando en una maleta los restos de Lucero Jazmín.",0.0,152,25,06,2024
LUIS RODRIGUEZ BUCIO,"Esta otra sentencia, de 171 años y seis meses de prisión, y 115 años de prisión a Jesús y Eduardo tras acreditar su responsabilidad en los delitos de homicidio calificado en grado de tentativa y homicidio contra servidores públicos en grado de tentativa, todo ello ocurrió en junio del 2021 en Valle de Santiago, Guanajuato. El primer hecho ocurrió el 3 de junio, cuando Jesús llegó a un domicilio en la colonia San Juan y asesinó a dos personas. Seis días después, el segundo caso, cuando los hoy sentenciados ingresaron a un inmueble ubicado en la colonia La Loma y privaron de la vida con arma de fuego a cuatro personas. Un tercer caso, dos días después, en un inmueble ubicado en la colonia Miravalle, lugar en el que ambos sentenciados dispararon contra agentes de la fiscalía del estado de Guanajuato, hiriendo a uno de ellos y aquí fue donde Jesús ‘N’ fueron detenidos en flagrancia.",0.0,156,25,06,2024
LUIS RODRIGUEZ BUCIO,"Tenemos tres casos que favorecen a presuntos delincuentes. Aquí es una red de corrupción en Ceferesos en el tiempo de Genaro García Luna. La favorecida es Jannet Miriam, ella es investigada por su supuesta participación en los delitos de peculado y delincuencia organizada y por el desvío de cinco mil 112 millones de pesos, ella trabaja en PYRS. El juez que favorece es Gregorio Salazar Hernández, quien el 14 de junio de este año, en audiencia de revisión de medidas cautelares, dejó sin efectos la prisión preventiva justificada que había contra Jannet Miriam, sustituyéndolas por otras no privativas de la libertad en reclusión, y ordenó su inmediata libertad sin cubrir los trámites de egreso obligatorios en estos casos y permitiéndole su salida directamente de la sala de audiencia al término de la misma. Las nuevas medidas impuestos a Jannet Miriam fueron o son la presentación semanal de manera virtual, garantía económica por dos millones de pesos y la prohibición de salir del país, entre otras. De acuerdo con el juez, ya habían variado las condiciones que motivaron la imposición de la prisión preventiva justificada a Jannet Miriam en virtud de que su defensa logró acreditar el arraigo domiciliario habitual y asiento de familia de la procesada.",0.0,206,25,06,2024
