Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Con su permiso, señor presidente. Buenos días a todas, a todos.",0.0,11,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,Hoy es 26 de junio del año 2024. Esta es la sección ‘Quién es quién en las mentiras de la semana’.,0.0,21,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Hoy traemos una nota que nos pareció muy importante, porque es falso que la planta Nissan en Aguascalientes cerrará este año. Los conservadores no cejan en su empeño de inventar noticias falsas, no les importa lo que ha sucedido, toman cualquier tema para atacar al gobierno. Esta vez un medio llamado Tiempo y Plumas Libres publicaron, con el mismo título, que la planta armadora de autos Nissan abandonaría operaciones en Aguascalientes porque la Cuarta Transformación, dicen, no ofrece garantías a la inversión, lo cual resultó absolutamente falso, un despropósito, porque al final vamos a ver que hay un final feliz en esta nota falsa.",0.0,104,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Sin embargo, circuló en redes esta mentira. Hay que decir que echaron mano de los robots y cuentas automatizadas que siguen por ahí. La empresa japonesa Nissan desmintió las versiones de su retiro a través de un comunicado oficial, ellos dijeron que continúan con su operación habitual, sin ninguna afectación, en todas las plantas de la compañía en territorio nacional, incluyendo todas sus operaciones en el estado de Aguascalientes. Ellos dicen, también:",0.0,72,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"‘En Nissan Mexicana estamos comprometidos con el estado de Aguascalientes y el país, como lo hemos hecho en más de 60 años de experiencia que tenemos en México. Resultado de este compromiso, Nissan Mexicana se ha posicionado como líder indiscutible del mercado automotriz en México durante 16 años consecutivos.’",0.0,49,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Y el final feliz en todo esto es que no solamente se equivocan y mienten, sino ayer la Nissan anunció que va a invertir 700 millones de dólares en 2025 para armar una camioneta, es la Nissan Kicks, es un nuevo modelo que va a exportar a 77 países; 700 millones de dólares de inversión de la Nissan, no se va a ningún lado, se queda en México porque hay garantías para las empresas. Y, bueno, quedaron.",0.0,77,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Hasta aquí esta noticia falsa, vamos con otra, pero tenemos un posicionamiento: el periodista mejor pagado de México, Carlos Loret de Mola, y su medio Latinus han estado repitiendo en todos lados que es víctima de una persecución por parte del gobierno, lo hemos visto todos, lo hemos escuchado todos.",0.0,50,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Primero, aclarar que ya no existe la censura oficial, y los periodistas y los medios de medios de comunicación hacen pleno uso de su derecho a informar y a ejercer sin cortapisas la libertad de expresión, incluido Loret y sus amigos. Sólo recordar que el pueblo de México ya no se deja engañar. Nadie está siendo perseguido por este gobierno. En México hay libertades plenas. Y pese a todas las publicaciones que han hecho, nosotros seguimos en esta convicción: nadie será callado en este gobierno, todas las libertades para todas las personas.",0.0,92,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Pero va nuestro… Una prueba de cómo se equivocan y se vuelven a equivocar y repiten mentiras. Para aquellos que sólo oyen el mantra de que el Poder Judicial no se toca, les compartimos aquí la opinión de Mike Vigil, exagente de la DEA, que cuestiona a la agencia estadounidense por descalificar la reforma judicial en México —ya sabemos que están en contra de todo— y opinan que es mejor elegir a los jueces por voto popular. Vamos a ver lo que dice el exagente de la DEA.",0.0,88,26,06,2024
ANA ELIZABETH GARCIA VILCHIS, Pues ahí está. Que cada quien haga sus conclusiones sobre esto.,0.0,11,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Y vamos a un breviario que nos pareció muy importante presentar hoy en la sección porque Julian Assange es libre, la libertad de expresión ganó y Julian Assange fue liberado tras una lucha de 12 años contra la persecución de Estados Unidos.",0.0,42,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Julian Assange es un ejemplo de las batallas por las libertades y los derechos de todas y todos, Assange fundó WikiLeaks en 2006 con el objetivo de desafiar las estructuras de poder y defender los derechos humanos en una búsqueda de transparencia y verdades radicales. Entonces WikiLeaks fue concebido para publicar material enviado de forma anónima, así se publicó el manual de operaciones del ejército estadounidense para su campo de detención en la bahía de Guantánamo y documentos internos de la Iglesia de la Cienciología.",0.0,85,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"En 2010, WikiLeaks llamó la atención del mundo al publicar un video de una operación militar estadounidense en Irak, donde se muestra un ataque militar contra civiles desde un helicóptero en octubre de 2007.",0.0,34,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Poco después, WikiLeaks publicó miles de documentos militares estadounidenses clasificados relacionados con las guerras en Irak y Afganistán, así como miles de cables diplomáticos. Assange afirmó que se trataba de pruebas convincentes de crímenes de guerra.",0.0,36,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,WikiLeaks hizo las más importantes revelaciones de información y las repercusiones periodísticas más importantes del siglo XXI. Julian Assange fue perseguido por difundir la verdad y defender el derecho de la gente a conocerla. Los crimínales de guerra siguen protegidos.,0.0,40,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Después de una amplia campaña mundial, ha ganado la libertad. Enhorabuena por esta gran noticia. Que viva la libertad de expresión.",0.0,21,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,"Y, por último, presentamos la colaboración de Infodemia dedicada a la campaña de mentiras sobre la supuesta persecución oficial contra Loret de Mola y Latinus.",0.0,25,26,06,2024
ANA ELIZABETH GARCIA VILCHIS," Es cuanto, señor presidente.",0.0,4,26,06,2024
ANA ELIZABETH GARCIA VILCHIS,Que todas y todos tengan un buen día.,0.0,8,26,06,2024
