Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIEGO PRIETO HERNANDEZ," Muchas gracias. muy buenos días, señor presidente, con un saludo también para todas y todos los que nos acompañan en esta conferencia, tanto los que están aquí presentes en el Salón Tesorería como quienes nos siguen en las redes y medios audiovisuales.",0.0,42,27,06,2024
DIEGO PRIETO HERNANDEZ,"Efectivamente, estamos haciendo un gran trabajo de recuperación de la memoria de la gran nación maya a través de sus vestigios materiales, la recuperación de muy valiosa información y materiales arqueológicos a través de dos vías:",0.0,36,27,06,2024
DIEGO PRIETO HERNANDEZ,Una de ellas es el salvamento arqueológico que el instituto siempre aplica con una metodología científica en cada obra pública o privada que se lleva a cabo en terrenos donde es posible encontrar vestigios arqueológicos.,0.0,35,27,06,2024
DIEGO PRIETO HERNANDEZ,"Y el segundo mecanismo es el Programa de Mejoramiento de Zonas Arqueológicas, que el presidente instruyó para que pudiéramos desarrollar acciones de investigación, de conservación y restauración de, hasta hoy, 29 sitios arqueológicos, a los que se van a agregar seis más.",0.0,42,27,06,2024
DIEGO PRIETO HERNANDEZ,"Y también, de habilitación de mejores infraestructuras y Centro de Atención a Visitantes, incluyendo nueve nuevos museos que estamos montando, que estamos preparando para que la experiencia de visita sea mucho más enriquecedora para los nacionales y extranjeros que llegan a las zonas.",0.0,43,27,06,2024
DIEGO PRIETO HERNANDEZ,"Por lo que hace al salvamento arqueológico, comentarles que, cuando dijimos que las obras cuentan con el 100 por ciento de visto bueno de obra, no es asunto discrecional, no es que al director general se le ocurrió ‘okey, hagan la obra’; es que hay todo un trabajo científico detrás, un trabajo que empieza desde la revisión preliminar, de las rutas por las que habrá de transcurrir el tren —en su mayoría ya en funcionamiento—, y revisar las imágenes fotogramétricas, las imágenes de vuelos Lidar para saber qué vestigios podemos encontrar.",0.0,91,27,06,2024
DIEGO PRIETO HERNANDEZ,"Después, viene el trabajo de prospección, que significa reconocer el terreno, los vestigios tanto de carácter inmueble como de elementos muebles que podemos recuperar y poder entonces refrendar el trazo de la vía. A partir de ahí, se tienen que desarrollar tareas de excavación y registro de los materiales arqueológicos; eso lo hacemos con celeridad porque, por supuesto, la idea es no complicar los tiempos de obra, como lo hemos demostrado.",0.0,71,27,06,2024
DIEGO PRIETO HERNANDEZ,"Después, la recuperación de materiales. Y todavía estamos haciendo mucha actividad que tiene que ver con el análisis y tratamiento de los materiales arqueológicos recuperados. Es decir, el salvamento no termina en el trabajo de campo, en el trabajo en territorio; hay un gran trabajo de análisis de laboratorio, de clasificación y limpieza de los materiales, y de restauración de aquellos materiales susceptibles de ser recuperados para su exhibición en los museos. De manera que, insisto, es un trabajo científico y colectivo.",0.0,82,27,06,2024
DIEGO PRIETO HERNANDEZ,"Y los vistos buenos de obra no los emite el director general, los emite el responsable arqueológico con el aval del Consejo Nacional de Arqueología del INAH, con base en la norma para la investigación arqueológica.",0.0,36,27,06,2024
DIEGO PRIETO HERNANDEZ,"Como ustedes ven, por lo que se refiere a la recuperación de información y materiales arqueológicos, ya el incremento es mucho más lento porque ahora mismo, en lo que refiere al salvamento arqueológico, estamos trabajando más bien en bancos de materiales y en obras colaterales; sin embargo, ya recuperamos información de 62 mil 165 elementos constructivos de diverso carácter, lo que nos habla de la gran densidad que alcanzó la civilización maya en este territorio. Hay una gran cantidad de poblaciones que, claro, no todas corresponden a la misma época, pero sí nos hablan de una red de ciudades, una red urbana que se desarrolló en la península de Yucatán y la selva maya.",0.0,114,27,06,2024
DIEGO PRIETO HERNANDEZ,"Son ya un millón 465 mil 719 fragmentos de cerámica o tepalcates, que nos dan una información muy útil para la investigación arqueológica; mil 997 bienes muebles entre vasijas, platos, incensarios, figurillas, navajas, puntas de flecha, metates, molcajetes y otra serie de objetos que se someten a procesos de restauración, de manera que estamos hoy mismo restaurando mil 914 piezas; 703 enterramientos humanos, que nos dan muy importante información sobre las características físicas de la población, pero también sobre las prácticas funerarias y la manera que desarrollaron los mayas fundamentalmente para venerar a sus difuntos, a sus ancestros; y dos mil 252 rasgos naturales asociados a la presencia de grupos humanos.",0.0,111,27,06,2024
DIEGO PRIETO HERNANDEZ,Estos datos hay que considerar que son sólo del salvamento arqueológico; a partir de la próxima ocasión vamos a empezar a dar información del material que se viene recuperando a través de las investigaciones que se desarrollan en el Programa de Mejoramiento de Zonas Arqueológicas.,0.0,45,27,06,2024
DIEGO PRIETO HERNANDEZ,"Este programa, como les decía, tiene también el propósito de habilitar museos y sañas interpretativas, de modo tal que el día de mañana con el señor presidente vamos a inaugurar el museo de sitio de Edzná, una muy importante ciudad antigua de los mayas que se ubica en el estado de Campeche y que forma parte de esta red de museos que estamos habilitando para la satisfacción, para el disfrute del público, del turismo extranjero y nacional.",0.0,77,27,06,2024
DIEGO PRIETO HERNANDEZ,"Y, como les digo también, el Promeza implica una tarea muy importante de investigación. Y recuperando, como dice el señor presidente, toda la fortaleza histórica y cultural del tronco civilizatorio de los mayas, de manera que, como lo hacíamos antes y ahora lo hemos retomado, vamos a ir presentándoles algunas de estas zonas arqueológicas; ahora le corresponde el turno a la antigua ciudad maya de Sayil, en el estado de Yucatán, correspondiente a la región del Puuc. Adelante.",0.0,78,27,06,2024
DIEGO PRIETO HERNANDEZ, Muchas gracias.,0.0,2,27,06,2024
