Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DAVID MONREAL AVILA," Buenos días, señor presidente Andrés Manuel López Obrador; buenos días al doctor Jorge Alcocer, secretario de Salud; al maestro Zoé Robledo, director general del IMSS; a la arquitecta Ariadna Montiel, secretaria del Bienestar, y demás integrantes del gabinete federal y medios de comunicación; saludo con aprecio, con reconocimiento a la distancia a mis compañeros gobernadores y a nuestra gobernadora.",0.0,59,06,06,2024
DAVID MONREAL AVILA,"Hoy Zacatecas refrenda su compromiso con uno de los pilares de la Cuarta Transformación que usted encabeza: el anhelo de que las y los mexicanos, sin distinción, tengan acceso a un sistema de salud digno y gratuito, a través del programa IMSS-Bienestar y La Clínica es Nuestra.",0.0,47,06,06,2024
DAVID MONREAL AVILA,"El justo anhelo de que cualquier persona, independientemente de su condición socioeconómica, étnica o racial, cuente con el respaldo de un gobierno humanista para hacer frente a las insufribles cargas de cualquier enfermedad, es con la firme intención de alcanzar este noble objetivo.",0.0,43,06,06,2024
DAVID MONREAL AVILA,"Desde Zacatecas nos hemos sumado con voluntad y compromiso a la federalización del sistema de salud, convencidos de que se trata de una estrategia de transformación de la vida de las y los mexicanos.",0.0,34,06,06,2024
DAVID MONREAL AVILA,"Esta mañana nos encontramos en el Centro de Salud Urbano ‘Dr. José Castro Villagrana’, ubicado en la colonia de Las Palmas, en la capital de nuestro estado. Este es uno de los muchos complejos en donde se está ya materializando este sueño por el que hemos luchado durante décadas, el de asegurar que todas y todos los mexicanos cuenten con acceso a servicios de salud digna, gratuitos y de calidad.",0.0,70,06,06,2024
DAVID MONREAL AVILA,"Señor presidente, gracias a su apoyo y al esfuerzo de este gobierno, en Zacatecas hemos logrado instalar 292 comités de salud distribuidos de la siguiente manera: 216 comités de centro de salud de un consultorio que recibirán 400 mil pesos, 26 comités de centros de salud de dos consultorios que reciben 600 mil pesos, 18 comités de centros de salud de tres a cinco consultorios que van a recibir 800 mil pesos, 28 comités de centros de salud de más de seis consultorios que reciben un millón de pesos y a cuatro comités de centro de salud ampliado de hasta 12 camas, que recibirán 1.2 millones de pesos.",0.0,108,06,06,2024
DAVID MONREAL AVILA,"Lo anterior representa una suma de 142 millones de pesos que serán destinados para la mejora de infraestructura y la adquisición de equipo médico y mobiliario, según lo determine nuestro pueblo organizado a través de estos comités.",0.0,37,06,06,2024
DAVID MONREAL AVILA,"Todo esto será realizado con la mayor transparencia, con la mayor de las honestidades, tal como usted lo ha instruido. Ahora, gracias a este trabajo, estos recursos estarán destinados a favorecer a todos, en lugar de convertirse en recursos discrecionales, en esas cajas chicas que se ejercían para beneficio de unos cuantos; ahora están dirigidos a incrementar de manera significativa y real la cobertura de salud para las personas más vulnerables de nuestro estado y de nuestro país.",0.0,78,06,06,2024
DAVID MONREAL AVILA,"Este programa permitirá que el pueblo zacatecano no tenga que preocuparse por el costo de una consulta médica, por el medicamento o por el tratamiento de especialistas, lo que nos permitirá seguir avanzando en la creación de una sociedad más justa y equitativa, en donde todas y todos tengamos acceso a los mismos derechos.",0.0,54,06,06,2024
DAVID MONREAL AVILA,"Señor presidente, termino reiterando la lealtad del pueblo de Zacatecas, la lealtad de nuestra gente para seguir cristalizando no solamente el sistema de salud, que será más justo y equitativo, sino la construcción de una sociedad en donde nadie se quede atrás, en donde existan niñas y niños con oportunidades para cumplir sus sueños, en donde ningún estudiante deba abandonar la escuela por falta de recursos, en donde nuestros abuelitos y abuelitas cuenten siempre con la solidaridad de nuestro gobierno.",0.0,80,06,06,2024
DAVID MONREAL AVILA,"Desde aquí, desde Zacatecas, reiteramos y refrendamos nuestro compromiso para seguir avanzando en la impronta, humanista y progresista que usted ha sellado en el desarrollo del desarrollo del país desde hace mucho tiempo.",0.0,33,06,06,2024
DAVID MONREAL AVILA,"Y desde aquí, también a nombre del estado de Zacatecas, de nuestras niñas, de nuestros niños, de nuestros jóvenes, hombres y mujeres, de nuestros adultos mayores y personas con discapacidad, le agradecemos infinitamente que ningún día, en ningún momento, nos ha dejado solos en este estado. Reconocemos su invaluable apoyo para que Zacatecas siga avanzando en el proceso de construcción de una sociedad de paz, bienestar y progreso.",0.0,68,06,06,2024
DAVID MONREAL AVILA,"Y, sin más, vamos a proceder a la entrega de la tarjeta de beneficio a esta clínica por un monto de un millón de pesos a la tesorera del comité del Centro de Salud ‘José Castro Villagrana’. Este comité lo integra la médico Laura Denise Ramírez Sandoval, la enfermera Nancy Gabriela Nava Arteaga, la compañera presidenta Andrea Elizabeth Vélez Ramírez y la tesorera Celia Carrillo Domínguez, a quien le hacemos entrega de esta tarjeta de La Clínica es Nuestra.",0.0,79,06,06,2024
DAVID MONREAL AVILA,"Y, por último, señor presidente, no lo olvide, por favor, no lo olvide, nunca lo olvide: en Zacatecas lo queremos bien, mucho.",0.0,22,06,06,2024
