Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
VICTOR MANUEL CASTRO COSIO," Buenos días, compañero presidente; buenos días, camarada Zoé; lo mismo al doctor Alcocer, le mando un abrazo, y buenos días a todos quienes nos están viendo y escuchando, y sobre todo a las y los sudcalifornianos que están atentos, pendientes de este nuevo programa.",0.0,44,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Entendiendo que la salud es lo más preciado para el ser humano y que se constituye el derecho universal constitucional en nuestro país, el gobierno de la República comprometido con preservar este derecho nos convocó a sumar esfuerzos.",0.0,38,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Hace alrededor de un año suscribimos el convenio con IMSS-Bienestar, esta convocatoria a sumar esfuerzos en la construcción de un sistema de salud universal con la visión clara que nadie se quede atrás y nadie se quede fuera. A casi un año de haber firmado este acuerdo, hemos transitado por diferentes etapas hasta llegar a esta última, esta casi última, donde se incorpora a la ciudadanía en este proceso, fortaleciendo la visión de la Cuarta Transformación de la democracia participativa, que la gente decida el presupuesto que le corresponde, un avance más de integrar a la gente a las decisiones públicas.",0.0,101,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Ahora, a través del programa La Clínica es Nuestra y mediante los comités ciudadanos que se formaron en Baja California Sur y en el país, el destino de los recursos públicos que les sean asignados, y de acuerdo a las reglas del programa en Baja California Sur, serán beneficiadas 54 clínicas de salud con una inversión de 34 millones de pesos.",0.0,61,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Hoy también iniciamos la entrega de tarjetas para el Bienestar, mismas que haremos llegar a todos los derechohabientes de IMSS-Bienestar en Baja California Sur.",0.0,24,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Gracias, amigo presidente, por este gran avance en la atención de la infraestructura en el sector salud, que junto al fortalecimiento de la atención médica prioritaria en esta transformación que está teniendo el sector salud, el pueblo de México va a tener la oportunidad de ser atendido en cualquier parte de nuestra entidad y del país. Sin descuidar el abasto de medicamentos, estaremos respondiendo con toda responsabilidad y esmero la atención médica del pueblo mexicano y del pueblo de Baja California Sur.",0.0,82,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Quiero expresarle, señor presidente, una invitación atenta para que en los próximos meses pueda usted inaugurar el hospital de Santa Rosalía. Es importante para el municipio de Mulegé este hospital. Ya está en su fase ya final de construcción, de equipamiento, y creemos que para julio estará listo el hospital de Santa Rosalía, que atenderá todo el pueblo mulegino.",0.0,59,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Un abrazo presidente. Y muchas gracias, en nombre del pueblo de Baja California Sur, por atender una de las condiciones más importantes para las y los sudcalifornianos: la salud del pueblo. Mi abrazo con aprecio, con respeto y con mucha estima.",0.0,41,06,06,2024
VICTOR MANUEL CASTRO COSIO,"Vamos a entregar la tarjeta aquí a mi amigo. Esta colonia 8 de Octubre se creó, desgraciadamente, en una tragedia que hubo en Baja California Sur, de un huracán que devastó la ciudad de La Paz y la gente fue reubicada en esta popular colonia 8 de Octubre. Le entrego mi amigo, mi amiga tesorera este primer pago, una tarjeta, para bien de Baja California Sur.",0.0,66,06,06,2024
VICTOR MANUEL CASTRO COSIO,Gracias a toda a la gente que ‘mañaneó’ acompañándonos. Un abrazo. Que siga la Cuarta Transformación ayudando al pueblo de México.,0.0,21,06,06,2024
