Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
BLAS ANDRES NUÑEZ JORDAN," Muy buenos días a todos y todas. Con su permiso, señor presidente.",0.0,12,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"A mí me toca hablarles de las obras que la Secretaría de la Defensa Nacional, a través de la Dirección General de Ingenieros, tiene a su cargo en el tramo 1. La primera es el Hotel Tren Maya, en Palenque, que se construye a sólo un par de kilómetros de la zona arqueológica y frente al Centro de Atención a Visitantes. Así como ya lo mencionó el general Águila, contará con 160 habitaciones, dobles y sencillas, va a tener alberca, spa, gimnasio, entre otras amenidades.",0.0,85,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"La obra presenta un avance del 40.10 por ciento y se ejecutan trabajos ya de acabados en las habitaciones, en el restaurante, en el bar, la cocina y en el temazcal.",0.0,31,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,El hotel se encuentra convenientemente localizado aproximadamente a una distancia de nueve kilómetros de la estación del tren y del Aeropuerto Internacional de Palenque.,0.0,24,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"Los visitantes del hotel podrán disfrutar, además de la visita a la zona arqueológica, a interesantes puntos turísticos que ya se han mencionado, como las cascadas de Agua Azul, que se localizan aproximadamente a 70 kilómetros del hotel, y la cascada de Misol-Ha a 28 kilómetros de distancia, entre otros.",0.0,50,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"Se han generado 520 empleos de manera directa e indirecta, principalmente de trabajadores de la región, por lo que se genera una derrama económica importante para la localidad.",0.0,28,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"Asimismo, y como parte del programa de mitigación ambiental, se tiene considerado un programa de reforestación de más de cinco mil árboles endémicos.",0.0,23,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,La inauguración del hotel se tiene programada para el próximo mes de septiembre del presente año.,0.0,16,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"Ahí mismo, en la ciudad de Palenque, y junto a lo que será la estación, a lo que es la estación del tren, ya se encuentra construido el edificio corporativo de zona para la empresa Tren Maya, la cual tendrá el control operativo y administrativo para el correcto funcionamiento del tren en la región.",0.0,54,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,La obra se encuentra totalmente terminada y está en proceso de equipamiento administrativo para que entre en operaciones durante el presente mes.,0.0,22,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"Y ya, por último, ahí mismo, en la ciudad de Palenque, en el entronque de la carretera hacia Ocosingo y la carretera que conduce a la zona arqueológica de Palenque, en un terreno de 9.67 hectáreas, se construirá el parque La Ceiba. Este será un ecoparque que tiene como elemento central el árbol de la ceiba, considerado árbol sagrado en la cultura maya. Se llevará a cabo la reforestación del predio con 435 ceibas. Además, contará con una ciclopista, trotapista, andadores, un pórtico de acceso y los estacionamientos adecuados para vehículos y bicicletas.",0.0,93,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"Se tiene considerado un programa de cuatro meses de ejecución, por lo que su inauguración se tiene proyectada para finales de este año.",0.0,23,15,07,2024
BLAS ANDRES NUÑEZ JORDAN,"Es cuanto, señor presidente.",0.0,4,15,07,2024
