Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JESUS RAMIREZ CUEVAS,(inaudible) de la opinión del New York Times.,0.0,8,17,07,2024
JESUS RAMIREZ CUEVAS," Sí, ‘falló las pruebas de liderazgo y traicionó a Estados Unidos’.",0.0,11,17,07,2024
JESUS RAMIREZ CUEVAS," ‘Los votantes deben rechazarlo en noviembre’, y a eso responde Elon Musk.",0.0,12,17,07,2024
JESUS RAMIREZ CUEVAS," Sí, es una editorial de opinión.",0.0,6,17,07,2024
JESUS RAMIREZ CUEVAS," Sí, exactamente, es el domingo.",0.0,5,17,07,2024
JESUS RAMIREZ CUEVAS, Se puso la apelación.,0.0,4,17,07,2024
JESUS RAMIREZ CUEVAS," Esquivel, Gerardo Esquivel.",0.0,3,17,07,2024
JESUS RAMIREZ CUEVAS, Es el último párrafo.,0.0,4,17,07,2024
JESUS RAMIREZ CUEVAS," En los primeros cuatro años de esta administración 100 mil pobres menos cada mes, o sea, el dato.",0.0,18,17,07,2024
JESUS RAMIREZ CUEVAS," Bueno, esta es la más reciente encuesta de Morning Consult, del 15 de julio, este lunes pasado, y, bueno, se modificaron los números del principio de mes.",0.0,27,17,07,2024
JESUS RAMIREZ CUEVAS,"Narendra Modi, que sigue encabezando las preferencias de los ciudadanos en la India, con el 69 por ciento, bajó un punto de la medición anterior.",0.0,25,17,07,2024
JESUS RAMIREZ CUEVAS,"Andrés Manuel López Obrador, presidente de México, que ocupa el segundo lugar, tiene el 63 por ciento, un punto más que la medición anterior.",0.0,24,17,07,2024
JESUS RAMIREZ CUEVAS,"Javier Milei, de Argentina, se mantienen en el 60 por ciento.",0.0,11,17,07,2024
JESUS RAMIREZ CUEVAS,"Viola Amherd, de Suiza, tiene el 52 por ciento.",0.0,9,17,07,2024
JESUS RAMIREZ CUEVAS,"Son, digamos, los cuatro mandatarios que tienen una calificación, una aprobatoria de los ciudadanos. De ahí para abajo tienen menos del 50 por ciento de aprobación.",0.0,26,17,07,2024
JESUS RAMIREZ CUEVAS,"Le sigue Simon Harris, de Irlanda, con el 47 por ciento de aprobación y el 38 por ciento de rechazo.",0.0,20,17,07,2024
JESUS RAMIREZ CUEVAS,"El nuevo primer ministro de Inglaterra, Keir Starmer, pues subió y está en el 45 por ciento frente a un 25 por ciento de rechazo.",0.0,25,17,07,2024
JESUS RAMIREZ CUEVAS,"Donald Tusk, de Polonia, tiene el 45 por ciento de aprobación.",0.0,11,17,07,2024
JESUS RAMIREZ CUEVAS,"Anthony Albanese de Australia, tiene el 42 por ciento de aprobación. Por cierto, se ha visto favorecido también por el tema del caso Julian Assange y su defensa de la libertad de expresión.",0.0,33,17,07,2024
JESUS RAMIREZ CUEVAS,"Pedro Sánchez, de España, que ahora tiene la polémica con los medios de comunicación, tiene 40 por ciento de aprobación frente a un 55 de rechazo.",0.0,26,17,07,2024
JESUS RAMIREZ CUEVAS,"Giorgia Meloni, de Italia, tiene el 40 por ciento de aprobación y un 54 por ciento de rechazo.",0.0,18,17,07,2024
JESUS RAMIREZ CUEVAS,"Dick Schoof, de Holanda, tiene el 39 por ciento de aprobación y un 23 por ciento de rechazo.",0.0,18,17,07,2024
JESUS RAMIREZ CUEVAS,"Joe Biden, que está ahora en la competencia presidencial, tiene 39 por ciento de aprobación y un 55 por ciento de rechazo.",0.0,22,17,07,2024
JESUS RAMIREZ CUEVAS,"Ulf Kristersson, de Suecia, tiene el 37 por ciento de aprobación y un 52 por ciento de rechazo.",0.0,18,17,07,2024
JESUS RAMIREZ CUEVAS,Luiz Inácio Lula da Silva tiene un 36 por ciento de aprobación y un 55 por ciento de rechazo.,0.0,19,17,07,2024
JESUS RAMIREZ CUEVAS,"Alexander De Croo, de Bélgica, tiene 36 por ciento de aprobación y 48 por ciento de rechazo.",0.0,17,17,07,2024
JESUS RAMIREZ CUEVAS,"Jonas Gahr Støre, de Noruega, tiene 35 por ciento de aprobación y 58 por ciento de rechazo.",0.0,17,17,07,2024
JESUS RAMIREZ CUEVAS,"Cyril Ramaphosa, de Sudáfrica, el mandatario tiene 33 por ciento de aprobación y un 57 por ciento de rechazo.",0.0,19,17,07,2024
JESUS RAMIREZ CUEVAS,"Recep Tayyip Erdoğan, de Turquía, tiene 32 por ciento de aprobación y 58 por ciento de rechazo.",0.0,17,17,07,2024
JESUS RAMIREZ CUEVAS,"Karl Nehammer, de Austria, tiene el 29 por ciento de aprobación y 64 por ciento de rechazo.",0.0,17,17,07,2024
JESUS RAMIREZ CUEVAS,"Justin Trudeau, de Canadá, también tiene el 29 por ciento de aprobación y un 63 por ciento de rechazo.",0.0,19,17,07,2024
JESUS RAMIREZ CUEVAS,"Olaf Scholz, de Alemania, tiene 21 por ciento de aprobación y 73 por ciento de rechazo.",0.0,16,17,07,2024
JESUS RAMIREZ CUEVAS,"De la misma manera, Emmanuel Macron, apenas tienen el 20 por ciento de aprobación y un 73 por ciento de rechazo el mandatario francés.",0.0,24,17,07,2024
JESUS RAMIREZ CUEVAS,"Petr Fiala, de la República Checa, tiene un 19 por ciento de aprobación, frente a un 74 por ciento de rechazo.",0.0,21,17,07,2024
JESUS RAMIREZ CUEVAS,"Y Yoon Suk-yeol, de Corea del Sur, un 16 por ciento de aprobación frente a un 78 por ciento de rechazo.",0.0,21,17,07,2024
JESUS RAMIREZ CUEVAS,"Y el primer ministro de Japón, Fumio Kishida tiene el 16 por ciento de aprobación y un 68 por ciento de rechazo.",0.0,22,17,07,2024
JESUS RAMIREZ CUEVAS,Esa es la última medición.,0.0,5,17,07,2024
