Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MIGUEL ALEJANDRO LOPEZ LOPEZ," Muchas gracias., Muy buenos días. Con su permiso, señor presidente.",0.0,10,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"Bueno, a ver, ¿qué ha representado este cambio de paradigma?, y que para nosotros es muy importante señalarlo porque esto va de la mano con todo lo que vemos en los medios de comunicación. Ahorita nos presentaba el ingeniero Juan Antonio cómo está conformada toda la red y cómo se le daban permisos donde no se tenían que dar estos permisos porque debilitaba la red, porque la metía en problemas. Entonces, tuvimos que hacer un cambio completo en el paradigma de planeación, y les vamos a dar un ejemplo muy concreto.",0.0,91,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"Este paradigma, el paradigma que llegamos a encontrar fue un despliegue que estaba a conveniencia de los intereses privados, que buscaba únicamente garantizar la rentabilidad de esas centrales privadas, no buscaba garantizar la robustez de la red de transmisión, no buscaba llegar a los puntos de mayor consumo, no buscaba eso; y el mayor ejemplo es una línea de corriente directa que salía de Oaxaca, que iba a interconectar a 27 parques eólicos, era, digamos, una superautopista que se iba a anclar con recursos del Estado para 27 parques eólicos y que venía hasta el centro del país para que pudiera vender esa electricidad.",0.0,104,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,¿Hacia dónde migró esta visión de la planeación?,0.0,8,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"Emigró hacia una planeación donde ahora lo que se garantiza es que tengamos una red confiable que permita llegar a los principales centros de consumo, o sea, a los hogares, a los comercios, al menor costo posible.",0.0,37,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"Y el gran ejemplo para nosotros fue el fortalecimiento de la península de Yucatán, la península de Baja California, fueron dos áreas que fueron olvidadas en las administraciones anteriores. Y no es una casualidad que hayan sido olvidadas, tiene que ver con que eran zonas donde no había la suficiente rentabilidad o la suficiente infraestructura como para poner una central que fuera rentable. La CFE tuvo que modificar esta situación.",0.0,70,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"Entonces la planeación ahora considera bajo esta mirada… Fíjense cómo sólo éramos los que íbamos a transportar, estaba borrada la CFE de poder generar. Entonces, esta nueva mirada lleva a que vamos y construimos en cada una de las penínsulas hay dos centrales de ciclo combinado.",0.0,46,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"En el caso de Baja California está acompañada de centrales de combustión interna, que son de una acción inmediata, en caso de que haya desbalance en la red. Y todo esto está acompañada de una serie de obras, que ahorita presentaremos con mayor detalle, que permiten, digamos, distribuir y llegar a estos puntos de consumo a un mejor costo posible con combustibles más baratos. Entonces, ese es el cambio del paradigma.",0.0,71,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"Esto es lo que explica que, a partir de este cambio en el paradigma, que ahora los intereses privados han desplegado toda una campaña de desprestigio, donde se señala que la CFE electrocuta la red de transmisión, que no invertimos, que le apagamos la luz al nearshoring, que tenemos al límite la red eléctrica, que tenemos una crisis permanente en nuestra red de transmisión. Reproducimos los informes de organismos internacionales que vienen con esta presión en donde señalan que necesitamos invertir mayores recursos en el área de transmisión, digamos.",0.0,89,25,07,2024
MIGUEL ALEJANDRO LOPEZ LOPEZ,"Y todo este hilo lógico lleva a una conclusión bajo esta mirada, ¿qué es?: pues a CFE no le alcanza, necesita ayuda; por lo tanto, necesitamos de los privados, necesitamos que los privados se monten en toda esta infraestructura que se presentó ahorita, que no es una infraestructura que se haya hecho en los últimos años, es una infraestructura que tiene varias décadas, que se viene construyendo y que se monta en los privados y que se empiece con un proceso de privatización. Esas son el sentido de todas estas notas.",0.0,91,25,07,2024
