Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIEGO PRIETO HERNADEZ," Muy buenos días, presidente, gobernador, amigas y amigos de este equipo de gobierno y del programa integral Tren Maya, amigas y amigos de los medios de comunicación y quienes nos siguen en las redes, plataformas y medios audiovisuales.",0.0,38,29,07,2024
DIEGO PRIETO HERNADEZ,"Quisiera iniciar este informe expresando mi profunda pena por el fallecimiento de la licenciada María Villarreal, quien fuera desde 1998 la abogada general, la coordinadora nacional de Asuntos Jurídicos del INAH, y que quiero expresar mis más sentidas condolencias a su familia, a sus innumerables amigas y amigos, y a toda la comunidad del Instituto Nacional de Antropología e Historia que la vamos a extrañar.",0.0,65,29,07,2024
DIEGO PRIETO HERNADEZ,"Vamos a pasar ahora a revisar el avance del Programa de Mejoramiento de Zonas Arqueológicas en el tramo 3. Ahí tenemos siete zonas arqueológicas que corresponden a la llamada región Puuc, una región que florece en el periodo clásico tardío entre el año 600 y el año 850, aun cuando el poblamiento viene de atrás y se alarga prácticamente hasta el posclásico.",0.0,62,29,07,2024
DIEGO PRIETO HERNADEZ,"Y la otra zona, también de enorme relevancia, es Dzibilchaltún, al norte del estado de Yucatán.",0.0,16,29,07,2024
DIEGO PRIETO HERNADEZ,"La que sigue, por favor, es Oxkintok, es la primera de estas zonas de la región Puuc. Tenemos ya concluida la tarea de investigación y conservación, la colocación del cedulario y los senderos interpretativos. Y la infraestructura está prácticamente ya en un periodo conclusivo, de manera que estará terminada esta misma semana, Oxkintok, que pueden disfrutar llegando, accediendo a ella a través de la estación Maxcanú.",0.0,66,29,07,2024
DIEGO PRIETO HERNADEZ,"La que sigue, es Uxmal, patrimonio de la humanidad, una zona de enorme de enorme relevancia en donde hemos concluido las tareas de investigación y conservación, que nos permiten haber ampliado en más de un 25 por ciento el área visitable. Tenemos ya colocada la señalética y habilitados los senderos para los caminamientosahora mucho más extensos. La infraestructura y el Centro de Atención a Visitantes avanzan ya con paso firme y esperamos tener concluida la tarea de mejoramiento de Uxmal al 15 de septiembre del presente año.",0.0,87,29,07,2024
DIEGO PRIETO HERNADEZ,"La que sigue, por favor, sería también en el Puuc, la zona arqueológica de Kabah, alrededor de 16 kilómetros de distancia en relación con Uxmal. Incluso hay un sacbé antiguo que vamos a recuperar con las comunidades para que se pueda hacer ese caminamiento a pie o en bicicleta. Hemos concluido la investigación y conservación de esta zona, igual que la señalética y los senderos interpretativos. La infraestructura va en un 82 por ciento y estaremos concluyendo el 31 de agosto.",0.0,81,29,07,2024
DIEGO PRIETO HERNADEZ,"En la misma zona de Kabah vamos a ubicar un Museo Arqueológico del Puuc, un museo que va a dar cuenta de la riqueza cultural, histórica, de esta región de la civilización maya antigua. Llevamos ya un avance del 57.8 por ciento y esperamos concluir este gran museo en este mismo año 2024.",0.0,53,29,07,2024
DIEGO PRIETO HERNADEZ,"La que sigue es la zona arqueológica de Labná también en la ruta Puuc. En ella hemos concluido la tarea de investigación, el tema de la señalética y los caminos para el recorrido del sitio. Y la infraestructura, que va ya cerca del 80 por ciento, concluiremos el 31 de agosto.",0.0,51,29,07,2024
DIEGO PRIETO HERNADEZ,"Lo mismo, que es Sayil, en donde estamos avanzando en la tarea. Ha concluido la investigación, las tareas de conservación, habilitar nuevas áreas para la visita pública. La infraestructura está en un 87 por ciento y concluiremos el 31 de agosto.",0.0,41,29,07,2024
DIEGO PRIETO HERNADEZ,"Al igual que en Xlapak, otra zona de la región del Puuc, en donde hemos concluido la investigación, la habilitación de los caminamientos. Y la infraestructura tendrá que concluir a más tardar en el mes de agosto.",0.0,37,29,07,2024
DIEGO PRIETO HERNADEZ,"Y terminamos la región Puuc con Chacmultún, que también lleva avances terminales en investigación, conservación, señalética y senderos interpretativos. La infraestructura va en un 63 por ciento y estará concluida, igual, en el mes de agosto.",0.0,36,29,07,2024
DIEGO PRIETO HERNADEZ,"Nos vamos al norte de Yucatán, a la zona de Dzibilchaltún, una zona que se ha dado a conocer señaladamente por los fenómenos arqueoastronómicos que se pueden apreciar, sobre todo en los equinoccios que, evidentemente, hacen que desde el sacbéprincipal se pueda observar el amanecer a través del Edificio de las Siete Muñecas. Ahí hemos concluido la tarea de investigación, los cedularios, los caminamientos. La infraestructura y el Catvi llevan avances, el Catvi prácticamente estará concluido en este mismo mes y la infraestructura esperamos tenerla lista a más tardar en el mes de agosto.",0.0,94,29,07,2024
DIEGO PRIETO HERNADEZ,"Y ahí mismo —la que sigue— tenemos un museo, un nuevo museo de sitio de Dzibilchaltún, que llevamos ya avances del 53.83 por ciento, prácticamente en la parte constructiva, porque la museografía y la curaduría de las piezas ya está concluida. Este museo estará susceptible de ser visitado a partir del 15 de septiembre del presente año.",0.0,57,29,07,2024
DIEGO PRIETO HERNADEZ,"También, como parte de la tarea que corresponde al Mejoramiento de Zonas Arqueológicas y para tener un área en donde se puedan estar presentando los grandes hallazgos del salvamiento y rescate arqueológico en el Tren Maya, estamos habilitando el Ateneo Peninsular en la ciudad de Mérida, un lugar en que habrá también un museo de sitio para explicar lo que fue el obispado de Mérida y el Ateneo Peninsular, este proyecto tan importante que desarrollaron Salvador Alvarado y Felipe Carrillo Puerto en el corazón de Mérida, Yucatán. Estamos en una tercera etapa de intervención que esperamos estar concluyendo a más tardar el 12 de septiembre.",0.0,105,29,07,2024
DIEGO PRIETO HERNADEZ,"Voy a omitir los siguientes, que eran una explicación de hallazgos relevantes, para irme directamente a un video que habla mucho de la vinculación de la tarea arqueológica con la comunidad y muy particularmente con las mujeres mayas del México contemporáneo. Adelante.",0.0,42,29,07,2024
DIEGO PRIETO HERNADEZ, Licenciado Bartlett.,0.0,2,29,07,2024
