Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MANUEL MUÑOZCANO CASTRO, Muy buenos días a todas y a todos.,0.0,8,29,07,2024
MANUEL MUÑOZCANO CASTRO,"El tramo 3, que muy bien explicó el general Lozano Águila, corresponde desde Calkiní hasta Izamal y estuvo a cargo de la empresa Grupo INDI y también de la empresa Grupo AZVI. Este tramo generó más de 35 mil empleos directos e indirectos, 80 por ciento de la mano de obra fue de la región, así también como que se llevó a cabo un plan de capacitación para la mano de obra local.",0.0,73,29,07,2024
MANUEL MUÑOZCANO CASTRO,"En cuanto a equipo y maquinaria, se ocuparon más de mil 300 equipos y maquinaria, se instaló una planta de prefabricados para las trabes y también se instaló una planta de prefabricados para los durmientes, que en la siguiente mostramos en un video.",0.0,43,29,07,2024
MANUEL MUÑOZCANO CASTRO,"Los trabajos ejecutados, fueron 220 kilómetros de vía en 160 kilómetros, nueve millones de metros cúbicos de materiales, 400 mil durmientes, 34 pasos vehiculares, 153 obras de drenaje, tres viaductos, 250 obras inducidas. Así, esto se logró en un plazo de construcción de tres años.",0.0,45,29,07,2024
MANUEL MUÑOZCANO CASTRO,Se tienen instalados 120 kilómetros de catenaria en un tramo de 60 kilómetros.,0.0,13,29,07,2024
MANUEL MUÑOZCANO CASTRO,"Se construyeron 45 mil metros cuadrados de estaciones y bases de mantenimiento como fue Calkiní, Maxcanú, Umán, Mérida Teya, Tixkokob, Izamal y la base de mantenimiento que está en Mérida.",0.0,30,29,07,2024
MANUEL MUÑOZCANO CASTRO,También se realizaron 14 mil 500 metros cuadrados de obras para la rehabilitación arqueológica en la Ruta Puuc.,0.0,18,29,07,2024
MANUEL MUÑOZCANO CASTRO,"Se llevaron a cabo más de 100 obras sociales para la ciudadanía en apoyo, como espacios deportivos, escuelas, red eléctrica, rehabilitación de calles, clínicas y alumbrado público.",0.0,27,29,07,2024
MANUEL MUÑOZCANO CASTRO,"Y a continuación, tenemos un pequeño video.",0.0,7,29,07,2024
MANUEL MUÑOZCANO CASTRO," Es cuanto, señor.",0.0,3,29,07,2024
