Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE RAFAEL OJEDA DURAN," A continuación, vamos a dar el informe de seguridad conjunto del 25 de junio al 8 de julio. Estos son los efectivos y el despliegue nacional de la Guardia Nacional y de las Fuerzas Armadas en el territorio nacional del 25 al 8 de julio.",0.0,45,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a aseguramiento de armas de fuego, resultados: fueron 685 armas en ese periodo y en lo que va del sexenio más de 52 mil armas decomisadas.",0.0,31,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En aseguramiento de granadas fueron 12, tres mil 515 en lo que va del sexenio.",0.0,15,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En cartuchos, fueron 62 mil 343 cartuchos y en lo que va del sexenio más de 19 millones de cartuchos decomisados.",0.0,21,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Detenidos, fueron 600 en este periodo y en lo que va del sexenio más de 88 mil detenidos.",0.0,18,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Vehículos asegurados, 450 vehículos y en lo que va del sexenio 98 mil 238 vehículos asegurados.",0.0,16,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiera a fentanilo, fueron 400 gramos de fentanilo asegurados y en lo que va del sexenio más de ocho mil 300 kilogramos de fentanilo.",0.0,28,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a metanfetamina, tres mil 90 kilogramos de metanfetamina y en lo que va del sexenio más de 724 mil kilogramos de metanfetamina.",0.0,27,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Aseguramiento de cocaína, 410 kilogramos y en lo que va del sexenio 224 mil 646 kilogramos de cocaína.",0.0,18,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Marihuana, 499 kilogramos y en lo que va del sexenio más de 770 mil kilogramos de marihuana.",0.0,17,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Heroína, 3.8 kilogramos, y en lo que va del sexenio mil 609 kilogramos de heroína.",0.0,15,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Moneda nacional, 72 millones fue lo que se recuperó en este periodo y en lo que va del sexenio 741 millones de pesos.",0.0,23,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a dólares americanos, 357 mil 579 dólares en el periodo y en lo que va del sexenio, 153 millones de dólares.",0.0,26,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a erradicación de plantíos y a las hectáreas de marihuana, plantíos fueron 189 en 22.8 hectáreas y en lo que va del sexenio son 82 mil 494 plantíos en más de 11 mil hectáreas.",0.0,39,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a amapola, mil cinco plantíos con 262.2 hectáreas. Resultados de lo que va del periodo, 461 mil 916 plantíos en más de 66 mil hectáreas.",0.0,30,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a laboratorios clandestinos, en el periodo que nos compete, 1.9 toneladas de metanfetaminas se decomisaron y 29 toneladas de sustancias químicas en nueve laboratorios; y en lo que va del sexenio se han erradicado dos mil 551 laboratorios con 694.12 toneladas de metanfetamina y más de tres mil 590 toneladas de sustancias químicas. Se evitó la producción en este periodo de más de 28 toneladas y en lo que va del sexenio más de ocho mil 658 toneladas.",0.0,83,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere al combate ilícito de combustible en el periodo que estamos hablando, 750 mil 618 litros recuperados y en lo que va del sexenio más de 67 millones de litros recuperados.",0.0,35,09,07,2024
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a apoyo de seguridad brindado por la Guardia Nacional, en lo que se refiere a aduanas fronterizas e interiores, tienen cuatro mil 444 efectivos, 21 aduanas fronterizas y 11 interiores.",0.0,35,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Y en lo que se refiere a aeropuertos y aeródromos, hay dos mil 974 elementos en 73 aeropuertos, 27 aeródromos, y se han revisado 14 mil 542 operaciones de revisión.",0.0,30,09,07,2024
JOSE RAFAEL OJEDA DURAN,"Reclusorios, en lo que se refiere a traslado de internos se llevaron a cabo estos con mil 911 efectivos, 18 traslados y fueron 21 internos.",0.0,25,09,07,2024
JOSE RAFAEL OJEDA DURAN,"El resultado del esfuerzo de la Guardia Nacional, su aportación es del 47 por ciento con respecto a 53 por ciento de las dependencias de las Fuerzas Armadas.",0.0,28,09,07,2024
JOSE RAFAEL OJEDA DURAN,"La Estrategia Nacional de Seguridad Pública, y esto es lo último, afectación a grupos delictivos a través de trabajo de inteligencia, detenidos del cártel del Pacífico, cinco; del cártel de Jalisco, 20, y una cédula independiente, fueron dos, que fue en el estado de Colima; y a grupos delictivos, como están aquí, 27 detenidos, grupos delictivos dos y células independientes uno.",0.0,61,09,07,2024
JOSE RAFAEL OJEDA DURAN,Le cedo la palabra a la secretaria Rosa.,0.0,8,09,07,2024
