Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CEDRIC ESCALANTE SAURI," Con su permiso, señor presidente. Muy buenos días tengan todos y todas ustedes, representantes de los medios de comunicación.",0.0,19,29,08,2024
CEDRIC ESCALANTE SAURI,"La zona de riego de la presa Santa María —¿podemos poner la siguiente, por favor?— es, de hecho, ya la culminación de uno de los objetivos de la construcción de la presa de almacenamiento Santa María, que queda aguas arriba. Ahí donde se aprecia la parte superior de la imagen, ahí dice ‘presa Santa María’, esa ya se terminó en el mes de diciembre, y está cumpliendo con su embalse y almacenando agua, y además ya totalmente operativa y con la administración del agua por parte de nosotros.",0.0,88,29,08,2024
CEDRIC ESCALANTE SAURI,Esta zona de riego abarca 11 secciones de riego y tuvo un costo de alrededor de 10 mil 200 millones de pesos. Se empezó a construir en 2022 y se está terminando ya la cuarta etapa; las primeras tres etapas anteriores ya fueron concluidas satisfactoriamente.,0.0,45,29,08,2024
CEDRIC ESCALANTE SAURI,"Tiene de beneficiados a alrededor de dos mil 551 productores en dos municipios, fundamentalmente Rosario y Escuinapa. Se lleva un avance del 89 por ciento y ya se concluirá en este próximo mes de septiembre.",0.0,35,29,08,2024
CEDRIC ESCALANTE SAURI,"Dentro de los principales componentes que ha tenido la obra civil, sobre todo de la construcción de la presa Santa María, es que hubo que rehabilitar 9.9 kilómetros de canal principal a partir de la empresa derivadora Tamarindo. Aquí me gustaría destacar que en esa rehabilitación nos encontramos con que había tramos azolvados de hace muchísimos años que no se le había dado mantenimiento a este primer tramo del canal principal en su margen izquierda del río Baluarte. Se construyeron 56 kilómetros en la margen izquierda del propio río Baluarte y 15.3 kilómetros en la margen derecha.",0.0,97,29,08,2024
CEDRIC ESCALANTE SAURI,"Aquí solamente se destacan algunos de los componentes: 488 kilómetros de redes de distribución y hubo 29 cruces, tanto 23 carreteros y seis ferroviarios.",0.0,24,29,08,2024
CEDRIC ESCALANTE SAURI,"Aquí es importante destacar que, privilegiando no tocar, por supuesto, la vía férrea y las carreteras porque había autopistas y también carreteras libres, se hizo un sistema de microtuneleo para no afectar absolutamente nada, ni la circulación ferroviaria ni la circulación carretera.",0.0,42,29,08,2024
CEDRIC ESCALANTE SAURI,"Dentro de todas las estructuras que se construyeron hubo tres mil 15 estructuras, y aquí solamente se destacan algunas de ellas. Hubo 33 represas, 33 fuentes vehiculares, pero hubo mil 600 hidrantes y válvulas, y alrededor de 815 tomas granja, que las tomas granja pues es el último paso antes de llegar ya al proporcionamiento del agua a las zonas por beneficiar.",0.0,62,29,08,2024
CEDRIC ESCALANTE SAURI,"Se construyó un sifón que, de igual manera, como comentaba ingeniero Mastache, en este caso es un sifón para pasar el agua de la margen izquierda a la margen derecha del río Baluarte, y este tuvo una longitud de 4.7 kilómetros. Que, también, fue un reto a vencer este río Baluarte, que no es nada fácil, es un río estacional con muchas variaciones en su caudal.",0.0,66,29,08,2024
CEDRIC ESCALANTE SAURI,"En la zona de riego de Santa María hay diversos productos que se tienen ahí aprovechando, de los cuales destacaría yo solamente tres: lo que es el tomate rojo o jitomate, que estará pasando de 25 mil hectáreas con el riego temporal o precario, que también se le llama, a 173 mil toneladas por hectárea; de 58 mil toneladas de mango anual a 164 mil; y en el caso de las diversas variedades de chile, de 98 mil a 327 mil toneladas anuales de este producto. Hay otros productos: calabacita, jitomate verde, papaya, en fin, otros productos, pero los más destacables son los que se están mencionando en este lugar.",0.0,110,29,08,2024
CEDRIC ESCALANTE SAURI,"Finalmente, quiero darle un reconocimiento al gobierno del estado, que en todo momento nos estuvo apoyando para la liberación del derecho de vía y que nos permitió cumplir con esta tarea que estará beneficiando fundamentalmente al sur de Sinaloa, que era importantísimo para aprovechar y potenciar esta zona de riego tan importante.",0.0,52,29,08,2024
CEDRIC ESCALANTE SAURI,"Muchas gracias. Es cuanto, señor presidente.",0.0,6,29,08,2024
