Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
IVAN RODRIGUEZ URIBE," Con su permiso, señor presidente. Buenos días a todas y a todos.",0.0,12,29,08,2024
IVAN RODRIGUEZ URIBE,"General Iván Hernández Uribe, ingeniero residente del Distrito de Riego ‘Alejandro Gascón Mercado’.",0.0,13,29,08,2024
IVAN RODRIGUEZ URIBE,"Hace 15 meses estuvimos por aquí en este mismo foro, informamos de este distrito de riego por primera vez que se nos hizo participar en él; teníamos un 60 por ciento. El señor presidente nos dio la instrucción de trabajar 24/7, a fin que al término de su administración pudiésemos estar entregando 43 mil hectáreas al estado de Nayarit y que se pudiesen beneficiar siete mil 600 productores; es decir, que, con una inversión de 16 mil millones de pesos dentro de tres días estaremos concluyendo, la Comisión Nacional del Agua y la Secretaría de la Defensa Nacional, con esta obra, con este encargo que nos confirió el señor presidente, y que al día de la fecha estamos beneficiando a esta población.",0.0,122,29,08,2024
IVAN RODRIGUEZ URIBE,"Hemos de decir que es una obra para el pueblo y para el pueblo nayarita, porque la mayor parte de su población estuvo contratada con nosotros, se les enseñó a colocar tubería, a trabajar en este tipo de obras hidráulicas.",0.0,40,29,08,2024
IVAN RODRIGUEZ URIBE,"No tuvimos impedimos legales, ¿por qué?, porque fue una obra muy cercana con el pueblo. Estuvimos en mucha convivencia con ellos. Hicimos, como se dice, conciliar la razón con la pasión por servir a México, por tener una obra de este tamaño para beneficio directo de la población civil, de los ejidatarios.",0.0,52,29,08,2024
IVAN RODRIGUEZ URIBE,¿Qué es lo que tenemos nosotros aquí realmente y que es el esfuerzo de todo eso y una equivalencia para que nos demos idea de cómo se transformó todo este trabajo?,0.0,31,29,08,2024
IVAN RODRIGUEZ URIBE,"Si nos vamos, hablando de voladuras, es como si hubiéramos volado la Catedral 10 veces; si hablamos del concreto, es como si hubiéramos construido mil 800 canchas de basquetbol; si hablamos de tubería, es como si hubiéramos hecho cinco veces el acueducto del Cuchillo, nosotros; y en líneas de conducción, pues tenemos, como si hubiéramos hecho desde Mazatlán hasta Guadalajara, incluyendo canales a cielo abierto y líneas de tubería.",0.0,69,29,08,2024
IVAN RODRIGUEZ URIBE,"Tenemos excavaciones que, si las hubiéramos convertido en albercas olímpicas, hubiéramos podido ejecutar ocho mil albercas olímpicas.",0.0,17,29,08,2024
IVAN RODRIGUEZ URIBE,"Aunado a esto, pues hicimos 400 kilómetros de caminos, porque no tan sólo es el canal, a un lado se hace un camino de mantenimiento y un camino de servicio, que esto permitió la conexión con diversas rancherías.",0.0,38,29,08,2024
IVAN RODRIGUEZ URIBE,"Los cruces de ferrocarril, igual que los demás compañeros, hicimos 25 cruces de ferrocarril y de carreteras, todos ellos sin afectar estas vías tan importantes de comunicación.",0.0,27,29,08,2024
IVAN RODRIGUEZ URIBE,"A continuación, me voy a permitir presentarles un video donde recogemos los testimonios de, tanto agricultores, trabajadores. Y pues ahí se ve el sentimiento con que se hizo esta obra; los agradecimientos al gobierno de la República, al gobierno estatal, a gobiernos municipales y también a los comisarios ejidales, porque fueron ellos quienes directamente nos tuvieron facilitando en muchas ocasiones los permisos para poder construir.",0.0,65,29,08,2024
IVAN RODRIGUEZ URIBE,Con su permiso.,0.0,3,29,08,2024
IVAN RODRIGUEZ URIBE, Con su permiso. Gracias.,0.0,4,29,08,2024
