Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARIA LUISA ALBORES GONZALEZ," Buenos días a todas y a todos. Con su permiso, presidente.",0.0,11,09,08,2024
MARIA LUISA ALBORES GONZALEZ,Voy a informar brevemente y después comparto un video que dice concretamente de lo que estamos nosotros platicando.,0.0,18,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Voy a informar sobre el desastre ambiental río Sonora. La primera lámina, por favor. Este es considerado el peor desastre ambiental de la historia de la minería metálica en México. El día 6 de agosto del 2014, este 2024 cumple 10 años. Este derrame de 40 mil metros cúbicos de sulfato de cobre acidulado por el complejo minero Buenavista del Cobre, empresa de Grupo México, afectando los ríos Sonora y Bacanuchi, así como ocho municipios, porque es la escorrentía en este caso de la cuenca. Ahí podemos ver en este mapa.",0.0,91,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"El sistema de lixiviación Tinajas se construyó entre junio 2013 y junio 2014, un año antes de que ocurriera.",0.0,19,09,08,2024
MARIA LUISA ALBORES GONZALEZ,La presa Poniente falló con las dos primeras lluvias ordinarias de julio y agosto 2014.,0.0,15,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Los fluidos tóxicos se derramaron a la presa Tinaja 1, y esta a su vez hacia el río. Esto demuestra negligencia en el diseño hidrológico del sistema.",0.0,27,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Y el derrame tardó en llegar ocho horas a Bacanuchi, 14 horas a Arizpe, 33.5 horas a San Rafael Ures.",0.0,20,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La siguiente, por favor. Y en este asunto de remediar lo que hace Grupo México, un convenio con Profepa, eso el 15 de septiembre de 2014, y esto lo hace para que inmediatamente vuelvan a abrir, en este caso, la mina. Grupo México y la Profepa celebraron un convenio para remediar, reparar, compensar los daños ambientales de salud y materiales derivados del derrame, incluyendo tres cosas: una, la elaboración de un programa de remediación ambiental, la construcción del fideicomiso río Sonora y a partir de eso levantaban la clausura. El fideicomiso era, en un planteamiento, entregar un monto inicial de dos mil millones de pesos; sólo se dieron mil millones de pesos.",0.0,112,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La siguiente, por favor. El fideicomiso reportó un ejercicio de mil 232 millones de pesos de acuerdo con la información pública, eso en un libro blanco, donde desglosamos lo siguiente: 309 millones de pesos fueron pagados fuera del fideicomiso con aprobación de los integrantes del comité técnico. De los mil millones de pesos del fideicomiso, le fueron devueltos 77 millones a Grupo México.",0.0,63,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Algunos gastos, engloso algunos gastos que se hicieron: sólo de esos, 7.8 millones fueron otorgados directamente a las personas afectadas en cuestiones de salud, 71.1 millones gastados en las Uveas.",0.0,30,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Para estrategia de comunicación fueron 32.4 millones de pesos, cuatro veces más a lo entregado directamente a los afectados, 185 millones de pesos en compra de tinacos, 4.7 millones de pesos en una planta potabilizadora en Bacanuchi, que sólo operó dos años hasta el 2017.",0.0,45,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La siguiente, por favor. Y después deciden cerrar el fideicomiso, en este sentido, también las autoridades ambientales competentes.",0.0,18,09,08,2024
MARIA LUISA ALBORES GONZALEZ,El 1º de diciembre del 2016 la Semarnat resolvió satisfactoriamente sobre el cumplimiento de los programas de remediación.,0.0,18,09,08,2024
MARIA LUISA ALBORES GONZALEZ,El 31 de enero del 2017 la Profepa tuvo por cumplidas las medidas correctivas impuestas y determinó que los fines del fideicomiso habían sido cumplidos.,0.0,25,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"El 7 de febrero del 2017 se da la extinción del Fideicomiso Río Sonora y revisión del remanente, por esos 77 millones les es devuelto a Grupo México.",0.0,28,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"El 15 de enero de 2020, la Segunda Sala de la Suprema Corte de Justicia de la Nación ordena emitir nuevas determinaciones sobre remediación y medidas correctivas, y eso se lo envía directamente a las autoridades ambientales: a la Semarnat en este caso, también a Profepa y a las autoridades que llevan cuestiones de salud, como la Secretaría de Salud y Cofepris.",0.0,62,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"En este sentido, en cumplimiento de eso, a esa sentencia, la Profepa y la Dirección General de Gestión Integral y Materiales de Actividades Riesgosas, en este caso de la Semarnat, dejaron sin efecto los resolutivos emitidos anteriormente, o sea, no se aceptan lo que se dice en 2016 y lo que se dice en 2017 por parte de Profepa y por parte de Semarnat.",0.0,64,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Asimismo, la Semarnat emitió un nuevo documento, concluyendo que no se alcanzaron los niveles de remediación. La remediación en este momento sólo se decía el suelo, entonces nosotros damos un alcance a la Suprema Corte de Justicia de la Nación para aclarar que no se ha hecho y no se ha remediado, en este caso, el suelo. Y también, en ese documento se requiere a Grupo México presentar la modificación a sus programas de remediación, que no sólo sea, en este caso de suelo.",0.0,84,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La siguiente, por favor. Puntualmente, ¿qué ha hecho el sector ambiental?, el 4 de julio, por instrucción del licenciado Andrés Manuel López Obrador, presidente de México, él hace una reunión en Cananea y nos dio instrucción a diferentes dependencias. Uno de los cinco ejes que él instruye está el eje de salud ambiental y derecho al agua; a partir de eso, la Semarnat y sectorizados iniciamos un trabajo.",0.0,68,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"En el caso de lo que es muestreos directamente en territorio, trabajando con los 11 comités de la cuenca del río Sonora tenemos este trabajo: tenemos muestreos de agua superficial, 120; en pozos, 66; en la red de abastecimiento, 156 muestreos; para muestrear sedimentos, 39; en aire, 96; en suelo, 131; y en flora y fauna, ocho. En total, se han llevado 616 muestreos directamente en territorio. Toda esta inversión es directamente por parte del sector, porque hay que ir a acudir y también regresar a laboratorios para tener dicho estudio.",0.0,91,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"También, a petición de las comunidades y por instrucción del presidente, se hace el dictamen diagnóstico ambiental río Sonora. Es elaborado por el Instituto Mexicano de Tecnologías del Agua, todo lo que es respecto al agua; y todo lo que es respecto a lo que es aire, suelo y biota, que es flora y fauna, por parte del INECC, el Instituto Nacional de Ecología y Cambio Climático, ocupando también los dos laboratorios que están certificados del IMTA y del INECC.",0.0,80,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Este es un estudio integral, no es un estudio sólo de suelo o sólo de agua, sino completamente integral de lo que es el ambiente, y acá en esto tenemos lo siguiente:",0.0,32,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"El 28 de septiembre se presenta al pueblo de México, se sube el link que vemos ahí, y ahí lo pueden ustedes consultar.",0.0,23,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"El 25 de octubre de 2023 se acude directamente a Ures y entregamos físicamente a los comités de cuenca, hacemos una exposición con las conclusiones del estudio y también lo entregamos físicamente a las personas.",0.0,35,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Y en esto también se concluye que el diseño hidrológico del sistema de presas Tinaja 1 fue inadecuado, lo que indica que el derrame fue responsabilidad de la empresa minera. Y también, aquí lo que decía, se muestran los resultados de cómo está actualmente el ambiente.",0.0,46,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La siguiente, por favor. Se han rehabilitado seis plantas potabilizadoras fijas en colaboración con el gobierno estatal y de la Comisión de Aguas de Sonora.",0.0,25,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La primera planta en funcionar fue la de San Rafel Ures, a cargo del IMTA, e inició actividades en abril del 2023 bajo la operación de la comunidad previamente capacitada también por el IMTA, porque en este planteamiento es que quienes hacen uso también deben de ser capacitados para que nunca se dejen de ocupar, en este caso, esas plantas potabilizadoras. El resto iniciaron operaciones a inicios, en el primer trimestre de este 2024, con el apoyo del gobierno de Sonora.",0.0,81,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Asimismo, también el IMTA realizó las especificaciones de los proyectos para la construcción por parte del estado de Sonora de cuatro plantas nuevas: en Huépac, Aconchi, Baviácora y Arizpe.",0.0,29,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La siguiente. También, después de tener el dictamen diagnóstico ambiental el presidente nos instruyó que teníamos que hacer un plan de remediación, ese plan de remediación también tenía que ser integral. En ese plan de remediación desglosamos qué es lo que tenemos en el agua, iniciamos como la primera fase en el agua porque es de lo que más ha comentado directamente la gente, o sea, la necesidad en ese sentido de tener agua en cantidad, pero agua de calidad.",0.0,80,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Entonces, el plan de remediación tiene un eje de medición del acuífero y extracciones para saber bien los volúmenes de aguas subterráneas o superficiales, tratamiento de lixiviados, drenaje y saneamiento, y agua segura para la población. Esto es en los ejes de remediación.",0.0,43,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Y en lo que respecta a aire y suelo es fitorremediación a mediano plazo, fitorremediación a largo plazo, manejo integral de residuos vegetales y monitoreo de contaminación atmosférico. Entonces, esto sería para la parte del plan de remediación que, como podemos ver, ya es integral.",0.0,45,09,08,2024
MARIA LUISA ALBORES GONZALEZ,Y compartimos un video donde cuenta de.,0.0,7,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Gracias. Es cuanto, presidente.",0.0,4,09,08,2024
MARIA LUISA ALBORES GONZALEZ,(INICIA VIDEO),0.0,2,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"VOZ MUJER: El 6 de agosto de 2014, en el estado de Sonora ocurrió el desastre ambiental más grave de la historia de la minería metálica en México: la empresa Buenavista del Cobre, de Grupo México, derramó 40 mil metros cúbicos de sulfato de cobre acidulado hacia un afluente del río Sonora, lo que afectó a miles de personas de ocho municipios del estado.",0.0,64,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Para llevar a cabo la remediación, reparación y compensación de los daños ambientales y a la salud humana, así como para reparar los daños materiales de las personas, Grupo México celebró un convenio con la Profepa en el que acordó crear un fideicomiso con un fondo de dos mil millones de pesos iniciales.",0.0,53,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Entre los pagos realizados con cargo al patrimonio del fideicomiso se encuentra la planta potabilizadora que se instaló en la localidad de Bacanuchi, municipio de Arizpe, con un costo de 4.7 millones de pesos, la cual operó durante sólo dos años debido a la falta de recursos.",0.0,47,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Otras nueve plantas fueron instaladas en la región, producto de la coordinación directa de Grupo México con la Subdirección General Técnica de la Conagua, las cuales no fueron instaladas en su totalidad, y sólo una operó durante un mes, la de San Rafael de Ures.",0.0,45,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Sin haber atendido los impactos causados al ambiente y a la salud, en 2017 decidieron extinguir el fideicomiso, lo cual fue avalado por la Profepa en Sonora al dar por concluidas las medidas correctivas y por Semarnat, al resolver satisfactoriamente sobre el cumplimiento de los programas de remediación.",0.0,48,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Sin embargo, en 2020 una sentencia de la Segunda Sala de la Suprema Corte de Justicia de la Nación resolvió que la reparación y compensación ambiental violentaron el derecho a la información y consulta de las comunidades afectadas. Es por ello que ordenó emitir una nueva determinación respecto al cumplimiento de las medidas correctivas impuestas y uno nuevo en materia de remediación, previo diálogo con los afectados, dejando sin efectos el convenio de extinción del Fideicomiso Río Sonora.",0.0,78,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"A pesar de ello, Grupo México ha emprendido una estrategia de dilación para el cumplimiento de su responsabilidad ambiental en el río Sonora, ya que la operación del fideicomiso requiere la instalación de un comité técnico con participación de representantes de la empresa, quienes han ignorado en diversas ocasiones las invitaciones de la autoridad ambiental para sesionar y reiniciar labores.",0.0,60,09,08,2024
MARIA LUISA ALBORES GONZALEZ,Ha sido omiso ante las solicitudes de Nacional Financiera para reincorporar al fideicomiso los recursos que le fueron entregados por el convenio de extinción del mismo.,0.0,26,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Además, no ha presentado una propuesta de programa de remediación; por el contrario, impugnó, mediante un juicio de nulidad, un nuevo resolutivo de la Dirección General de Gestión Integral de Materiales y Actividades Riesgosas de la Semarnat, que concluye que no se alcanzaron los niveles de remediación.",0.0,47,09,08,2024
MARIA LUISA ALBORES GONZALEZ,Han pasado 10 años de ese gran desastre y los pobladores de la cuenca del río Sonora exigen justicia.,0.0,19,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"El 4 de julio de 2021, el presidente Andrés Manuel López Obrador anunció el Plan de Justicia para Cananea, conformado por cinco ejes, entre ellos el de salud ambiental y derecho al agua. A partir de ello y ante la demanda de la población afectada, que se integró en comités de cuenca, la Semarnat a través del IMTA y el INECC elaboró el dictamen diagnóstico ambiental del río Sonora, estudio integral que da cuenta de la presencia actual de contaminación, no sólo en suelo, sino también en agua, aire, flora y fauna, el cual se publicó y se presentó al pueblo de México el 28 de septiembre de 2023. Un esfuerzo del Gobierno de México para generar evidencia técnico-científica y garantizar el derecho a un ambiente sano para las comunidades a lo largo de los más de 400 kilómetros de río.",0.0,141,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Entre sus resultados demuestra que el desastre no fue un accidente, sino una negligencia en el diseño hidrológico del sistema de presas Tinajas 1. Los muestreos de sedimentos, agua superficial y suelo muestran que las altas concentraciones de metales encontradas en ellos están asociadas con la actividad minera y el derrame de 2014.",0.0,53,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"En el caso de la presencia de metales en agua superficial, estos rebasan el límite establecido para los criterios ecológicos como fuente de abastecimiento de agua potable. Además, la presencia de mercurio en agua y sedimentos del río es muy significativa, pues este metal no se encuentra de forma natural en la geología de la zona.",0.0,56,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Se presentan resultados relacionados con daños en artrópodos y específicamente polinizadores, que reflejan cómo se pierde la biodiversidad conforme se reduce la distancia con respecto al sitio del derrame y el polígono de la mina.",0.0,35,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"De las 10 plantas potabilizadoras que Grupo México se había comprometido instalar, el Gobierno de México acordó la rehabilitación de seis fijas, y con apoyo del IMTA preparó los términos de referencia para los proyectos ejecutivos para la construcción de cuatro plantas nuevas, en Huepac, Aconchi, Baviácora y Arizpe, por parte del estado de Sonora, que también asumió el compromiso de pagar la energía eléctrica y su operación durante un año.",0.0,71,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"Las seis plantas rehabilitadas, gracias a la colaboración de la Comisión Estatal del Agua de Sonora y el Instituto Mexicano de Tecnología del Agua, son las de Mazocahui, La Capilla, Banamichi, San Felipe de Jesús, Bacanuchi y San Rafael de Ures.",0.0,41,09,08,2024
MARIA LUISA ALBORES GONZALEZ,"La primera planta en funcionar fue la de San Rafael de Ures, a cargo del IMTA, e inició actividades el 1º de abril del 2023 bajo la operación de la comunidad previamente capacitada por dicho instituto. La rehabilitación de las otras cinco plantas fue responsabilidad del gobierno de Sonora y comenzaron funciones en los primeros meses de 2024.",0.0,58,09,08,2024
MARIA LUISA ALBORES GONZALEZ,La actual Semarnat no acepta que se remedió el daño ambiental que causó Grupo México. El derrame no fue un accidente. El gobierno de la República se debe al pueblo y a las comunidades de la cuenca del río Sonora y continuará el trabajo y el diálogo hasta lograr justicia social y ambiental en la región.,0.0,56,09,08,2024
MARIA LUISA ALBORES GONZALEZ," Con su permiso, presidente.",0.0,4,09,08,2024
