Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
SERGIO SALOMON CESPEDES PEREGRINA," Muy buenos días. Con su permiso, señor presidente. Saludo a los miembros del gabinete federal y a los compañeros gobernadores que hoy nos acompañan.",0.0,24,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Hoy nos encontramos aquí reunidos con la representación del INAH; el arquitecto Villarroel, de Sedatu; los miembros de la orden franciscana, los responsables del tempo, titulares del gabinete estatal, la presidenta municipal de Huejotzingo, con la orden franciscana.",0.0,38,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Y, bueno, en Puebla, a partir del sismo del 19 de septiembre de 2017, se han invertido en 778 inmuebles, con una inversión de dos mil 263 millones de pesos, atendiendo a 121 municipios de nuestro estado. De esos 778 inmuebles, en los últimos dos años se han invertido en 197 templos, de los cuales 186 ya fueron concluidos en su totalidad y 11 están en proceso de ejecución.",0.0,69,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Dentro de los inmuebles más representativos que el gobierno del estado ha intervenido tenemos el Exconvento de Santo Domingo de Guzmán, en el municipio de Izúcar de Matamoros. Es un inmueble que el sismo dañó en un 75 por ciento de su estructura, como lo podemos ver en muchas imágenes. Este proyecto es del 2023 y hoy en día es un inmueble que ya fue entregado y se encuentra en pleno uso de la comunidad.",0.0,75,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"El Templo de Santiago Apóstol, ubicado en el municipio de Atzala, en la Mixteca, este templo en particular ha tenido un gran esfuerzo para terminarlo, pero ya estamos en los últimos detalles y será entregado en las próximas semanas.",0.0,39,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"El Templo de Nuestra Señora de Ocotlán, ubicado en el municipio de Tupexco, ese templo fue construido por los frailes dominicos en el siglo XVI y, como puede observar, era urgente su reconstrucción.",0.0,33,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Otro templo importante en donde se encuentra es el Exconvento de San Miguel Arcángel, ubicado en el municipio de Huejotzingo, construido en el siglo XVI y que ha sido declarado Patrimonio de la Humanidad por la Unesco en 1994. Es un lugar de una gran belleza arquitectónica y es precisamente en donde estamos trasmitiendo el día de hoy, pero que solamente estando aquí presentes podemos dimensionar de qué es lo que se trata y todo lo que significó este rescate.",0.0,80,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Y así podríamos seguir con todas las demás. El Templo de Santa María en Jolalpan, el Templo del Señor de la Salud ubicado en el municipio de Puebla, el Templo de San Antonio en donde tuvimos el honor de recibirlo el 18 de febrero de este año, señor presidente.",0.0,49,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,Y es importante recalcar el trabajo realizado por las dependencias federales y estatales para lograr regresar al patrimonio cultural a nuestra gente.,0.0,22,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Agradecerle a la Secretaría de Cultura federal, al INAH.",0.0,9,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Y, por supuesto, señor presidente, yo quiero dejar muy claro que es fundamental que podamos dimensionar la altura de miras, el cariño que le tiene usted al pueblo y, sobre todo, el hecho de que usted haya decidido rescatar no solamente el patrimonio cultural y arquitectónico. Acá, en todos estos templos, sobre todo es donde venimos nosotros cuando nacemos los que somos creyentes; somos los que venimos a dar gracias, somos cuando venimos para alguna celebración o por algún problema, y también venimos a despedir a nuestros seres queridos.",0.0,89,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"¿Qué quiero decirle con todo esto, señor presidente?",0.0,8,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Que, gracias a su decisión y a su visión, después de que en el sexenio pasado fueron abandonados templos, hospitales, escuelas, usted nos ayudó a recobrar y a tener presente a nuestros antepasados, a todos nuestros recuerdos, a nuestra historia, pero también nos ha permitido que de la mano de usted pudiéramos recuperar el legado para las futuras generaciones, para nuestros hijos y para los hijos de nuestros hijos.",0.0,69,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Por todo esto y muchas cosas más, desde el estado de Puebla, en nombre de cada uno de mis paisanos, yo hoy quiero decirle: muchísimas, muchísimas gracias, señor presidente.",0.0,29,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Hay cosas que se pueden en números, en dinero y en obras, pero hay cosas que solamente el corazón puede cuantificar, y usted tiene el corazón de Puebla.",0.0,28,19,09,2024
SERGIO SALOMON CESPEDES PEREGRINA,"Muchas gracias, señor presidente.",0.0,4,19,09,2024
