Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,: Buenos días. Ánimo.,0.0,4,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues vamos a iniciar. Nos demoramos un poco porque nos despedimos de todos los integrantes del Gabinete de Seguridad. Desde luego, vamos a estar trabajando hasta el último día, pero se hizo un pequeño convivio porque el Gabinete de Seguridad es el que ha estado todos los días en reunión permanente; nos hemos reunido de lunes a viernes todos los días de 6:00 a 7:00 de la mañana.",0.0,69,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y este Gabinete de Seguridad es el que recibe el reporte de todo lo sucedido en el país en las últimas 24 horas, y ahí tomamos decisiones. Está el secretario de la Defensa, de Marina, la secretaria de Gobernación, la secretaria de Seguridad Pública, la secretaria de Relaciones Exteriores, en fin, todos; esto diario, y todos sus equipos que les ayudan.",0.0,61,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto nunca se había hecho en el país, que todos los días supiéramos lo que acontece en los distintos pueblos de México y actuáramos de manera coordinada. El presidente antes recibía un reporte cada semana, cada 15 días; sólo cuando había algo muy grave se le informaba de inmediato; ahora en todo el gobierno hemos estado recibiendo información permanentemente, y esto ha ayudado a enfrentar el problema de la inseguridad y de la violencia.",0.0,74,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, como ya estamos en esta última semana, al finalizar la reunión de hoy hubo tamales y mariachis y muchas fotos, y por eso llegamos tarde, pero aquí estamos.",0.0,29,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y nos da mucho gusto que nos acompañen quienes de manera voluntaria participaron en el Consejo de la Memoria Histórica, y se va a exponer sobre eso el día de hoy.",0.0,31,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también, como siempre todos los lunes, vamos a informar sobre el quién es quién en el precio de los alimentos, de los combustibles.",0.0,24,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y terminando ya las exposiciones, abrimos para preguntas y respuestas, y nos va a dar tiempo, para todo hay tiempo.",0.0,20,23,09,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, empezamos, si les parece, empezamos con el procurador.",0.0,9,23,09,2024
DAVID AGUILAR ROMERO,": Muchas gracias. Muy buenos días, señor presidente, secretaria Alejandra Frausto. Muy buenos días a todos.",0.0,16,23,09,2024
DAVID AGUILAR ROMERO,"Pues empezamos el día de hoy y, como le hemos hecho de manera recurrente, les comento que para el 19 de septiembre la mezcla mexicana de petróleo tuvo un precio a nivel internacional de 66 dólares con 84 centavos. Esto nos lleva a informar que en el periodo anterior, si bien recordamos que la semana pasada no hubo conferencia de prensa, pero sí reporte de precios, tenemos que la gasolina regular estuvo en 23 pesos con 83 centavos, 12 centavos menos que la semana anterior; en el caso de la gasolina prémium, de la misma manera, 25 pesos con 31 centavos, 12 centavos menos que la semana anterior; y en el caso del diésel, 25 pesos con 47 centavos menos que la semana anterior. Y, sin embargo, tanto la semana anterior como esta volvemos a tener cero por ciento de incentivo fiscal.",0.0,142,23,09,2024
DAVID AGUILAR ROMERO,¿Qué quiere decir esto?,0.0,4,23,09,2024
DAVID AGUILAR ROMERO,"Como hemos comentado, que la fórmula que se tiene es una fórmula muy adecuada, que sea dinámica e ir teniendo los precios, los incentivos, de una manera constante, acorde con la realidad que se va viviendo, pero desde luego cumpliendo con los compromisos marcados por esta administración.",0.0,47,23,09,2024
DAVID AGUILAR ROMERO,"En el caso de los indicadores de ganancia por marca a nivel nacional, tenemos, y estamos ya cerrando esta administración, aparece Arco, Chevron, Redco y Chevron con los indicadores de ganancia más altos, en contraste —y no nos extrañará— con franquicias como Gulf, Total, G500, con indicadores más bajos y, en consecuencia, podemos definirlos como las marcas aliadas de las y los consumidores.",0.0,63,23,09,2024
DAVID AGUILAR ROMERO,"Vale la pena ver ahí en la gráfica, Oxxo Gas y Petro Seven hace ya dos, tres, cuatro meses, empezaron a tener picos sobre todo en esa zona metropolitana de Monterrey. Se platicó con ellos, vale la pena mencionarlo en ambos casos haciendo algunos ajustes y todo, y ya desde hace algunas semanas con mejores precios.",0.0,56,23,09,2024
DAVID AGUILAR ROMERO,"Shell, también comentar, hace año, año y medio, empezaron a tener también picos, una franquicia con la que se fue hablando; fueron mejorando sus precios y ya desde hace varias semanas los vemos ubicados al centro de la tabla.",0.0,39,23,09,2024
DAVID AGUILAR ROMERO,"Pemex, no se diga, como franquicia siempre ha sido el referente, se encuentra también en ese lugar, Valero, Orsan y muchas otras que han cooperado, han colaborado y se han acercado para ser aliadas de los consumidores.",0.0,37,23,09,2024
DAVID AGUILAR ROMERO,"Pasamos ahora por región y por tipo de combustible. En el caso de la gasolina regular, tenemos desgraciadamente… También hay quienes como que no les ha caído el veinte de esta lógica de mejorar los precios y tener también ganancias, pero no de una manera exageradamente lucrativa. Por ejemplo, tenemos Grupo Octano, una franquicia de Pemex en Puerto Vallarta, Jalisco, con el litro de regular en 26 pesos con 69 centavos, 2.86 pesos por arriba del promedio nacional.",0.0,78,23,09,2024
DAVID AGUILAR ROMERO,"Sin embargo, tenemos una gasolinera de Valero, gasolinería Medellín, en Medellín de Bravo, Veracruz, con la misma gasolina regular, pero el litro en 22 pesos con 49 centavos, solamente 67 pesos de ganancia y un peso con 37 centavos por debajo del promedio nacional.",0.0,44,23,09,2024
DAVID AGUILAR ROMERO,"Todas las que vemos ahí en la tabla, en Coahuila, Estado de México, Yucatán, Chihuahua, Guanajuato, Chiapas, Nayarit, todas ellas son sólo un ejemplo de muchísimas más que están por debajo, inclusive, del promedio nacional.",0.0,35,23,09,2024
DAVID AGUILAR ROMERO,"Pasando ahora a la gasolina de alto octanaje, la gasolina prémium, tenemos a gasolinería Flecha, en Guaymas, Sonora, desgraciadamente con un precio bastante alto para ser prémium, 27 pesos con 99 centavos; como vemos, dos pesos con 68 centavos por arriba del promedio nacional y con cuatro pesos con 71 centavos de ganancia.",0.0,53,23,09,2024
DAVID AGUILAR ROMERO,"En esta misma gasolina, sin embargo, tenemos a G Gasolider Combustibles Araiza, en San Luis Potosí, ahí en la capital de ese bonito estado, con el litro en 22 pesos con 99 centavos, dos pesos con 32 centavos por debajo del promedio nacional; y como lo podemos ver también casos Puebla, Tabasco, Yucatán, Nayarit, sobre todo franquicias Pemex con precios por debajo del promedio nacional.",0.0,65,23,09,2024
DAVID AGUILAR ROMERO,"Tenemos ahora, en el caso del diésel, una franquicia de Pemex, gasolinera La Chatina, en Santos Reyes Nopala, Oaxaca, con el litro en 27 pesos con 71 centavos, 3.29 pesos de ganancia, un precio bastante caro para este combustible, sobre todo si lo comparamos con una estación de servicio, Expendedora de Servicios Mexiquense de Pemex, aquí en Nextlalpan, Estado de México, con el litro de diésel en 23 pesos con 77 centavos, 1.70 por debajo del promedio nacional; y cómo podemos ahí a Valero, G500, Fullgas, Gulf, Capetron, todas ellas por debajo del promedio nacional.",0.0,95,23,09,2024
DAVID AGUILAR ROMERO,"Pasando ahora el tema de verificaciones, entre el 13 y el 19 de septiembre, les comento que atendimos 385 denuncias, realizamos 261 visitas de verificación y/o constatación. En este caso ninguna gasolinera se negó a ser verificada y únicamente encontramos una estación que no dio litros completos, eso sucedió aquí en el municipio de Huixquilucan, Estado de México.",0.0,58,23,09,2024
DAVID AGUILAR ROMERO,"El ‘Quién es quién en los precios del gas LP’, un mercado, como lo he reiterado en muchas ocasiones, un mercado estable, los proveedores de este combustible también cumpliendo, ateniéndose al esquema que ha instaurado la CRE con precios por debajo de los referentes internacionales; y, por ejemplo, al 18 de septiembre en el caso del gas por kilo, a nivel internacional estuvo en 20 pesos con 91 centavos, el promedio nacional en esa misma fecha en 19 pesos con 97 centavos.",0.0,82,23,09,2024
DAVID AGUILAR ROMERO,"En el caso del gas que se expende por litro, a nivel internacional 11 pesos con 33 centavos, y en el caso del promedio nacional, 10 pesos con 78 centavos. Como les comentaba, muy bien por todos los proveedores de este combustible, en este caso de las 220 regiones que determinó la CRE para establecer los precios máximos hicimos verificaciones, visitas, se realizaron 686 en todo el país y en todos los casos todos ellos cumplieron en dar precios iguales o por debajo del máximo en su respectiva región.",0.0,89,23,09,2024
DAVID AGUILAR ROMERO,"Y, por ejemplo, en el caso del gas que se vende por litros tenemos Gas América, en Nicolás Romero, Estado de México, que ofreció el litro de gas a 10 pesos con 46 centavos, cuando en su región el máximo fue 10 pesos con 75 centavos. Como ese caso podemos encontrar otros temas así, en Michoacán, Sonora, Nuevo León y Guanajuato, entre otros.",0.0,63,23,09,2024
DAVID AGUILAR ROMERO,"De la misma manera, el gas que se expende por kilo lo encontramos, por ejemplo, en Chiautempan, Tlaxcala, con el kilo en 18 pesos con 81 centavos cuando, por ejemplo, su máximo era 19 pesos con 52 centavos, casos similares en Veracruz, Jalisco, Hidalgo, Puebla y Guanajuato.",0.0,47,23,09,2024
DAVID AGUILAR ROMERO,"De estas 686 verificaciones que se realizaron, una semana muy buena, habíamos tenido algún detallito en las semanas pasadas, pero en esta ocasión no se infraccionó a ningún proveedor, no se inmovilizó ningún vehículo, ningún instrumento de medición, ningún cilindro por alguna condición de inseguridad, todos ellos salieron limpios.",0.0,49,23,09,2024
DAVID AGUILAR ROMERO,"Pasamos ahora al tema del ‘Quién es quién en los precios de la canasta básica’, recordando que es una canasta de referencia con 24 productos que se determinaron y se acordó con las tiendas de autoservicio en que se estableciera un precio, un compromiso, más bien, que estuviera por debajo de los mil 39 pesos.",0.0,55,23,09,2024
DAVID AGUILAR ROMERO,"Y hoy traemos buenas noticias, es la primera ocasión en la que la canasta básica, el promedio a nivel nacional de estos 24 productos fue de 810 pesos con 87 centavos por debajo de los 811 pesos, pero les recuerdo el compromiso es mil 39 pesos.",0.0,46,23,09,2024
DAVID AGUILAR ROMERO,"Estamos, como lo pueden ver ahí, con los precios máximos y mínimos debajo de ese compromiso. Y podemos ver la línea de tendencia roja cómo ha ido disminuyendo, eso, sin duda alguna, además de que nosotros lo monitoreamos y lo medimos es gracias al compromiso que se estableció de manera reciente con Antad, sus asociados y también con Grupo Walmart, que abarcan una parte muy considerable del mercado a nivel nacional.",0.0,71,23,09,2024
DAVID AGUILAR ROMERO,"Ahí está la respuesta de ellos y hoy tenemos precios muy, muy competitivos. Por ejemplo, en la zona centro, entre el 9 y el 13 de septiembre Walmart Pirules, como recordamos hace como cuatro semanas Walmart ya estaba excediendo los mil pesos, insisto, por debajo de los mil 39, pero en esta ocasión Walmart Pirules, en Tlanepantla, Estado de México, con la canasta básica en 970 pesos.",0.0,67,23,09,2024
