Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OLGA SANCHEZ CORDERO," Muchas gracias, presidente.",0.541333260777616,3,14,03,2019
OLGA SANCHEZ CORDERO,"Me gustaría que cargaran ya las láminas, por favorcito.",0.541333260777616,9,14,03,2019
OLGA SANCHEZ CORDERO,"Bueno, muy buenos días a todas, a todos ustedes.",0.541333260777616,9,14,03,2019
OLGA SANCHEZ CORDERO,"Efectivamente, las reformas a la Constitución aprobadas en estos 100 días de gobierno y planteadas desde el Plan Nacional de Paz y Seguridad son: la creación de la Guardia Nacional,",0.541333260777616,30,14,03,2019
OLGA SANCHEZ CORDERO,"la Extinción de Dominio, la Prisión Preventiva Oficiosa para delitos graves.",0.541333260777616,11,14,03,2019
OLGA SANCHEZ CORDERO,"El objetivo era ajustar el marco jurídico a las nuevas realidades y circunstancias de seguridad en el país, garantizar la seguridad y bienestar de todas y todos los ciudadanos.",0.541333260777616,29,14,03,2019
OLGA SANCHEZ CORDERO,"En materia de Guardia Nacional, la reforma constitucional modificó los artículos 10, 16, 21, 31, 35, 36, 73, 76, 78 y 89 de la Constitución.",0.541333260777616,25,14,03,2019
OLGA SANCHEZ CORDERO,"El objetivo de la creación de esta Guardia Nacional fue reformular el concepto constitucional de Guardia Nacional como la institución que entraña también la Policía Federal, que va a ser la responsable de las tareas de seguridad pública en nuestro país, absorbe a esta Policía Federal dentro de la Guardia Nacional, así como a la Policía Militar y la Policía Naval.",0.541333260777616,61,14,03,2019
OLGA SANCHEZ CORDERO,"El proceso de aprobación de la reforma constitucional en materia de Guardia Nacional, quiero decirles que este ejercicio republicano y lo comparto, yo no tengo memoria de un ejercicio similar para la aprobación de una reforma constitucional.",0.541333260777616,37,14,03,2019
OLGA SANCHEZ CORDERO,"Esta reforma constitucional fue aprobada por 127 senadores, porque hubo una inasistencia, así que el total de los senadores es 128; por la totalidad de la Cámara de Diputados, que fue 143, uno en contra, ahí sí tenemos, pero inasistencias fueron 36, en total fueron 500 diputados, y en la totalidad de los congresos locales, las 32 entidades federativas, y después de que se aprobó en la última, que fue el estado de Yucatán, se va a hacer la correspondiente declaratoria de  reforma constitucional, con la totalidad de las entidades federativas.",0.541333260777616,91,14,03,2019
OLGA SANCHEZ CORDERO,"En materia de Extinción de Dominio, como lo acaba de señalar el señor presidente, se modificaron los artículos 22 y 73 de la Constitución, esto en virtud de que se amplió el catálogo de delitos sujetos a Extinción de Dominio y hoy se contemplan estos delitos, hechos de corrupción, encubrimiento, extorsión, robo de vehículos y delitos en materia de hidrocarburos, petrolíferos y petroquímicos, así como delitos cometidos por servidores públicos.",0.541333260777616,70,14,03,2019
OLGA SANCHEZ CORDERO,"El objetivo de esta reforma de Extinción de Dominio es optimizar los procedimientos judiciales y administrativos en la materia, crear un instituto para la administración de los bienes obtenidos por este proceso.",0.541333260777616,32,14,03,2019
OLGA SANCHEZ CORDERO,"Y el tercero mandata la creación de la ley nacional de Extinción de Dominio, la cual deberá prever que el uso final de los bienes obtenidos por medio de la Extinción de Dominio se deberá destinar, primero, a la reparación del daño a la víctima; segundo, a implementar Programas de Bienestar y, tercero, para financiar los programas de seguridad.",0.541333260777616,59,14,03,2019
OLGA SANCHEZ CORDERO,"Ya en este momento tenemos los suficientes estados, entidades federativas, que aprobaron dicha reforma de Extinción de Dominio para poder hacer la declaratoria correspondiente.",0.541333260777616,24,14,03,2019
OLGA SANCHEZ CORDERO,"Y, finalmente, la Prisión Preventiva Oficiosa para delitos graves. En esta reforma constitucional se modificó el artículo 19 para ampliar el catálogo de delitos en los cuales todo juez deberá, y subrayo, deberá ordenar la prisión preventiva.",0.541333260777616,37,14,03,2019
OLGA SANCHEZ CORDERO,"Estos delitos son, el delito de hechos de corrupción, el robo de hidrocarburos, los delitos electorales, como acaba de señalar el señor presidente, y también añadieron algunos otros, el mismo Congreso federal, que fue el abuso sexual contra menores, el feminicidio, la desaparición forzada, el robo a casa habitación, el robo a transporte de carga y la portación de armas de fuego y explosivos de uso exclusivo del Ejército.",0.541333260777616,69,14,03,2019
OLGA SANCHEZ CORDERO,"Estos últimos fueron añadidos por el Congreso federal y por, obviamente, el constituyente permanente porque ya ha sido aprobado por 17, más de 17 de las entidades federativas.",0.541333260777616,28,14,03,2019
OLGA SANCHEZ CORDERO,Ahora también vamos a tener la obligación constitucional de expedir las leyes secundarias en relación a estas reformas.,0.541333260777616,18,14,03,2019
OLGA SANCHEZ CORDERO,Y estas reformas que mandata la Constitución son las siguientes.,0.541333260777616,10,14,03,2019
OLGA SANCHEZ CORDERO,"En materia de Guardia Nacional tenemos cuatro, una nueva ley de Guardia Nacional, una nueva ley nacional de uso de la fuerza, una nueva ley nacional de registro de detenciones.",0.541333260777616,30,14,03,2019
OLGA SANCHEZ CORDERO,"Y tenemos también la reforma, o las reformas, a la Ley General del Sistema Nacional de Seguridad Pública.",0.541333260777616,18,14,03,2019
OLGA SANCHEZ CORDERO,"Por supuesto, habrá otras leyes que deberán revisarse para contar con una coherencia y armonización legislativa correspondiente.",0.541333260777616,17,14,03,2019
OLGA SANCHEZ CORDERO,"En materia de Extinción de Dominio, será también objeto de esta o como consecuencia de esta reforma constitucional, la ley nacional de Extinción de Dominio y reformas a la ley federal para la administración y enajenación de bienes del sector público.",0.541333260777616,41,14,03,2019
OLGA SANCHEZ CORDERO,"Y, por último, para esta reforma constitucional de prevención preventiva oficiosa para delitos graves, por supuesto que tendremos que reformar el Código Nacional de Procedimientos Penales.",0.541333260777616,26,14,03,2019
OLGA SANCHEZ CORDERO,"Es cuanto, señor presidente.",0.541333260777616,4,14,03,2019
OLGA SANCHEZ CORDERO," Gracias, presidente, muchas gracias.",0.541333260777616,4,14,03,2019
OLGA SANCHEZ CORDERO,"Yo siempre, bueno, no es que yo haya pensado, sino así es que los juzgadores son creadores de normas también, porque crean la norma cuando realizan una norma particular, cuando realizan un juzgamiento.",0.541333260777616,33,14,03,2019
OLGA SANCHEZ CORDERO,"Entonces, en todos los casos el juez deberá, obviamente, seguir el debido proceso y la garantía de audiencia.",0.541333260777616,18,14,03,2019
OLGA SANCHEZ CORDERO,"Entonces, es muy importante, ahora en la reforma constitucional se contemplan algunas conductas que antes no tenían prisión preventiva oficiosa, hoy sí las tienen, como es el caso del robo a casa-habitación.",0.541333260777616,32,14,03,2019
OLGA SANCHEZ CORDERO,"Si a mí me preguntan si yo lo hubiera llevado a nivel constitucional el robo a casa-habitación, probablemente yo no hubiera sido de las personas que estaría a favor que esta conducta se elevara a rango constitucional.",0.541333260777616,37,14,03,2019
OLGA SANCHEZ CORDERO,"Sin embargo, el Congreso y el constituyente permanente así lo consideró.",0.541333260777616,11,14,03,2019
OLGA SANCHEZ CORDERO,"Por otra parte, en cada uno de los casos, y yo te podría decir y adelantar, en cada uno de los casos hay una ponderación de derechos por parte del juez.",0.541333260777616,31,14,03,2019
OLGA SANCHEZ CORDERO,"Por supuesto que la ley no se puede aplicar a rajatabla, hay casos concretos, hay todo un sistema aprobatorio, hay un debido proceso, hay garantías de audiencia.",0.541333260777616,27,14,03,2019
OLGA SANCHEZ CORDERO,"Y tomándote en consideración todo esto, el acervo probatorio y todo, tiene que resolver el juez.",0.541333260777616,16,14,03,2019
OLGA SANCHEZ CORDERO,"Y siempre respetando los derechos humanos por encima de cualquier situación, porque así lo mandata la propia Constitución.",0.541333260777616,18,14,03,2019
OLGA SANCHEZ CORDERO,Gracias.,0.541333260777616,1,14,03,2019
OLGA SANCHEZ CORDERO," Sin duda, el Instituto Nacional de Migración era una de las instituciones que estaba más penetrada de corrupción.",0.541333260777616,18,14,03,2019
OLGA SANCHEZ CORDERO,"Estamos renovando prácticamente a todo el personal y, desde luego, ya hemos presentado algunas denuncias penales de agentes migratorios que extorsionaban a las personas que intentaban ingresar a nuestro país.",0.541333260777616,30,14,03,2019
OLGA SANCHEZ CORDERO,"Así que el proceso está en marcha, pero, sin duda alguna, lleva tiempo, porque era tanta la corrupción y son tantos los agentes que estamos renovando, y todo el personal que estamos renovando, que todavía vamos a tardar un poquito más de tiempo.",0.541333260777616,43,14,03,2019
OLGA SANCHEZ CORDERO,"Tenemos conocimiento de esta extorsión que acaba de señalar la compañera periodista, la tenemos muy clara, vamos a presentar las denuncias correspondientes, hemos presentado algunas denuncias aquí en la Ciudad de México, de agentes migratorios de la Ciudad de México que probamos que estaban extorsionando.",0.541333260777616,45,14,03,2019
OLGA SANCHEZ CORDERO,"Y vamos a ir limpiando el Instituto, no lo podemos hacer de la noche a la mañana, pero tenemos ya varias renovaciones de personal constantemente que estamos llevando a cabo. Pero, efectivamente, era una de las instituciones, yo creo más corruptas o de las más corruptas de nuestro país.",0.541333260777616,49,14,03,2019
OLGA SANCHEZ CORDERO,Gracias.,0.541333260777616,1,14,03,2019
OLGA SANCHEZ CORDERO," Tenemos en este momento tres o cuatro denuncias ya presentadas, pero vamos a seguir presentando.",0.541333260777616,15,14,03,2019
OLGA SANCHEZ CORDERO,"Este caso que acaba de señalar la compañera, efectivamente, y ya estamos haciendo las investigaciones y vamos a presentar las denuncias correspondientes.",0.541333260777616,22,14,03,2019
OLGA SANCHEZ CORDERO, La gran mayoría.,0.541333260777616,3,14,03,2019
OLGA SANCHEZ CORDERO," En todo lo que son, sobre todo los puertos de entrada, uno de los principales, desde luego, fue Cancún, en donde ya estamos renovando prácticamente todo el personal; Chetumal, la Ciudad de México; después vamos a continuar con Guadalajara, el norte, es que es enorme el instituto y de verdad, el propósito es firme para poder ir renovando a todo el personal.",0.541333260777616,62,14,03,2019
OLGA SANCHEZ CORDERO,"Tenemos problemas, por ejemplo, con el personal de base y que están sindicalizados muchos de ellos, pero aun así estamos tratando de ver cuál es su conducta y, en fin, tratando de resolver el problema de la corrupción del instituto, que es enorme.",0.541333260777616,43,14,03,2019
