Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA, (Inaudible),0.541333260777616,1,22,03,2019
PREGUNTA, (Inaudible),0.541333260777616,1,22,03,2019
PREGUNTA," Buenos días, presidente.",0.541333260777616,3,22,03,2019
PREGUNTA,"Yo quisiera preguntarle, el día de ayer el Senado echa abajo las ternas que usted mandó para la Comisión Reguladora de Energía, debido a que, evidentemente, incluso los mismos candidatos reconocieron que desconocen este tema de la Comisión Reguladora de Energía.",0.541333260777616,41,22,03,2019
PREGUNTA,"Saber si ya tiene pensado quiénes van a ser los nuevos perfiles, si va a optar por repetir a algunos de ellos y cuándo podría estarlas mandando.",0.541333260777616,27,22,03,2019
PREGUNTA," ¿Quién, presidente, quién le propuso?",0.541333260777616,5,22,03,2019
PREGUNTA," Y en un segundo tema, presidente, hace dos semanas el titular de la Unidad de Inteligencia Financiera nos comentaba que tenía al menos cincuenta casos de irregularidades o presunta corrupción en el tema de la compra de medicamentos, dijo que una vez que pasara su informe de los 100 Días de Gobierno lo iba a presentar, que involucraba, incluso, directamente a exfuncionarios de la administración pasada.",0.541333260777616,66,22,03,2019
PREGUNTA,"¿Sí se va a realizar este informe?, ¿tienen los elementos?, ¿qué información tiene usted?",0.541333260777616,14,22,03,2019
PREGUNTA," Señor presidente, muy buenos días. Soy Jovanny Rivera Huerta corresponsal de Estrella TV en Los Ángeles.",0.541333260777616,16,22,03,2019
PREGUNTA,"Más que una pregunta tengo una encomienda, una carta que fue escrita por los padres de Mario Aburto.",0.541333260777616,18,22,03,2019
PREGUNTA,"Yo he realizado una investigación en los Estados Unidos donde, a través de esta carta le piden que, por favor, reabra el caso Colosio. Ellos confían mucho en su palabra, en la transparencia que ha dado usted a este nuevo gobierno y al país.",0.541333260777616,44,22,03,2019
PREGUNTA,"Ellos me han confiado en darle esta carta personalmente a usted, ya que ellos están en los Estados Unidos y en un futuro les gustaría regresar a este país que los vio crecer a ellos y a sus hijos.",0.541333260777616,39,22,03,2019
PREGUNTA,"Si me permite, me gustaría presentarle la carta. Esta es la carta y este es el trabajo periodístico que hemos hecho. Le agradezco mucho por su tiempo, señor presidente. Gracias.",0.541333260777616,30,22,03,2019
PREGUNTA," Me gustaría saber, en cuanto a la investigación de Colosio, mañana se realizan los 25 años del asesinato del candidato.",0.541333260777616,20,22,03,2019
PREGUNTA,¿Qué opina usted sobre las investigaciones que se han realizado por cuatro fiscales que han dejado más preguntas que respuestas?,0.541333260777616,20,22,03,2019
PREGUNTA," Señor presidente, disculpe, por tomar la palabra. ¿Qué le responde a la familia Aburto, cuál es el mensaje?",0.541333260777616,18,22,03,2019
