Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.9384397760356878,2,25,03,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues hoy vamos a visitar Tabasco. Vamos a conmemorar los 500 años de la Batalla de Cintla o Centla. Es la primera batalla, el primer enfrentamiento de españoles encabezados por Hernán Cortés y los pobladores originarios mayas y chontales de esa región.",0.9662323398118643,43,25,03,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a hablar de este tema, porque en el 2021 tenemos tres conmemoraciones importantes: los 700 años de la fundación de la Ciudad de México, de Tenochtitlán; los 500 años de la toma de la caída de Tenochtitlán y los 200 años de nuestra Independencia nacional. Todo esto en el 2021.",0.9576614088818316,51,25,03,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,El gobierno es de todos los mexicanos y su función principal es hacer valer la justicia. Conferencia matutina.,0.9400182957375444,18,25,03,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso hoy vamos a dar a conocer cuál es la ruta que vamos a llevar a cabo en el marco de nuestra memoria histórica, del rescate de nuestra memoria histórica. Cuál va a ser la postura del gobierno de México.",0.893397750526393,41,25,03,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y vamos también a informarles ahora mismo sobre la protección de periodistas y a defensores de derechos humanos, es un tema que ustedes plantearon, quedó pendiente y ya se tiene la información general.",0.02722022674256811,33,25,03,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Alejandro Encinas nos va a hacer la presentación y vamos a comenzar con eso y luego abrimos lo de la sesión de preguntas y respuestas.,0.4497387296077136,25,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ," Muchas gracias, señor presidente.",0.42659809592117026,4,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,Como lo ofreció el señor presidente el día de hoy vamos a dar cuenta de la situación en que se encuentra el Mecanismo de Protección para las Personas Defensoras de Derechos Humanos y Periodistas.,0.03012902554166363,34,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"Como ustedes saben este Mecanismo se creó en julio del 2012 en cumplimiento del Artículo 1º de la Ley para la Protección de Personas Defensoras de los Derechos Humanos y Periodistas; en esta ley se establece como una responsabilidad del Estado el garantizar la vida, la integridad, la libertad y seguridad de todas aquellas personas que en la defensa de los derechos humanos o el ejercicio del periodismo enfrenta una situación de riesgo.",0.03109607683495955,73,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"Y las medidas que se adoptan en torno a este Mecanismo resurgen de una junta de gobierno que está integrada, no solamente por representantes del gobierno federal, sino por órganos autónomos y representantes de los propios periodistas y los defensores de los derechos humanos.",0.09822615497242422,44,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"Yo creo que esto es muy importante destacarlo, porque la Junta de Gobierno, que es el órgano colegiado de establecer todas las medidas dentro del Mecanismo de protección, así como de identificar la situación de riesgo en que se encuentran, tanto los defensores de derechos humanos, como los periodistas son quienes toman esta decisión.",0.5281979178313787,54,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,¿Quién integra esta Junta de Gobierno?,0.5584354388711896,6,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"Son fundamentalmente nueve representantes, tres del gobierno federal: la Secretaria de Gobernación, la Secretaria de Seguridad y Protección Ciudadana, y la Secretaría de Relaciones Exteriores.",0.3346278688399222,25,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"Dos órganos con autonomía constitucional, que son la Fiscalía General de la República y la Comisión Nacional de Derechos Humanos; y cuatro representantes del Consejo Consultivo, que por lo general son dos representantes de periodistas, dos representantes de los defensores de los derechos humanos.",0.008672457182858298,44,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"Más aún, el Consejo Consultivo Ciudadano se integra por un presidente, cuatro defensores de derechos humanos y cuatro periodistas.",0.009648579575427405,19,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"Al mismo tiempo, esta Junta de Gobierno tiene como invitados permanentes con derecho a voz a la Oficina en México de la Alta Comisionada de las Naciones Unidas para los Derechos Humanos, a la Conferencia Nacional de Gobernadores, al Poder Judicial de la Federación, al presidente de la Comisión de Derechos Humanos del Senado de la República o al presidente o presidenta de la Comisión de Derechos Humanos de la Cámara de Diputados.",0.09715736522312333,73,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,¿Cuáles son las medidas que adopta del Mecanismo de protección?,0.17904144652136791,10,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,Son de tres tipos:,0.6869920984320377,4,25,03,2019
ALEJANDRO ENCINAS RODRIGUEZ,"El primero son las medidas urgentes que tienen que ver con situaciones de alto riesgo que implican la evacuación de la persona que se encuentra en situación de riesgo, su reubicación temporal, el que se le asignen escoltas de cuerpos especializados, que se protejan los inmuebles en los que se encuentran y todas aquellas medidas que se requieran para salvaguardar su vida, integridad y libertad de las y los beneficiarios.",0.004734291486995746,70,25,03,2019
