Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GISELA LARA SALDAÑA," Con su permiso, señor presidente.",0.32823650481604266,5,10,3,2020
GISELA LARA SALDAÑA,"El programa IMSS-Bienestar es un programa del gobierno federal que tiene 40 años de experiencia y que ha dado resultados con un impacto en salud muy fuerte, sobre todo en poblaciones rurales e indígenas del país.",0.32823650481604266,36,10,3,2020
GISELA LARA SALDAÑA,"Desde sus inicios siempre ha tenido atención médica y medicamentos gratuitos, opera con recursos federales a través del PES, del Ramo 19. Está distribuido territorialmente en 19 entidades federativas a través de 20 representaciones del Instituto Mexicano del Seguro Social y estamos particularmente ubicados en lugares en las localidades más lejanas y más marginadas del país.",0.32823650481604266,56,10,3,2020
GISELA LARA SALDAÑA,"Damos la atención a través de hospitales, 80 hospitales rurales, a unidades médicas son tres mil 622 unidades rurales, brigadas de salud son 184, unidades médicas móviles son 140 y a través de 45 CAROS, que son Centros de Atención Rural Obstétrica, que son espacios atendidos por un médico y dos enfermeras las 24 horas del día para atender a mujeres con embarazos de alto riesgo que en un caso dado de no poder ser atendidas ahí, a través de un radio se hace un llamado al hospital más cercano para que una ambulancia aérea lo saque del lugar donde están hasta un hospital para evitar la muerte materna. Particularmente esto nos sucede con los coras, con los huicholes, con los tarahumaras, particularmente en la sierra de Durango.",0.32823650481604266,128,10,3,2020
GISELA LARA SALDAÑA,"Atendemos a 12.3 millones de mexicanos, de los cuales 4.5 viven en comunidades indígenas, aproximadamente un poco más de 20 mil médicos y enfermeras y paramédicos son los responsables de atender a estos 12.3 millones de mexicanos.",0.32823650481604266,37,10,3,2020
GISELA LARA SALDAÑA,"Y tenemos una red comunitaria muy bien organizada en todo nuestro ámbito, son un poco más de 315 mil personas que trabajan de manera voluntaria y que se encargan de hacer la vigilancia epidemiológica simplificada, eso quiere decir que visitan casa por casa, por cada voluntario en promedio tienen a su cargo a 13 familias que revisan sus cartillas de salud y eso hace que deriven a las unidades médicas para que los diferentes miembros de la familia se hagan las acciones correspondientes para evitar que se enfermen.",0.32823650481604266,88,10,3,2020
GISELA LARA SALDAÑA,"Ya les decía que atendemos a través de tres mil 600 unidades rurales de primer nivel, 80 hospitales en segundo nivel, los 45 CARO y los 324 equipos de salud itinerante, de las cuales les puedo decir que 140 unidades móviles, es un camión pequeño en donde va un consultorio, está un consultorio y va un médico, una enfermera y un promotor de Acción Comunitaria, que mientras el médico y la enfermera vacunan y dan consulta, el promotor de Acción Comunitaria da pláticas y organiza a la comunidad en temas relacionados con el saneamiento básico.",0.32823650481604266,95,10,3,2020
GISELA LARA SALDAÑA,"Lo mismo sucede con las brigadas. La diferencia con una brigada y una móvil es que se la brigada es una camioneta Pick Up, que va a localidades de menos de 500 habitantes, lugares mucho muy pequeñitos, y también está compuesto por un médico, una enfermera y un promotor.",0.32823650481604266,49,10,3,2020
GISELA LARA SALDAÑA,"Justo el día de ayer se firmó un convenio con el Insabi en donde se nos da presupuesto para pagar al personal de honorarios de las brigadas y de las móviles, lo que también nos permite abastecer de vacunas y de medicamentos a esas localidades pequeñas que existen bastante lejanas en el interior del país.",0.32823650481604266,55,10,3,2020
GISELA LARA SALDAÑA,"Les decía que la organización comunitaria es algo que distingue al programa IMSS-Bienestar. Tenemos voluntarios que tienen hasta 15, 20, 25 años de ser voluntarios, ellos son elegidos por asamblea comunal, son personas de mucho respeto en la comunidad, y de esos tenemos alrededor de 318 voluntarios entre los comités de salud, los voluntarios rurales, los voluntarios y las parteras y avales ciudadanos.",0.32823650481604266,63,10,3,2020
GISELA LARA SALDAÑA,"Déjenme decirles que los avales ciudadanos es un personaje también electo por la comunidad, que permite vigilar que la atención médica se dé en cada uno de los hospitales y de las unidades médicas rurales de manera oportuna y con un buen trato.",0.32823650481604266,43,10,3,2020
GISELA LARA SALDAÑA,"Una cosa que tenemos en el programa IMSS-Bienestar es que les damos, sobre todo en los hospitales, cursos de derechos humanos a nuestros residentes. Son médicos que van a hacer su último… su especialidad a nuestros hospitales y no conocen el ámbito rural. Lo primero que les damos es un curso de derechos humanos para que aprendan a tratar a las personas o las traten de manera correcta a las personas en el ámbito indígena.",0.32823650481604266,75,10,3,2020
GISELA LARA SALDAÑA,"También contamos con albergues en 70 de los 80 hospitales. Los albergues fueron diseñados inicialmente para atender a las mujeres de alto riesgo, pero con el tiempo también son utilizados para que sus familiares puedan hospedarse, tengan alimentación, un lugar dónde dormir, dónde alimentarse de manera gratuita, porque son personas que vienen de localidades en donde caminan cuatro o cinco, seis horas para llegar al segundo nivel de atención y no tienen para pagar un hotel, de hecho, no hay hoteles en los lugares donde tenemos los hospitales y el albergue les permite tener un lugar digno dónde dormir, dónde descansar y sobre todo dónde alimentarse.",0.32823650481604266,106,10,3,2020
GISELA LARA SALDAÑA,Este año se está planeando construir los otros 10 albergues que nos faltan para tener en el 100 por ciento de nuestros 80 hospitales un albergue.,0.32823650481604266,26,10,3,2020
