Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Estamos iniciando la semana. Vamos a tratar tres temas:,0.32823650481604266,11,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo primero es lo del coronavirus, la información para iniciar la semana. Nos van a informar los responsables de llevar a cabo toda la estrategia de salud.",0.32823650481604266,27,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos también a tener el informe sobre Quién es Quién en los Precios de los Combustibles.,0.32823650481604266,16,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y, en tercer lugar, el avance en las obras, lo que se ha ido avanzando en la construcción de la refinería y en la construcción del nuevo aeropuerto militar Felipe Ángeles, militar y civil Felipe Ángeles.",0.32823650481604266,36,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si les parece, vamos primero, que nos va a llevar más tiempo… no, en ese orden, vamos con coronavirus, luego quién es Quién en los Precios y luego el avance en las obras.",0.32823650481604266,33,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, empezamos con Hugo para que nos informe.",0.32823650481604266,8,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Vamos con las obras, el avance.",0.32823650481604266,6,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien. Vamos, abrimos.",0.32823650481604266,4,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Miren, yo me ajusto al protocolo de salud.",0.32823650481604266,8,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero es muy buena la pregunta porque, si hace falta, entonces yo me hago la prueba del coronavirus, hago lo que me indiquen los médicos, los responsables.",0.32823650481604266,27,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tomamos la decisión de dejar este asunto de salud pública en manos de técnicos, de médicos, de científicos, porque si se deja en manos de políticos y de politiqueros, que es lo peor, entonces se altera todo. Esa es otra epidemia que tiene que ver con los intereses creados, con quienes no nos ven con buenos ojos y aprovechan todo para echarnos la culpa.",0.32823650481604266,64,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Les voy a contar algo de ayer en la noche para que tengamos una idea, esto con el propósito de que le tengamos confianza a los médicos y que no se politice este asunto.",0.32823650481604266,34,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo terminé una gira en la Costa Chica de Guerrero y me trasladé a la Ciudad de México en un vuelo de Volaris, con relativamente poca demora hasta eso, y llegué como a las nueve, nueve y media de la noche.",0.32823650481604266,41,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, en el vuelo no se puede utilizar el teléfono, no llegan las noticias, pero aterrizando ya estaba un mensaje de López-Dóriga anunciando la primera muerte por coronavirus.",0.32823650481604266,28,16,3,2020
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Eso no fue todo. Bajo y hay una nube de reporteros, pero sobre todo camarógrafos acosándome para que yo declarara sobre el primer muerto de coronavirus, que si no me interesaban, que si no le iba yo a mandar un pésame a los familiares, hasta atropellantes, hasta el carro. Les dije: mañana en la mañana hablamos.",0.32823650481604266,56,16,3,2020
