Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
NORMA ROCIO NAHLE GARCIA, Buenos días.,0.541333260777616,2,15,04,2019
NORMA ROCIO NAHLE GARCIA,"Con permiso, señor presidente.",0.541333260777616,4,15,04,2019
NORMA ROCIO NAHLE GARCIA,"De acuerdo a los datos que se reportan día a día en la Comisión Reguladora de Energía, de las más de 12 mil 500 estaciones de servicio, estas están divididas en ocho regiones: región centro, región golfo, región noroeste, noreste, norte, occidente, sur y sureste.",0.541333260777616,45,15,04,2019
NORMA ROCIO NAHLE GARCIA,El comparativo a la fecha esta semana del 6 al 12 tenemos lo siguiente: para el precio regular de gasolina este fue el promedio que se manejó en esta semana de los precios que manejan en su comercialización las diferentes marcas que están en el país.,0.541333260777616,46,15,04,2019
NORMA ROCIO NAHLE GARCIA,"La más cara se reporta en Shell y la más económica que reportan es PetroSeven; y Pemex, que es la comercializadora más grande está en un promedio intermedio.",0.541333260777616,28,15,04,2019
NORMA ROCIO NAHLE GARCIA,"Para el caso de la gasolina Premium es igual, la marca.",0.541333260777616,11,15,04,2019
NORMA ROCIO NAHLE GARCIA," Todas, así es.",0.541333260777616,3,15,04,2019
NORMA ROCIO NAHLE GARCIA,"La más cara, bueno, en el precio regular: Shell a 20.23, G500 a 19.89, FullGas 19.89, ExxonMobil a 19.87 pesos el litro, total 19.86. Repsol 19.82, Walmart 19.77, Hidrosina 19.76, BP 19.75, Oxxo Gas 19.72, La Gas 19.51, Pemex 19.51, Lodemo 19.49, Chevron 19.41, Orsan 19.31, Costco 19.29, Gulf 19.24, RendiChicas 19.18, Arco 18.91 y Petro-7 18.74.",0.541333260777616,57,15,04,2019
NORMA ROCIO NAHLE GARCIA,"Los precios de gasolina Premium, igual: Shell 21.61. Walmart 21.24, Oxxo Gas 21.20, FullGas 21.20, G500 21.06, ExxonMobil 21.03, Total 21.02, Repsol 20.99, BP 20.97, Hidrosina 20.96, Chevron 20.94, Pemex un promedio de 20.81, La Gas 20.73, Costco 20.71, RendiChicas 20.68, Lodemo 20.64, Winstar 20.63, Orsan 20.62, Gulf 20.54, Arco 20.41 y Petro-7 20.35.",0.541333260777616,54,15,04,2019
NORMA ROCIO NAHLE GARCIA,"El siguiente es el diésel, en diésel tenemos menos comercializadores, sin embargo, Walmart está igual, es el más alto, 21.75; Shell, 21.68; Oxxo Gas, 21.56; Hidrosina, 21.46; Total, 21.44; G500, 21.43; Full Gas, 21.38; Repsol, 21.35; Pemex, 21.28; BP, 21.26; ExxonMobil, 21.21; Lodemo, 21.15; Petro Seven, 21.15; Orzan, 21.13; La Gas, 21.12; Gulf, 21.12; Chevron, 20.82; Arco, 20.74, y RendiChica, 21.54.",0.541333260777616,61,15,04,2019
NORMA ROCIO NAHLE GARCIA,Son los datos que reporta la CRE del 6 al 12 de abril del 2019.,0.541333260777616,15,15,04,2019
NORMA ROCIO NAHLE GARCIA,"Va el director de Pemex a mostrar cómo se maneja el precio, cómo está soportado en México y posteriormente damos las 10 más económicas.",0.541333260777616,24,15,04,2019
NORMA ROCIO NAHLE GARCIA," A continuación, hicimos una lista de las 10 gasolineras o estaciones de servicio con los precios más altos en el país de los que se registró, de acuerdo al dato que reporta la Comisión Reguladora de Energía.",0.541333260777616,37,15,04,2019
NORMA ROCIO NAHLE GARCIA,"El más alto lo tuvimos en La Yesca, de gasolina regular en Nayarit, la calle es Insurgentes Sur sin número a 22.99, la razón social es Ividelisa Reyes Hernández.",0.541333260777616,29,15,04,2019
NORMA ROCIO NAHLE GARCIA,"La segunda fue en Guanaceví, Durango, igual, carretera Guanaceví-Tepehuanes, la señora María Teresa Ayala Alemán.",0.541333260777616,15,15,04,2019
NORMA ROCIO NAHLE GARCIA,"El tercero es en Rayón, Sonora, con Marcia Lizeth Antúnez Navarro en Boulevar Luis Donaldo Colosio y Boulevard Justo Vázquez.",0.541333260777616,20,15,04,2019
