Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.541333260777616,2,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Este día es muy importante porque vamos a dar a conocer el Proyecto del Bosque y del Complejo Cultural Chapultepec.,0.541333260777616,20,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como se sabe, se decidió que el espacio de Los Pinos pasara a formar parte del Bosque de Chapultepec y se abriera al pueblo para convertir Los Pinos, y todo el espacio del bosque, en un centro para las artes y la cultura; integrar todo ese espacio, que ya tiene distintas funciones en lo artístico, en lo cultural, en la recreación, desde hace mucho tiempo.",0.541333260777616,65,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Comenzamos el camino hacia el progreso con justicia. Conferencia matutina en vivo.,0.541333260777616,12,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahí está Antropología, el Castillo de Chapultepec, ahí están Los Pinos y hay tres secciones del Bosque de Chapultepec.",0.541333260777616,19,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahora se va a agregar una más, van a ser cuatro secciones porque se va a agregar lo que pertenecía a la Secretaría de la Defensa, donde estaba la antigua fábrica de armas de la Secretaría de la Defensa. Todo se integra y son alrededor 800 hectáreas.",0.541333260777616,47,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Va a ser el espacio artístico-cultural más grande y, desde luego, más importante del mundo.",0.541333260777616,15,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Para llevar a cabo este proyecto contamos con la participación de Gabriel Orozco, un artista plástico, multidisciplinario, de gran importancia en nuestro país y en el mundo, de relevancia por su arte, por su cultura.",0.541333260777616,35,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Él va a dirigir todo este proyecto, lo va a hacer sin cobrar nada, es una aportación.",0.541333260777616,17,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El proyecto lo va a coordinar la Secretaría de Cultura, Alejandra Frausto, la secretaria de Cultura.",0.541333260777616,16,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se está haciendo en coordinación, también, con el gobierno de la Ciudad de México, con la doctora Claudia Sheinbaum.",0.541333260777616,19,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nos están ayudando el promotor cultural, también de manera voluntaria, sin cobrar, Isaac Masri y ayuda en el manejo administrativo Homero Fernández, son los que nos están ayudando.",0.541333260777616,28,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Invitamos al general secretario de la Defensa, porque hay muchas instalaciones en todo este espacio que históricamente pertenecen a la Secretaría de la Defensa, además de todo lo que va a significar el tener este complejo cultural, este gran parque para las artes, la cultura, que la gente va a poder entrar y estar todo el día, recreándose, admirando el arte, la cultura, nuestra historia.",0.541333260777616,65,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Va a poder caminar libremente, reflexionar, analizar, vivir lo que es el arte, la cultura, nuestra historia, nuestra extraordinaria historia.",0.541333260777616,20,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Además de todo esto, que va a ser un espacio libre, desde luego gratuito, va a ser también un espacio seguro, en estas 800 hectáreas se va a poder caminar con absoluta libertad, con seguridad.",0.541333260777616,35,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esta es otra de las razones por las que invitamos al general Luis Cresencio Sandoval, porque ellos se van a hacer cargo, la Guardia Nacional, de la seguridad en todo este perímetro del bosque y va a haber de todas las modalidades de protección, va a haber policía montada y guardabosques, y todo lo que se va a necesitar.",0.541333260777616,59,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, es un orgullo el poder presentar este proyecto que, sin duda, va a ser el proyecto artístico-cultural más importante del mundo en cuanto a espacio y en cuanto a arte.",0.541333260777616,31,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto es un acompañamiento a lo que significa la transformación del país, en cuanto al cambio de forma de gobernar para que nuestro pueblo viva en condiciones de justicia, que tengamos una sociedad mejor, sin pobreza, sin marginación y con arte, con cultura, con alegría, con felicidad.",0.541333260777616,47,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a darle la palabra a Alejandra Frausto, si les parece; luego a Gabriel Orozco; luego a Claudia.",0.541333260777616,19,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Terminamos esta presentación y luego abrimos, como siempre, para preguntas y respuestas.",0.541333260777616,12,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Adelante, Alejandra.",0.541333260777616,2,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Y no va a cobrar este gran artista, lo más importante es que vamos a contar con su creatividad.",0.541333260777616,19,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ahora sí, Claudia.",0.541333260777616,3,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Pues esa es la exposición en general.,0.541333260777616,7,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si les parece terminamos con el tema, si tienen preguntas sobre este tema en particular o ya queda lo suficientemente expuesto.",0.541333260777616,21,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Adelante.,0.541333260777616,1,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Hay espacios que tienen que ver con instalaciones del gobierno federal, inclusive de asociaciones civiles que van a ser tomadas en cuenta, desde luego. Es el proyecto de todos y de todas, tenemos que unirnos.",0.541333260777616,35,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Acerca de la administración, consideramos que lo mejor es que esté a cargo del gobierno de la Ciudad de México y que ayudemos todos en lo que nos corresponde.",0.541333260777616,29,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a tener ya el presupuesto pronto, no se va a requerir de muchos fondos, porque todo lo creativo va a ser aportado de manera voluntaria.",0.541333260777616,26,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Como aquí lo mencionó Gabriel, se va a buscar que no se desperdicien los recursos, que no se trate de construcciones que puedan convertirse en elefantes blancos, sino que todo tenga una razón de ser y que se manejen con racionalidad los fondos. Tenemos el presupuesto para llevar a cabo este proyecto.",0.541333260777616,52,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Sobre el Zoológico…,0.541333260777616,3,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"  Hay algo importante, que no se ha dicho. No sé, si ponen la imagen.",0.541333260777616,14,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Miren, esa parte que se integra, que pertenece a la Secretaría de la Defensa, son más de 100 hectáreas, es una parte histórica, es la fábrica de armas, se funda desde la época del presidente Juárez, son sitios, son monumentos históricos.",0.541333260777616,41,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y ahí está el pueblo histórico de Santa Fe, fundado por Tata Vasco, que se aisló completamente.",0.541333260777616,17,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Gabriel Orozco señalaba algo que es muy importante, abrir las puertas para que se pueda entrar. Es increíble, pero la gente que vive cerca no puede entrar a esos espacios.",0.541333260777616,30,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, en una visión distinta lo que se quería hacer con ese espacio, que ahora pasa a formar parte del bosque, la Cuarta Sección, era fraccionarlo, ya se tenía hecho hasta el avalúo.",0.541333260777616,33,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se estimaba, de acuerdo al avalúo, vender ese espacio en 12 mil millones de pesos.",0.541333260777616,15,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Se acuerdan que aquí incluso hablamos del tema?,0.541333260777616,8,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Después de un tiempo, se decida que se integra todo este espacio al bosque para el disfrute de los capitalinos, de los mexicanos, porque el bosque es de todos los mexicanos.",0.541333260777616,31,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Cuando uno vive en un estado, en una región del país y viene a la capital por primera vez, y se pregunta: ¿A dónde quieres ir?, ¿qué te gustaría conocer de la Ciudad de México?",0.541333260777616,35,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues, de los sitios obligados cuando se es niño, cuando se es joven, es uno de ellos el bosque. Entonces, es de todos el bosque.",0.541333260777616,25,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y, además, va a tener también mayor afluencia de turistas, porque se va a convertir en un atractivo mucho mayor en lo artístico y en lo cultural. Un gran espacio.",0.541333260777616,30,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay una enfermedad que se produce de tanto ver arte y de tanto ver cultura, y en este caso además del arte y de la cultura, de convivir con la naturaleza, que es famosa, que suele darse en los grandes sitios, donde se tropieza uno con el arte y con la cultura, por ejemplo, en Florencia, de estar todo el día viendo exposiciones de arte, de cultura, a Miguel Ángel y a otros grandes artistas, dicen que se termina aturdido con este síndrome.",0.541333260777616,83,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Aquí, al final del día y después de estar recorriendo este bosque, pues vamos a tener que darle algún tratamiento médico a quienes lo visiten, porque es realmente muy intenso, va a ser mucho muy intenso.",0.541333260777616,36,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya de por sí es importante esta zona, lo va a ser mucho más.",0.541333260777616,14,02,04,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, comentarles nada más esto de que se agregan estas 100 hectáreas, 120 hectáreas, se agregan porque se resolvió financiar, seguir con el programa de traslado de las plantas de las fábricas de armas de la Secretaría de la Defensa hacia a Puebla, que ya se tiene presupuesto con ese propósito.",0.541333260777616,51,02,04,2019
