Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALFONSO DURAZO MONTAÑO, Muy buenos días a todas; a todos ustedes.,0.541333260777616,8,09,04,2019
ALFONSO DURAZO MONTAÑO,"Señor presidente; doctora Bachelet; señor canciller; compañeros, compañeras del equipo del presidente de la República; amigas, amigos.",0.541333260777616,17,09,04,2019
ALFONSO DURAZO MONTAÑO,Señora alta comisionada:,0.541333260777616,3,09,04,2019
ALFONSO DURAZO MONTAÑO,"Nos congratula particularmente su presencia entre nosotros. Usted y su trayectoria personal son ampliamente conocidas y valoradas entre quienes participamos en esta etapa de transformación de México. Sabemos de su desenvolvimiento como ministra de Salud y posteriormente de defensa en los gobiernos del renacimiento democrático de Chile, así como de los dos periodos presidenciales que usted encabezó.",0.541333260777616,57,09,04,2019
ALFONSO DURAZO MONTAÑO,"Sus vivencias y sensibilidad, la difícil historia familiar y personal de su juventud, sus conocimientos y su prestigio internacional, son para todos nosotros una garantía en el campo del respeto a los derechos humanos.",0.541333260777616,34,09,04,2019
ALFONSO DURAZO MONTAÑO,"La historia nuestra y la del mundo nos muestran claramente que las violaciones a los derechos humanos se multiplican y perpetúan en la impunidad. Cada atropello que no se aclara, que no se sanciona y que no se repara, aumenta su repetición, fomenta el abuso de autoridad, la extralimitación de los servidores públicos, la vulnerabilidad de la sociedad y el rencor social, incluso, hacia las instituciones nacionales.",0.541333260777616,67,09,04,2019
ALFONSO DURAZO MONTAÑO,"Por ello, el presidente de la Republica, al anunciar el cambio en la política de seguridad, hizo también público su compromiso de invitar a los organismos internacionales, destacadamente a la Organización de las Naciones Unidas, para que nos ayudaran en la instrumentación de esta nueva política de seguridad con base en el respeto y la promoción de los derechos humanos.",0.541333260777616,60,09,04,2019
ALFONSO DURAZO MONTAÑO,No creemos en los atajos de la violencia para garantizar la seguridad pública. Sostenemos que seguridad pública y respeto a derechos humanos son complementarios e indispensables.,0.541333260777616,26,09,04,2019
ALFONSO DURAZO MONTAÑO,"Como usted los sabe, nuestro país ha atravesado un difícil periodo de más de 12 años de inseguridad creciente, cuyo costo en vidas humanas, desaparecidos, tortura, violaciones y severo quebranto del tejido social, es simple y sencillamente inaceptable.",0.541333260777616,38,09,04,2019
ALFONSO DURAZO MONTAÑO,"Aspiramos a que los derechos humanos nunca más se divorcien del quehacer del Estado en materia de seguridad pública, y para ello nos es indispensable la colaboración de organismos multilaterales, como el que usted dignamente encabeza.",0.541333260777616,36,09,04,2019
ALFONSO DURAZO MONTAÑO,"La Guardia Nacional, cuyo diseño constitucional fue recientemente aprobado por unanimidad, es una de las respuestas que estimamos ayudará de manera definitiva a la recuperación de la paz y la seguridad a la que legítimamente aspiramos las y los mexicanos.",0.541333260777616,40,09,04,2019
ALFONSO DURAZO MONTAÑO,"Tenemos el compromiso de que nuestra reciente Guardia Nacional sea ejemplar y que su organización, capacitación y actuación respondan a los más altos estándares internacionales en materia de derechos humanos.",0.541333260777616,30,09,04,2019
ALFONSO DURAZO MONTAÑO,"Buscamos que sea un cuerpo profesional, respetado por la sociedad, digno de contar con su confianza y eficaz en el combate a la criminalidad, sin excesos ni abusos de ningún tipo. La perspectiva de los derechos humanos es también un elemento esencial del modelo nacional de policía que estamos elaborando junto con los gobiernos estatales y municipales. La regeneración ética de la sociedad y la atención a las necesidades sociales básicas son al mismo tiempo un medio y un propósito de la transformación que vive nuestro país.",0.541333260777616,87,09,04,2019
ALFONSO DURAZO MONTAÑO,"En el ámbito de la seguridad pública y el combate a la delincuencia, buscamos que esta regeneración ética se traduzca en una opción preponderante por los métodos pacíficos; por ello, es indispensable la colaboración internacional.",0.541333260777616,35,09,04,2019
ALFONSO DURAZO MONTAÑO,"Mucho esperamos, señora alta comisionada, de la colaboración que usted y el organismo a su cargo puedan brindarnos en esta materia para que nuestra política de seguridad pública sea a la vez eficiente y vanguardista en el respeto a los derechos humanos.",0.541333260777616,42,09,04,2019
ALFONSO DURAZO MONTAÑO,Muchas gracias por su atención.,0.541333260777616,5,09,04,2019
