Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Gracias, señor presidente. Secretario de Salud, canciller, directores de las instituciones de Salud. Muy buenos días a todas y todos, buenos días a la ciudadanía.",0.32823650481604266,25,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Como relata el presidente y hemos comentado todos los días a las 7:00 de la noche, estamos en el seguimiento diario de la epidemia. Hoy me gustaría hacer algunas consideraciones a reserva de presentar el informe, yo creo que podríamos usar el informe que presenté anoche como punto referencial para quienes no lo vieron, y sobre eso les comento la visión panorámica de lo pensamos en espera de ocurrir en las siguientes pocas semanas.",0.32823650481604266,74,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Aquí lo vemos en este comunicado que presentamos todas las tardes a las 7:00 de la noche. Es primero la situación mundial, ya no ponemos el mapa, es poco informativo, porque todos los países tienen transmisión activa, pero lo que vemos en esta gráfica de barras es la distribución de casos, la altura de estas barras de colores representa la cantidad de casos registrados en el mundo.",0.32823650481604266,67,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Las letras son muy chicas en el eje vertical, pero los números en resumen están ahí, más de un millón 773 mil personas han tenido COVID a lo largo de la epidemia desde que empezó en China a principios de enero. Es importante notar que un poco más de un millón de personas casi un millón 80 mil han tenido COVID en las últimas 14 días, es decir las últimas dos semanas.",0.32823650481604266,72,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Esto es importante porque esta transmisión reciente, esta ocurrencia reciente de la enfermedad es lo que realmente está empujando la epidemia, está manteniendo la transmisión; mientras que el resto, del 39 por ciento de los casos que ocurrieron más allá de 14 días, son personas que se han recuperado en su enorme mayoría. Eso es una buena noticia, porque representan el contrario, en lugar de ser el motor de la epidemia, representan el freno de la epidemia.",0.32823650481604266,77,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Entre más, una proporción más grande, un porcentaje más grande de personas que hayan tenido la enfermedad se recuperen, quedarán inmunes. Inmunes quiere decir protegidas biológicamente de la infección y entonces tendrán la posibilidad de no transmitir y frenar la epidemia.",0.32823650481604266,41,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Desafortunadamente lo que vemos también son algunos signos no alentadores a nivel mundial, como el incremento, el aumento de la tasa de letalidad. La tasa o proporción de letalidad del caso es el porcentaje de personas que, teniendo COVID, desafortunadamente pierden la vida por la enfermedad.",0.32823650481604266,46,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y esto es importante, porque lo que representa en buena medida es que, conforme la enfermedad se ha propagado en distintos territorios del mundo, no todos tienen la misma capacidad de atención y las dificultades para atender a todas las personas condiciona en muy buena medida la probabilidad de morir.",0.32823650481604266,50,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Finalmente, lo que se ve en colores, y también en la tabla, es la contribución que tiene cada una de las regiones del mundo para mantener activa a la epidemia. Lo podemos ver en la siguiente diapositiva de manera más clara. En la barra de hasta abajo lo que se ve es Europa, en la barra roja está la región de América, son las dos regiones del mundo que tienen la mayor contribución, Europa todavía con 48 por ciento y América con 43 por ciento. En su momento, en la medida en que se empiece a retardar la transmisión y a frenar la epidemia en la región europea, será la región americana la que tenga la mayor contribución a la epidemia.",0.32823650481604266,121,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y este es el mapa de México en donde lo vamos a presentar en dos maneras, en este y en el siguiente mapa. En este lo que vemos es el número de casos por entidad federativa y hemos destacado que la región metropolitana del Valle de México, que es la Ciudad de México y la zona conurbada en el Estado de México, dado que son la región más poblada del país, en conjunto ocupan casi el 23 por ciento de la población del país, tenemos la mayor contribución con el número de casos.",0.32823650481604266,93,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Hasta el momento y desde el inicio de la epidemia en México, que fue el 28 de febrero cuando tuvimos el primer caso, se han detectado cinco mil 14 personas que han tenido COVID, 37 mil, un poco más de 37 mil han sido estudiadas en su momento como casos sospechosos y han sido descartadas de ellas 23 mil personas que no presentaron infección confirmada por COVID.",0.32823650481604266,67,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Y lo que vemos también es que el mapa ya se empieza a pintar de otros colores, además del verde y el verde oscuro ahora están en amarillo algunas entidades federativas, en su momento van a pasar a color rojo. Lo que quieren decir estos colores es la cantidad de casos que se han detectado en esas entidades a lo largo del tiempo.",0.32823650481604266,63,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,"Destaco aquí que, aunque algunos estados están pintados en su conjunto como el Estado de México o Nuevo León, no quiere decir que todo el estado existe la misma intensidad de propagación, claramente está mayormente concentrada en las zonas urbanas que son las zonas metropolitanas de estos estados.",0.32823650481604266,48,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,En la siguiente muy lamentablemente 332 personas han perdido ya la vida relacionado con la enfermedad y sus complicaciones.,0.32823650481604266,19,14,4,2020
HUGO LOPEZ-GATELL RAMIREZ,Este otro mapa lo que se ve es la intensidad medida por la proporción de personas con respecto a la población que han tenido la enfermedad. Esta medida se llama incidencia y es la medida donde podemos comparar entre estados que tienen poblaciones diferentes.,0.32823650481604266,44,14,4,2020
