Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JESUS RAMIREZ CUEVAS," Aquí sí, ahí está la municipal, ahí cambió.",0.32823650481604266,8,23,4,2020
JESUS RAMIREZ CUEVAS, Ya no está Macuspana.,0.32823650481604266,4,23,4,2020
JESUS RAMIREZ CUEVAS,"Acerca de una reforma fiscal, no estamos pensando en eso porque nuestro plan va a beneficiar al 70 por ciento de los hogares, 70 por ciento, y es de abajo hacia arriba. Nos va a quedar pendiente de intervención directa, no es que no se vaya a apoyar, estoy hablando del 70 de manera directa, y eso lo vamos a llegar a demostrar casa por casa, cuando menos un beneficio del gobierno va a recibir 70 por ciento. En este 70 por ciento ya hay una franja considerable de la clase media, yo podría decir que casi toda la clase media baja y cuando menos la mitad de la clase media, media.",0.32823650481604266,112,23,4,2020
JESUS RAMIREZ CUEVAS,Ahora ¿cómo se ayuda al 30 por ciento?,0.32823650481604266,8,23,4,2020
JESUS RAMIREZ CUEVAS,"Primero, si promovemos el apoyo de los de abajo, esto va a significar consumo, la gente va a tener dinero para comprar bienes, comprar mercancía. Y esto ayuda al 30 por ciento, porque muchos de los del 30 por ciento se dedican a las empresas, a los servicios y esto ayuda. Esa es una manera de apoyar.",0.32823650481604266,57,23,4,2020
JESUS RAMIREZ CUEVAS,"La segunda manera de apoyar es que si atendemos a los de abajo… No sólo es un asunto de justicia, de humanismo, es también garantizar la paz social y esto nos ayuda a todos y a ayuda al 30 por ciento de arriba, porque no hay crímenes, no hay robos, no hay secuestros. Lo más preciado es la libertad y vivir en paz, y esto se logra si hay justicia. La paz es fruto de la justicia.",0.32823650481604266,77,23,4,2020
JESUS RAMIREZ CUEVAS,"Esto los economistas, los tecnócratas no lo entienden, no lo han entendido; digo, no todos los economistas, no puedo generalizar.",0.32823650481604266,20,23,4,2020
JESUS RAMIREZ CUEVAS,"Y lo tercero que va a ayudar mucho al 30 por ciento -y esto también es algo que se tiene que tomar en consideración, es un activo del actual gobierno- es que se ha logrado mantener una buena relación con el gobierno de Estados Unidos. Y México tiene condiciones inmejorables para que llegue la inversión extranjera, se generen empleos, se impulse la industrialización, porque se tiene asegurado el mercado económico comercial más importante del mundo.",0.32823650481604266,75,23,4,2020
JESUS RAMIREZ CUEVAS,"Entonces, de manera directa el 70 por ciento y de manera, más vamos a decir, indirecta, no tanto, el 30 restante, porque pensamos, a diferencia de los gobiernos anteriores, que primero tiene que apretarse el cinturón el gobierno.",0.32823650481604266,38,23,4,2020
JESUS RAMIREZ CUEVAS,"O sea, ¡cómo vamos nosotros a hacer lo que se hacía anteriormente de aumentar los impuestos o aumentar el precio de la gasolina si estamos ganando sueldos los altos funcionarios públicos elevadísimos, si tenemos aviones de lujo, si no damos nosotros el ejemplo!",0.32823650481604266,43,23,4,2020
JESUS RAMIREZ CUEVAS,"Entonces, ahora es: no vamos a cambiar impuestos, no van a aumentar impuestos, pero lo único que vamos a pedir.. Porque también aumentaban los impuestos y se afectaba a los de abajo y a la clase media, porque los de arriba no pagaban.",0.32823650481604266,43,23,4,2020
JESUS RAMIREZ CUEVAS,"¿Qué?, ¿no hicieron una reforma fiscal? Afectaron al pueblo raso, a la clase media, ¿y los de arriba? Si ahora lo estamos constatando.",0.32823650481604266,23,23,4,2020
