Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buenos días, señor presidente. Reyes Razo, su servidor.",0.32823650481604266,8,6,4,2020
PREGUNTA," Gracias, señor presidente, muy buenos días.",0.32823650481604266,6,6,4,2020
PREGUNTA,"Dado el momento que hemos vivido aquí semanas recientes, cuando el señor general de división de la Defensa Nacional nos informaba de la carencia de médicos, el discípulo del doctor Ruy Pérez Tamayo, el secretario de Salud, en fin, su Gabinete de Salud, toda, reconocía que no tenemos el personal.",0.32823650481604266,50,6,4,2020
PREGUNTA,"Viene a cuento esto porque el doctor Ruy Pérez Tamayo, uno de los profesores y formadores del doctor Alcocer, ha pugnado siempre porque ningún recorte en tiempo de crisis, el primer recorte es a educación y a la ciencia.",0.32823650481604266,39,6,4,2020
PREGUNTA,"Y ha ocurrido siempre que no llegamos a los márgenes para formar buenos investigadores, quienes siempre dicen: ‘Somos muy buenos, hacemos investigación de frontera, pero nuestra masa crítica es pobrísima, no hay recursos’. Esto nos revela en este preciso instante que no se ha invertido adecuadamente en ciencia.",0.32823650481604266,48,6,4,2020
PREGUNTA,"Dentro de todo esto que hay que reestructurar y que le preocupa, señor presidente, ¿no está ahora sí dotar a la ciencia, al saber de una política que no tenga ninguna variable, ninguna variación, y que vaya en el sentido de formar esos cuadros?, que la ciencia y el saber siempre le van a dar más al país, según el propio Pérez Tamayo, Kumate, en fin, una serie de… Esta sería la primera pregunta, señor presidente.",0.32823650481604266,76,6,4,2020
PREGUNTA," Señor presidente, dada la fama que tiene la medicina cubana y sus brigadas que han dado la vuelta al mundo y que tiene la reputación de ser una gran medicina, y dada la fraternidad y dado el impulso que aquí tuvo el 26 de julio, de aquí partió el Granma, la Revolución cubana, ¿ha pensado…? y han ido las brigadas, actualmente en algunos países se encuentran con sus descubrimientos para combatir esta plaga, ¿no ha pensado usted en establecer algún lazo, alguna petición, alguna colaboración?, esa solidaridad que puede, hablando de fraternidad y confraternidad entre pueblos, hablar con Cuba.",0.32823650481604266,99,6,4,2020
PREGUNTA," Presidente, buenos días. Marco Antonio Olvera, del diario digital y del portal de YouTube Marco Olvera Oficial.",0.32823650481604266,17,6,4,2020
PREGUNTA,Le voy a dar una referencia sobre lo que publica hoy la prensa para hacerle mi planteamiento.,0.32823650481604266,17,6,4,2020
PREGUNTA," Sí, muy buenas, pero yo creo que necesitan más ‘chayo’.",0.32823650481604266,10,6,4,2020
PREGUNTA,"El Financiero, que escribe Pablo Hiriart, Hiriarte o Hiriart, como se pronunce, porque luego me critican que no sé pronunciar perfectamente el inglés, porque obviamente no soy sajón: ‘Una tragedia, no hay plan’.",0.32823650481604266,33,6,4,2020
PREGUNTA,Milenio: ‘Plan de AMLO contra COVID podría llevar al dólar un nuevo máximo histórico’.,0.32823650481604266,14,6,4,2020
PREGUNTA,"‘Informe de AMLO es decepcionante, más de lo mismo’: empresarios.",0.32823650481604266,10,6,4,2020
PREGUNTA,Y Excélsior: ‘Y el plan para superar la crisis’.,0.32823650481604266,9,6,4,2020
PREGUNTA,"Presidente sobre ese panorama de la prensa que estuvo acostumbrada a vivir del erario, aquí lo más importante es la gente que vivió durante 40 años en la pobreza y ellos no dijeron nada cuando saqueaban, cuando robaron, cuando llevaron a la quiebra a Pemex, petróleo y demás.",0.32823650481604266,48,6,4,2020
PREGUNTA,"¿Qué le dice a la gente que está en la provincia, pero sobre todo a los migrantes, presidente?, porque a mí me han dicho que si ellos… ¿o cómo podrían colaborar con su gobierno para ayudar a la gente que se vería más afectada? Si se puede crear un fideicomiso o algún proyecto que usted tenga.",0.32823650481604266,56,6,4,2020
PREGUNTA," Presidente, pero ellos dicen, o a mí me dicen a través de las redes y a través de mi canal, que ellos quieren aportar dinero específicamente para ayudar a la gente, a los comerciantes, a la gente que tiene una tintorería, una lonchería o una florería, ellos están dispuestos, además de enviar sus remesas a sus familiares, un dinero extra, digamos, para crear un fondo y así se distribuya a la gente de abajo.",0.32823650481604266,74,6,4,2020
PREGUNTA," Presidente, el Fondo Monetario Internacional, el Banco Interamericano de Desarrollo y el Banco Mundial no son obviamente los hermanitos de la caridad cuando hacen préstamos.",0.32823650481604266,25,6,4,2020
PREGUNTA,"Quisiera saber qué le diría al pueblo de México, a los empresarios y a todos nosotros cuáles han sido las presiones políticas y económicas de esas instituciones crediticias para el gobierno hoy que estamos en una contingencia de salud y obviamente yo considero que la contingencia va a ser un poco menos que la contingencia económica que va a arrastrar a México.",0.32823650481604266,62,6,4,2020
PREGUNTA, Arrinconan.,0.32823650481604266,1,6,4,2020
PREGUNTA," Y las presiones, presidente, no me dijo cuáles son las presiones.",0.32823650481604266,11,6,4,2020
PREGUNTA," Buenos días, presidente. Dalila Escobar, corresponsal de A tiempo.tv",0.32823650481604266,9,6,4,2020
PREGUNTA,"Preguntarle sobre las medidas que presentó ayer. ¿Considera usted que hubo el consenso necesario, las reuniones necesarias, no nada más con los empresarios, con todos los sectores a nivel nacional para llegar a estas medidas que usted anunció? Tal vez por lo cerca que estaba el informe trimestral tal vez no hubo tiempo.",0.32823650481604266,53,6,4,2020
