Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.9384397760356878,2,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a invitar a Zoé Robledo, director del Seguro Social, para que les dé a conocer qué piensa sobre esta responsabilidad, sobre este encargo, no necesariamente cargo, sino el sacar adelante al Seguro Social, que es una institución fundamental, muy importante, y rescatar, esa es la palabra, esta institución como otras, como se tiene que rescatar y se está haciendo al gobierno en su conjunto, porque son instituciones plagadas de corrupción y se están limpiando.",0.8182812523692616,75,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Los que quieren mantener el sistema de corrupción, el régimen de corrupción, no les gusta el que se actúe con honestidad, les molesta mucho la austeridad republicana y alegan, no solo en este caso, sino en otros, que se va a afectar el servicio; en este caso, que no va a haber medicamentos cuando no es así, al contrario: si se acaba con la corrupción, si hay austeridad va a haber un mejor servicio y no van a faltar los medicamentos, porque la corrupción es lo que más daña, nada ha dañado más a México que la corrupción. Es un cáncer hablando en términos médicos y tenemos que acabar con la corrupción.",0.005300986780086723,112,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, hay resistencias como es lógico, pero como lo hemos dicho en otras ocasiones y lo repito, no nos vamos a detener.",0.08289390252984266,22,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nada más para que se tenga una idea, el año pasado el Seguro compró alrededor de 40 mil millones de pesos en medicamentos, 40 mil millones de pesos, y faltan medicamentos. Es inexplicable.",0.1444480915649484,33,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El Issste, 15 mil millones de pesos en medicamentos. Nada más el Seguro y el Issste 55 mil millones de pesos en medicamentos. Hacían su agosto unas cuantas empresas proveedoras de medicamentos.",0.0004994755360732958,32,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todo esto se tiene que terminar y si se necesita vamos a hacer licitaciones internacionales; ya tenemos un convenio con la ONU para la transparencia, no vamos a detenernos para limpiar de corrupción al gobierno.",0.05811876518932408,35,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a pedirle a Zoé que nos dé a conocer qué está pensando, cómo va a conducir, a dirigir el Seguro, en términos muy generales, para que los ciudadanos sepan que tenemos certeza y que hay un servidor público eficiente, honesto, que se va a hacer cargo del Seguro Social.",0.5197057600127993,51,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todo esto porque le apuestan mucho nuestros adversarios a la incertidumbre, a crear desconfianza, al rumor. Entonces, lo mejor es la información.",0.19608329705155533,22,23,05,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, le pedimos a Zoé que tome la palabra.",0.48356951425712824,9,23,05,2019
ZOE ROBLEDO ABURTO," Muchas gracias, señor presidente.",0.42659809592117026,4,23,05,2019
ZOE ROBLEDO ABURTO,Muy buenos días a todas y a todos.,0.926123185901524,8,23,05,2019
ZOE ROBLEDO ABURTO,"Si me permiten, déjenme contarles rápido una historia. En el año de 1959, en el heroico municipio de Zitácuaro, allá en Michoacán, una joven mujer de 38 años, madre de siete hijos, quedó viuda de manera muy repentina; y como muchos mexicanos y mexicanas decidió emigrar acá, a la Ciudad de México, buscando oportunidades para ella y, desde luego, para su numerosa familia.",0.186590286012207,63,23,05,2019
ZOE ROBLEDO ABURTO,"Y justamente las encontró. Comenzó a trabajar en la Clínica Número Uno del Instituto Mexicano del Seguro Social, que está allá en la calle de Orizaba, en la colonia Roma, primero como auxiliar de enfermería y después como recepcionista.",0.010809644182907394,39,23,05,2019
ZOE ROBLEDO ABURTO,"Y durante más de 10 años trabajó ahí en el IMSS, en esa noble institución que le permitió volver a tener expectativas, volver a tener esperanza. Esa mujer era mi abuela materna, María Elena Sánchez viuda de Aburto, era la manera como firmó hasta el día que se murió.",0.02293130125808467,49,23,05,2019
ZOE ROBLEDO ABURTO,"Y a nosotros, a sus nietos, nos contaba que fue justamente gracias al IMSS que pudo rentar una casa en la Unidad Independencia, que fue gracias al IMSS que le pudo dar universidad, un título universitario a todos sus hijos, que fue gracias al IMSS como pudo ella rehacer su vida.",0.019776705170297015,51,23,05,2019
