Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Gracias, señor presidente. Nancy Rodríguez, de Oro Sólido.",0.541333260777616,8,03,05,2019
PREGUNTA,"Hace unos días usted nos comentó que nos iba dar a conocer a todos estos nombres de franquiciatarios o concesionarios de las gasolineras, incluso a estos que tienen hasta 500 concesiones.",0.541333260777616,31,03,05,2019
PREGUNTA,¿Cuándo va a ser esto?,0.541333260777616,5,03,05,2019
PREGUNTA,"Y también quería preguntarle qué tipo de modelo de negocios tienen, si es franquicia o concesión; porque se manejó mucho tiempo franquicias Pemex. Entonces, debe de tener un plan regulador en cuanto a su forma de operar y sanciones, si no se cumplen.",0.541333260777616,43,03,05,2019
PREGUNTA,"Y también, ¿quiénes pueden ser concesionarios?",0.541333260777616,6,03,05,2019
PREGUNTA,"Ahora con el cambio de gobierno podrían ser concesionarios, por ejemplo, un grupo de campesinos, un grupo de indígenas.",0.541333260777616,19,03,05,2019
PREGUNTA,"¿Cómo se va a manejar esto y quiénes son los que eran ahora, sí que sujetos de tener estas concesiones?, incluso, ¿por qué no?, un grupo de periodistas que quisieran tener alguna concesión.",0.541333260777616,33,03,05,2019
PREGUNTA,"Esa sería mi primera pregunta, señor presidente.",0.541333260777616,7,03,05,2019
PREGUNTA," Y mi segunda pregunta, señor presidente. La oposición sigue muy indignada con su llegada a cinco meses y en estos días se ha registrado un ataque masivo de varias cuentas a su favor en redes sociales.",0.541333260777616,36,03,05,2019
PREGUNTA,"¿Qué medidas puede tomar el gobierno? Porque los están incluso amenazando y los señalan con prácticas engañosas y estafas, y son seguidores de usted.",0.541333260777616,24,03,05,2019
PREGUNTA,"No sé si esté usted enterado, ¿y qué se puede hacer con estas empresas de redes sociales, Twitter, Facebook, YouTube.",0.541333260777616,20,03,05,2019
PREGUNTA,Gracias.,0.541333260777616,1,03,05,2019
PREGUNTA,"A: En cuanto al desarrollo tecnológico, señor presidente, de acuerdo a esta experiencia.",0.541333260777616,13,03,05,2019
PREGUNTA,¿Usted vislumbraría tal vez un desarrollo o un impulso a nuevas tecnologías dentro de las redes sociales?,0.541333260777616,17,03,05,2019
PREGUNTA,"Por ejemplo, en Rusia se tienen sus propias redes sociales, en China hay ejemplos, por ejemplo, Twitter, Facebook están censurados en China.",0.541333260777616,22,03,05,2019
PREGUNTA,"Entonces, ver esa posibilidad de impulsar este tipo de tecnologías en México.",0.541333260777616,12,03,05,2019
PREGUNTA," Gracias. Buenos días, presidente. Daniela Barragán, de Sin Embargo.",0.541333260777616,9,03,05,2019
PREGUNTA,"El día lunes usted compartió la información de la consulta pública que avala la construcción del nuevo aeropuerto; sin embargo, hay otros dos municipios que también colindan directamente con la base aérea, que han expresado su oposición al proyecto; y no por un tema de tierras, sino de agua.",0.541333260777616,49,03,05,2019
PREGUNTA,Estos dos municipios actualmente tienen solamente la mitad del día agua y como pueblos originarios también piden que se respete sus sistemas comunitarios.,0.541333260777616,23,03,05,2019
PREGUNTA,"Entonces, la pregunta es, ¿por qué no se les consultó, la Sedatu en este caso?, ya que también la Secretaría de la Función Pública les había prometido mesas de trabajo y audiencias para platicar sobre los temas y los pueblos están pidiendo que se les dé la misma atención que se le dio a los pueblos aledaños a Texcoco con la construcción del aeropuerto de Peña.",0.541333260777616,66,03,05,2019
PREGUNTA,"Entonces, la pregunta es: ¿por qué no se les consultó a ellos hasta el momento?",0.541333260777616,15,03,05,2019
PREGUNTA," Ellos han comentado que no es un asunto de tierras -sí colindan directamente-, sino que es un asunto de agua.",0.541333260777616,20,03,05,2019
PREGUNTA, Y una segunda pregunta ya sobre otro tema.,0.541333260777616,8,03,05,2019
PREGUNTA,El día de ayer hubo una nueva disminución en la perspectiva de crecimiento para este año.,0.541333260777616,16,03,05,2019
PREGUNTA," Sí, o sea, la otra vez señaló no habla exactamente de que sea su culpa, sino todo un contexto.",0.541333260777616,19,03,05,2019
PREGUNTA," Buenos días, señor presidente. Demian Duarte, de Pasión por los Negocios, Política y Rockandroll, Proyecto Puente de Sonora.",0.541333260777616,18,03,05,2019
PREGUNTA,"Primero que nada, presidente quiero agradecerle a título personal y de muchos sonorenses haber intervenido en tres temas muy sensibles para nosotros.",0.541333260777616,22,03,05,2019
PREGUNTA,"Primero. La tarifa 1F famosa que ya está en marcha.  El tema de la Guardería ABC, también que, bueno ayer estuvo Alejandro Encinas con los padres de familia.",0.541333260777616,28,03,05,2019
PREGUNTA,"Y también el tema que tiene que ver con la no venta de los estadios de béisbol ‘Héctor Espino’ y ‘Tomás Soros’. Se sabe que usted dirigió una carta la gobernadora y que ya se anunció que no se van a vender, así que muchas gracias por los tres temas.",0.541333260777616,50,03,05,2019
PREGUNTA,Las preguntas que le quiero plantear.,0.541333260777616,6,03,05,2019
PREGUNTA,"La primera en particular, señor presidente. El asunto del fondo minero sigue generando polémica en Sonora. La anterior ocasión que estuve por aquí le planteaba de la importancia que tiene este tema para el estado por el monto de recursos que se reciben, más de mil 200 millones está previsto de la recaudación del 2018.",0.541333260777616,55,03,05,2019
PREGUNTA,"La gobernadora esta semana, incluso en la reunión de la Conago, planteó precisamente la necesidad de que se respete el origen para el que fue planteado el fondo minero, que es para construcción de infraestructura en el estado y en los municipios en particular.",0.541333260777616,44,03,05,2019
PREGUNTA,"La gobernadora dice que sabe que hay una controversia constitucional; sin embargo, insiste persistentemente en el tema de que se dirija el recurso a este fondo de infraestructura y que no se dirija precisamente a lo que usted ha planteado, que son las Tandas de Bienestar, Créditos a la Palabra y algunos programas sociales.",0.541333260777616,54,03,05,2019
PREGUNTA,"¿Qué opina al respecto?, ¿y qué se puede hacer precisamente para mediar en estas posiciones?",0.541333260777616,15,03,05,2019
PREGUNTA," Afortunadamente ya se dio paso a la tarifa 1-F, que no se van a vender los estadios.",0.541333260777616,17,03,05,2019
PREGUNTA,"Y que, pues ya se está atendiendo el tema de la guardería ABC, falta un mes para el décimo aniversario.",0.541333260777616,20,03,05,2019
PREGUNTA," Señor presidente, si me permite una segunda pregunta.",0.541333260777616,8,03,05,2019
PREGUNTA,"Es sobre un tema muy particular del Alto Golfo de California. Usted sabe que incluso hay condiciones de reserva ambiental en esa zona. Sin embargo, los pescadores de la zona tienen una serie de problemas y limitaciones, precisamente por el tema de la reserva.",0.541333260777616,44,03,05,2019
PREGUNTA,"Hay una pesquería en particular que es la de medusa bola de cañón o aguamala, como la conocemos nosotros, que se exporta a China, particularmente y al sureste asiático. Hay una serie de restricciones aplicadas por la Cofepris, que no les ha dado o no les ha permitido exportar este producto -que nosotros no consumimos y que además lo consideramos normalmente un problema en nuestras playas-, precisamente para que se comercialice. Es una pesquería que vale cerca de 300 millones de pesos.",0.541333260777616,82,03,05,2019
PREGUNTA,Los pescadores han estado incluso ya con el comisionado de Cofepris y no han obtenido una respuesta. Saber si es posible que Presidencia intervenga en esto.,0.541333260777616,26,03,05,2019
PREGUNTA,Usted planteó en la campaña que los recursos del mar son para utilizarlos y para impulsar el desarrollo del país de manera responsable. Simplemente saber si existe alguna posición al respecto.,0.541333260777616,31,03,05,2019
PREGUNTA,Muchas gracias.,0.541333260777616,2,03,05,2019
PREGUNTA," Buenos días, señor presidente. Medios locales, de Baja California Sur.",0.541333260777616,10,03,05,2019
PREGUNTA,Estuve en reuniones anteriores y usted precisamente hablaba de ley de austeridad.,0.541333260777616,12,03,05,2019
PREGUNTA,"¿La ley de austeridad solamente aplica para el gobierno federal o también para los gobiernos morenistas o incluso para otros estados o incluso para otros estados, aunque no sean de Morena?",0.541333260777616,31,03,05,2019
PREGUNTA,"Y lo digo porque usted decía que no se comprarán más unidades, simplemente patrullas, ambulancias y demás; caso contrario a lo que está pasando en Los Cabos con la presidenta municipal Armida Castro, que se adquirieron 200 unidades en renta, se adquirieron automóviles blindados.",0.541333260777616,44,03,05,2019
PREGUNTA,Hay represalias cuando hay una manifestación y usted dijo que las represalias en su gobierno jamás van a estar.,0.541333260777616,19,03,05,2019
PREGUNTA,"Para hablar de temas que van en contra de los ideales morenistas, esto está pasando allá.",0.541333260777616,16,03,05,2019
PREGUNTA,¿Hay algún plan que tenga usted que hacer respecto a esto?,0.541333260777616,11,03,05,2019
PREGUNTA, ¿Qué empresa es?,0.541333260777616,3,03,05,2019
PREGUNTA," ¿Cuánto podría llevarles, presidente, en encontrar una empresa que tuviera…?",0.541333260777616,10,03,05,2019
PREGUNTA, ¿Por cuánto tiempo se firmó el contrato?,0.541333260777616,7,03,05,2019
PREGUNTA, …los medicamentos suficientes para este tipo de…,0.541333260777616,7,03,05,2019
PREGUNTA, En Guanajuato no tienen ya los medicamentos necesarios para surtir a los enfermos.,0.541333260777616,13,03,05,2019
