Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GRACIELA MARQUEZ COLIN," Presidente, colegas.",0.541333260777616,2,30,05,2019
GRACIELA MARQUEZ COLIN,Muy buenos días a todos y todas.,0.541333260777616,7,30,05,2019
GRACIELA MARQUEZ COLIN,"Tengo el gusto de participarles, como ya se ha anticipado acá, que el día de hoy estaremos entregando en el Senado el texto, el protocolo y el reporte del Tratado México, Estados Unidos y Canadá.",0.541333260777616,35,30,05,2019
GRACIELA MARQUEZ COLIN,"Así se da el último paso a un proceso de modernización del tratado comercial que Estados Unidos, México y Canadá firmaron en 1994. Este proceso de modernización de ese tratado inició en 2017.",0.541333260777616,33,30,05,2019
GRACIELA MARQUEZ COLIN,"A partir de agosto del año pasado nuestro gobierno decidió acompañar el último tramo de la negociación del tratado. El 30 de noviembre se firmó el protocolo dando por concluidas las negociaciones. De entonces a la fecha hemos actualizado algunos procesos, algunos temas importantes del cual se hablará posteriormente, pero hoy lo importante a señalar es este paso, este último paso que damos para la ratificación que hará la Cámara de Senadores.",0.541333260777616,72,30,05,2019
GRACIELA MARQUEZ COLIN,¿Por qué es importante este tratado y por qué la ratificación nos abre una nueva perspectiva en la relación con nuestros dos socios de América Latina?,0.541333260777616,26,30,05,2019
GRACIELA MARQUEZ COLIN,"En primer lugar, porque el nuevo tratado abrirá espacios para la inversión y el comercio, beneficiando a la actividad productiva del país.",0.541333260777616,22,30,05,2019
GRACIELA MARQUEZ COLIN,"Los flujos comerciales en América del Norte, los flujos comerciales que se desarrollan entre México, Estados Unidos y Canadá, equivalen a 1.2 billones de dólares. Esta es una de las áreas de intercambio comercial más importantes de nuestro planeta y por eso es tan importante que nosotros demos el paso de mantener un tratado comercial en América del Norte para garantizar que en México se creen más y mejores empleos, que se beneficie la actividad productiva, que los inversionistas tengan certidumbre y certeza en el momento de invertir en nuestro país, que las inversiones lleguen a nuestro país para producir bienes para el mercado y bienes para el mercado de América del Norte, en donde encontraran ventajas al no haber barreras arancelarías.",0.541333260777616,122,30,05,2019
GRACIELA MARQUEZ COLIN,"Así, pues, tenemos que ratificar el Acuerdo de Estados Unidos, Canadá y México.  Tiene una importancia muy grande en este momento.",0.541333260777616,21,30,05,2019
GRACIELA MARQUEZ COLIN,"Nosotros presentaremos hoy el texto al Senado de la República. Habrá las deliberaciones correspondientes, pero seguramente los senadores tomaran en cuenta todos estos datos en términos del impacto productivo, del impacto en inversiones, del impacto comercial del tratado de México, Estados Unidos y Canadá.",0.541333260777616,44,30,05,2019
GRACIELA MARQUEZ COLIN,"La modernización de este tratado, necesaria porque cambió el mundo en más de un cuarto de siglo de vigencia del acuerdo anterior, también contribuye, y en eso México también debe de estar muy orgulloso de contribuir a construir una región en América del Norte de alta competitividad.",0.541333260777616,47,30,05,2019
GRACIELA MARQUEZ COLIN,Nosotros en México tenemos una plataforma exportadora muy importante y nos beneficiamos también de los flujos de inversión.,0.541333260777616,18,30,05,2019
GRACIELA MARQUEZ COLIN,Junto con nuestros socios seguramente construiremos bienestar para México y bienestar en las economías de nuestros socios comerciales.,0.541333260777616,18,30,05,2019
GRACIELA MARQUEZ COLIN,Muchas gracias.,0.541333260777616,2,30,05,2019
GRACIELA MARQUEZ COLIN,"Es cuanto, señor presidente.",0.541333260777616,4,30,05,2019
GRACIELA MARQUEZ COLIN, Gracias.,0.541333260777616,1,30,05,2019
GRACIELA MARQUEZ COLIN,"La Secretaría de Economía recauda las cifras, registra toda la inversión extranjera que llega al país.",0.541333260777616,16,30,05,2019
GRACIELA MARQUEZ COLIN,"El último registro que tenemos es un crecimiento del siete por ciento, lo anunció aquí en este mismo lugar el señor presidente y tenemos, fue un crecimiento que se registró prácticamente en todos los sectores de la economía.",0.541333260777616,38,30,05,2019
GRACIELA MARQUEZ COLIN,"Creemos, y aquí retomando un poco el tema del día de hoy, con la ratificación del Tratado de Libre Comercio hay muchas inversiones que están a la expectativa de esta ratificación. Entonces, creemos que este flujo aumentará en las próximas semanas y meses.",0.541333260777616,43,30,05,2019
GRACIELA MARQUEZ COLIN,"En cuanto a qué podemos hacer en términos de la actividad industrial, el gobierno de México está, ustedes saben, haciendo una inversión muy fuerte en obras de infraestructura, está reactivando sectores de la economía que no habían estado, que no habían recibido atención.",0.541333260777616,43,30,05,2019
GRACIELA MARQUEZ COLIN,"Esto de suyo genera unos efectos positivos en las cadenas de proveeduría, en las cadenas de abasto, tal es el caso, por ejemplo, de la producción de tubos y de la producción de maquinaría para la industria petrolera.",0.541333260777616,38,30,05,2019
GRACIELA MARQUEZ COLIN,"La exploración y la producción, la reactivación de la producción petrolera en pozos que habían estado abandonados o habían salido de la producción, ha generado una demanda muy importante de insumos que ha reactivado al sector manufacturero, algunas ramas del sector manufacturero ya están sintiendo este efecto.",0.541333260777616,47,30,05,2019
GRACIELA MARQUEZ COLIN,"Lo mismo podemos decir en cadenas de proveeduría en otras ramas industriales, particularmente en El Bajío y los efectos positivos que ha tenido la zona libre de la frontera norte, donde inversión nacional y extranjera se ha beneficiado de los estímulos fiscales y ha aumentado la producción en algunas ramas, entre otras, electrónica.",0.541333260777616,53,30,05,2019
GRACIELA MARQUEZ COLIN," Las estimaciones tienen que ver los efectos de no solamente el Tratado de Libre Comercio, sino del desempeño de la economía internacional.",0.541333260777616,22,30,05,2019
GRACIELA MARQUEZ COLIN,"Nosotros creemos que va a continuar creciendo la llegada de capitales extranjeros. Insisto, no solamente por la ratificación, sino también por las licitaciones que realizara el gobierno mexicano, el Tren Maya, en el Transístmico y en otras obras de infraestructura, comprometerse a un dato de inversión extranjera es mucho más complicado que un dato de crecimiento de la economía, toda vez que depende de factores que nosotros controlamos y de muchos otros que no están bajo nuestro control.",0.541333260777616,78,30,05,2019
GRACIELA MARQUEZ COLIN,Gracias.,0.541333260777616,1,30,05,2019
