Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Gracias señor presidente. Muy buenos día a todas, a todos.",0.541333260777616,10,06,05,2019
RICARDO SHEFFIELD PADILLA,"Si podemos poner la primera gráfica, que tiene que ver con el operativo de verificación que realizamos en esta semana pasada.",0.541333260777616,21,06,05,2019
RICARDO SHEFFIELD PADILLA,"De acuerdo a las instrucciones del presidente, verificamos 125 gasolineras en el país. Ustedes pueden constatar la metodología en la página de Profeco, pero lo que se realizó es asignar a las 12 mil 500 estaciones de servicio un número y se hizo un sorteo electrónico parecido al que hace Melate y en ese sorteo electrónico salieron 125 gasolineras de todo México.",0.541333260777616,62,06,05,2019
RICARDO SHEFFIELD PADILLA,"Hubo inmovilizaciones en 50, inmovilizaciones de bombas, en 50 de las 125 gasolineras, pero de esas 50, cuarenta y uno fue porque no daban litros de litro, nueve fueron por otros motivos, principalmente por falta de carga en las pilas de las bombas, pero 41 fue de litros de litros.",0.541333260777616,50,06,05,2019
RICARDO SHEFFIELD PADILLA,"Hubo 12 estaciones de servicio en el país que se negaron a ser verificadas, estas 12, de entrada, ya se hicieron acreedoras a una multa de 800 mil pesos, pero vamos a repetir el operativo en estas 12 estaciones de servicio, que ahorita les muestro cuáles fueron.",0.541333260777616,47,06,05,2019
RICARDO SHEFFIELD PADILLA,"Y en su momento, no les vamos a avisar obviamente en qué momento, este operativo ya irá acompañado de fuerza pública, porque no es si quieren dejarse verificar. Están obligados a permitir la verificación de acuerdo a la Norma Oficial Mexicana.",0.541333260777616,41,06,05,2019
RICARDO SHEFFIELD PADILLA,"Sesenta y tres gasolineras salieron bien de este ejercicio, o sea, dan litros de a litro y tienen en orden sus bombas.",0.541333260777616,22,06,05,2019
RICARDO SHEFFIELD PADILLA,"Los instrumentos verificados, que son las bombas que verificamos de gasolina, fueron mil 943 y fueron 125 bombas que salieron con problemas; de esas 125 bombas que salieron con problemas, 68, el problema es que no dan litros completos.",0.541333260777616,39,06,05,2019
RICARDO SHEFFIELD PADILLA,"También vamos a ver que entre las que tuvieron problemas hay algunas que dan un poquito de más, no se les multa, pero hay que calibrar la bomba. Y hay otras tantas, como ya cité, que tuvieron problemas con las pilas del aparato.",0.541333260777616,43,06,05,2019
RICARDO SHEFFIELD PADILLA,"Aquí tenemos nosotros las acciones de verificación de combustibles, estas son las 12 gasolineras que no permitieron que les verificaran. Es la Gasolinera Millenium 3000, en Cuautla, Morelos; la gasolinera Las Palmas de Cuernavaca, en Cuernavaca, Morelos; la de Corporación La Completa, en Mérida, Yucatán; Servicio San Bernabé, en Monterrey, Nuevo León; Estación 2131, en Guadalupe, Nuevo León; Miguel Ángel Cuatepitzi Juárez, en Santa Cruz, en Tlaxcala; Estación de Servicio Universitario, en Puebla, Puebla.",0.541333260777616,74,06,05,2019
