Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROCIO NAHLE GARCIA, Buenos días.,0.541333260777616,2,09,05,2019
ROCIO NAHLE GARCIA,"Con su permiso, señor presidente.",0.541333260777616,5,09,05,2019
ROCIO NAHLE GARCIA,"Nada más comentarles que después del inicio de este gobierno, a 107 días de este gobierno se hizo la licitación de una refinería. Este es un tiempo récord nunca visto en el país, y a 158 días de gobierno se emitió el fallo después de una convocatoria de licitación con invitación restringida a cuatro empresas.",0.541333260777616,55,09,05,2019
ROCIO NAHLE GARCIA,"De las cuatro empresas, la empresa Technip manifestó su declinación a participar y las otras tres empresas presentaron una propuesta técnica y una propuesta económica.",0.541333260777616,25,09,05,2019
ROCIO NAHLE GARCIA,Ayer a las 11:30 de la noche se les entregó el fallo y se declaró desierta por incumplimiento a las propias bases que se emitieron para dicha convocatoria.,0.541333260777616,28,09,05,2019
ROCIO NAHLE GARCIA,"Por ello, Petróleos Mexicanos en conjunto con la Secretaría de Energía han decidido modificar la estrategia de ejecución del proyecto de la nueva refinería de Dos Bocas, Tabasco. Esta consiste en informar que la administración y el desarrollo del proyecto se realizará a través de Petróleos Mexicanos bajo la dirección de la Secretaría de Energía.",0.541333260777616,55,09,05,2019
ROCIO NAHLE GARCIA,"Asimismo, esta estrategia de ejecución tendrá como objetivo beneficiar y maximizar la participación mexicana en el desarrollo de ingeniería, en la fabricación de equipos y en la utilización de la mano de obra especializada, lo que nos llevará garantizar el mayor contenido nacional.",0.541333260777616,43,09,05,2019
ROCIO NAHLE GARCIA,"Basándonos en el esquema de proceso propuesto originalmente y con el propósito de maximizar la producción de gasolina y diésel, el objetivo principal es alcanzar la autosuficiencia y soberanía energética de hidrocarburos en el país.",0.541333260777616,35,09,05,2019
ROCIO NAHLE GARCIA,La planeación del proyecto.,0.541333260777616,4,09,05,2019
ROCIO NAHLE GARCIA,"Como primer paso en la etapa de planeación se ha conformado el equipo que desarrollará el proyecto. Por instrucciones del ciudadano presidente de la República se ha convocado ya al personal de proyectos de Petróleos Mexicanos, del Instituto Mexicano del Petróleo, de la Procura Internacional de Pemex, de la Secretaría de Energía y de la Organización de Naciones Unidas.",0.541333260777616,59,09,05,2019
ROCIO NAHLE GARCIA,Los principales alcances del proyecto se rigen por las siguientes premisas:,0.541333260777616,11,09,05,2019
ROCIO NAHLE GARCIA,"Primero: El plazo de ejecución del proyecto será de tres años, la inversión máxima de ocho mil millones de dólares, y la calidad y eficiencia energética, cumpliendo con los estándares internacionales, serán la base de la construcción de esta importante infraestructura.",0.541333260777616,41,09,05,2019
ROCIO NAHLE GARCIA,"La estrategia de ejecución se diseñó y se ajustó de tal manera que permita optimizar el plazo para cubrir la meta de tres años de construcción y reducir el costo del proyecto, capitalizando hasta un 40 por ciento de ahorro sobre los estimados; y esto de los estimados, son estimados de costos que presentaron las diferentes empresas a las que se les invitó, esto como respuesta a lo que había dicho aquí algún periodista.",0.541333260777616,74,09,05,2019
ROCIO NAHLE GARCIA,"La ejecución del proyecto para la consecución de los objetivos del proyecto durante la ejecución de Petróleos Mexicanos tendrá el soporte de diversas instituciones del país, universidades, institutos y diferentes grupos colegiados.",0.541333260777616,32,09,05,2019
ROCIO NAHLE GARCIA,"Hasta la fecha la Comisión Federal de Electricidad, el Instituto Mexicanos de Ingeniería, la UNAM, Conagua, nos han estado apoyando, a eso es cuando nos referimos a los grupos colegiados.",0.541333260777616,30,09,05,2019
ROCIO NAHLE GARCIA,"La administración, coordinación y gerencia del proyecto será realizada por personal del área de proyectos de Petróleos Mexicanos, del Instituto Mexicanos del Petróleo y de la Secretaría de Energía.",0.541333260777616,29,09,05,2019
ROCIO NAHLE GARCIA,"Es importante mencionar que se mantendrá la ubicación del proyecto en el puerto de Dos Bocas, Tabasco, en los terrenos aledaños a la terminal marítima existente, propiedad de Petróleos Mexicanos.",0.541333260777616,30,09,05,2019
ROCIO NAHLE GARCIA,Con el objetivo de asegurar que durante la ejecución se utilicen las mejores prácticas de transparencia y anticorrupción se contará con la participación activa de la ONU.,0.541333260777616,27,09,05,2019
ROCIO NAHLE GARCIA,"La dirección del proyecto tendrá su sede en Villahermosa, Tabasco, buscando atender de manera puntual y directa todos los temas relacionados con el proyecto.",0.541333260777616,24,09,05,2019
ROCIO NAHLE GARCIA,Esto también era parte de lo que se pedía en las bases de licitación.,0.541333260777616,14,09,05,2019
