Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.541333260777616,2,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se hizo tarde, es que se alargó la reunión de seguridad. Muchos temas, pero ya estamos aquí.",0.541333260777616,17,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Quiero aprovechar para hacer la invitación con motivo de la subasta que se va a llevar a cabo el domingo sobre residencias y ranchos que se van a vender para utilizar fondos en beneficio de las comunidades pobres de México.,0.541333260777616,40,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Todo lo que se recaude en la subasta del domingo se va a destinar a comunidades, municipios de La Montaña de Guerrero. Esto para que los que participen sepan que además de adquirir un bien, van a estar haciendo el bien, es decir, van a estar ayudando a quienes necesitan apoyo por la situación de pobreza y de marginación que padecen. Recordar que es la subasta el domingo, pasado mañana en Los Pinos para propiedades confiscadas, son casas, residencias y ranchos. Esa es la invitación.",0.541333260777616,85,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Y comentarles que estuvimos ayer en Tapachula con el presidente de El Salvador. Sobre este acontecimiento importante va a informar Marcelo Ebrard.,0.541333260777616,22,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también les van a informar, Marcelo va a informar a todos los mexicanos sobre cómo va el plan para cumplir los acuerdos que se suscribieron con el gobierno de Estados Unidos, cómo se va avanzando en la comisión especial que se creó para atender el flujo migratorio, ordenarlo, proteger derechos humanos, impulsar actividades productivas para crear empleos en comunidades de origen de los migrantes, la atención a albergues; en fin, todo lo que tiene que ver con este asunto.",0.541333260777616,80,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,De modo que le damos la palabra a Marcelo Ebrard y posteriormente si hay preguntas las respondemos.,0.541333260777616,17,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Vamos a seguramente tener este encuentro más adelante.,0.541333260777616,8,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Queremos evaluar el resultado del acuerdo, eso podríamos hacerlo de manera conjunta.",0.541333260777616,12,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay un tiempo, son tres meses, ya llevamos 15 días, nos faltan dos meses y medio, y desde luego que sí podría darse este encuentro.",0.541333260777616,25,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo que siempre hemos sostenido es de que vamos a tener buenas relaciones con todos los gobiernos y con todos los pueblos del mundo, y en especial queremos tener buenas relaciones con el gobierno de Estados Unidos, con el presidente Donald Trump, estrechar nuestros lazos de amistad con el pueblo estadounidense.",0.541333260777616,51,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Agradezco las expresiones del presidente Trump, del primer ministro Trudeau, en el sentido de que respalda la política que se está implementando en nuestro país.",0.541333260777616,25,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"He tomado ya la decisión de no asistir a Japón a la cumbre de los 20 países de más desarrollo, pero vamos estar representados, vamos a estar muy bien representados. Va a estar en Japón Marcelo Ebrard, secretario de Relaciones Exteriores; y Carlos Urzúa, secretario de Hacienda.",0.541333260777616,47,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo voy a quedarme en México porque estamos consolidando todo el proyecto de desarrollo, de bienestar; tenemos también el compromiso de informar el día 1º de julio, vamos a informar a los mexicanos en el Zócalo y por eso en esta ocasión no voy a asistir a ese encuentro.",0.541333260777616,49,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero sí vamos a procurar estas reuniones bilaterales, estos encuentros, en el caso especial con el presidente Donald Trump y con otros mandatarios, con otros presidentes, jefes de Estado del mundo.",0.541333260777616,31,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo he sostenido siempre, con todo respeto a los internacionalistas, con todo respeto a los diplomáticos, los admiro mucho, porque con la política diplomática se pueden resolver conflictos; sin embargo, he sostenido que la mejor política exterior es la interior, que si estamos bien en nuestro país vamos a tener siempre el respeto en el concierto de las naciones; es decir, si en México hay bienestar, hay paz, hay felicidad, vamos a tener el reconocimiento de otros pueblos y de otros gobiernos.",0.541333260777616,82,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso en esta etapa inicial es probable que no salga al extranjero, sólo a este tipo de encuentros que se puedan presentar a pesar de las dificultades, de lo complejo de las relaciones con el gobierno de Estados Unidos, ha habido de parte del presidente Trump voluntad para alcanzar acuerdos, eso lo tengo que reconocer. No fue un asunto menor lo que se pretendía el cobrar impuestos, el cobrar aranceles, a mercancías, a productos de México que se venden en Estados Unidos.",0.541333260777616,83,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Era cinco por ciento y luego irlo incrementando ese impuesto hasta llegar al 25 por ciento. De aplicarse esa medida iba a ocasionar un daño. Hay quienes opinan que teníamos como opción hacer lo mismo. Incluso, nosotros teníamos pensado también responder de esa manera, pero se dejó para después, como una segunda opción, como un plan B.",0.541333260777616,57,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Siempre buscamos el diálogo para llegar al acuerdo y creo que fue lo mejor. Desde luego siempre es lo deseable y lo posible; como en cualquier negociación, creo que fue buena la negociación, el acuerdo.",0.541333260777616,35,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y así lo ve la gente. Ahora que estuve en El Bajío muchos me expresaron que había sido buena la negociación. No olvidemos que estamos vendiendo más a Estados Unidos que lo que les compramos, y en los últimos tiempos se ha desarrollado la industria destinada al comercio exterior. Estamos hablando, por ejemplo, de la industria automotriz, de las industrias de autopartes que generan muchos empleos en México. Todo eso se iba a perjudicar.",0.541333260777616,74,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La Nissan en Aguascalientes, sus dos plantas, de toda la producción, el 80 por ciento de los automóviles los venden en Estados Unidos. Y esto no sólo tiene que ver con la industria automotriz, tiene que ver también con productos del campo que se venden en Estados Unidos. Estamos hablando de un superávit a favor de México de alrededor de 70 mil millones de dólares.",0.541333260777616,65,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso fue bueno el acuerdo y no queremos nosotros la confrontación. Por nosotros no va a quedar, nosotros siempre vamos a tener la mano abierta, tendida. No tengo ningún problema de conciencia sobre este asunto, sé cuáles son los límites, las fronteras para mantener a México como un país libre y soberano, lo tengo muy claro.",0.541333260777616,57,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero no se puede sólo gobernar con el discurso, con la carga que todos traemos de nuestras ideologías, tenemos que gobernar el país entendiendo las realidades, la geopolítica, entendiendo que hay que actuar con juicio práctico.",0.541333260777616,36,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"La política es el equilibrio entre otras cosas, entre principios y eficacia. No se puede hacer política sólo con principios, como tampoco se puede hacer política sólo buscando la eficacia y sin principios.  Es el equilibrio y hay fronteras, uno sabe hasta dónde se puede llegar. Entonces, fue muy bueno el acuerdo.",0.541333260777616,52,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de ayer se inauguró un método nuevo, distinto, para enfrentar el fenómeno migratorio. Es una luz, lo dijo Marcelo muy bien, que se enciende desde México, desde Centroamérica, para alumbrar en todo el mundo.",0.541333260777616,36,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Siempre el tema migratorio era tratado con medidas coercitivas, clausurando, cerrando, sellando fronteras y con el uso de la fuerza. Ahora es: vamos a atender las causas, vamos al origen del problema.",0.541333260777616,32,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,¿Por qué la migración? ¿Acaso la gente sale de sus pueblos por gusto?,0.541333260777616,13,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No, sale por necesidad, sale también, muchas veces, por la inseguridad, por la violencia.",0.541333260777616,14,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros hemos sido muy respetuosos de lo que sucede en otros países, pero a veces se olvida que el fenómeno migratorio está relacionado con pobreza, está relacionado con inseguridad, con violencia, está relacionado con la falta de democracia, con autoritarismo.",0.541333260777616,40,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, si no se atienden esas causas pues no se resuelve bien el problema o el fenómeno migratorio. Ese es el enfoque, es la vía mexicana la que se está poniendo en práctica.",0.541333260777616,33,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, pues fue bien contestado todo.",0.541333260777616,6,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nada más para concluir, porque vamos a Puebla, están invitadas, invitados, vamos a estar en San Martín Texmelucan, a las 11 de la mañana, 11 o 12 de la mañana y en Atlixco, también en Puebla.",0.541333260777616,36,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Mañana vamos a Yucatán, vamos a estar en Mérida y en Valladolid, mañana.",0.541333260777616,13,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y pasado mañana vamos a Tulum, vamos a Playa del Carmen.",0.541333260777616,11,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y el lunes la reunión de seguridad y la conferencia de prensa va a ser en Cancún, el lunes, porque tenemos temas que tratar allá, en Quintana Roo. Ese es el programa.",0.541333260777616,32,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sólo comentar que, en el caso de la pregunta sobre la economía, ya ven que soy perseverante, un poco, sigo sosteniendo que vamos muy bien en materia económica.",0.541333260777616,28,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No están en eso mis preocupaciones, están en otros temas y en uno en particular, pero no es el tema económico, la materia económica lo que me preocupa y me ocupa, no es la economía tanto. No, la economía va bien y el día 1º de julio voy a dar datos.",0.541333260777616,51,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Adelanto dos que tienen que ver con la política macroeconómica:,0.541333260777616,10,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Uno, el que hay control inflacionario, eso no es poca cosa. Tenemos menos inflación y esto lo hemos logrado, porque ha habido también control en los aumentos de precio de los combustibles. A ver qué dicen los expertos.",0.541333260777616,38,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, inflación controlada. La inflación es nociva, no exagero, pero el predominio y las arbitrariedades terribles de Hitler se produjeron a partir de que en el gobierno anterior había una inflación descontrolada. Entonces, en eso vamos bien.",0.541333260777616,37,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo segundo, nuestra moneda se ha apreciado, ese es otro dato importante.",0.541333260777616,12,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo tercero, es lo que produce polémica, lo del crecimiento, que nos bajan las proyecciones sobre crecimiento.",0.541333260777616,17,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo creo que vamos a crecer aún con la disminución en las proyecciones, aceptando sin conceder, como dicen los abogados, que eso sea así al final del año.",0.541333260777616,28,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos hablando de crecimiento, poco, pero crecimiento, no es decrecimiento.",0.541333260777616,10,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En eso estamos, son tres elementos.",0.541333260777616,6,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sobre las tasas de interés. Eso lo decide el Banco de México y hemos nosotros hecho el compromiso de respetar la autonomía del Banco de México. No vamos a meternos en ese tema, en ese asunto.",0.541333260777616,36,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hay quienes atribuyen que las altas tasas de interés inhiben el crecimiento, pero ese es otro asunto, otro debate y corresponde a las funciones del Banco de México y queremos ser respetuosos con esas disposiciones.",0.541333260777616,35,21,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"En general, vamos muy bien.",0.541333260777616,5,21,06,2019
