Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DANEYRA KIKEY BECERRIL VILLAVICENCIO, Buenos días.,0.541333260777616,2,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,Mi nombre es Daneyra Kikey Becerril Villavicencio y hace aproximadamente un año 10 meses la tranquilidad de nuestra comunidad fue violada.,0.541333260777616,21,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"A las dos de la madrugada del 31 de agosto del 2017, mediante un operativo que el gobierno del Estado de México armó con más de mil elementos de la policía ministerial, policía estatal, granaderos y militares, que con exceso de violencia y fuerza policial desmedida saquearon y destruyeron las casas a las que entraron, incluso algunos hicieron detonaciones con sus armas de fuego para amedrentar a nuestras familiares, encañonando y asustando a nuestros hijos menores de edad, que a la fecha tienen secuelas psicológicas. Aquello fue una pesadilla.",0.541333260777616,89,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"Esa noche nos detuvieron con lujo de violencia, peor que a unos delincuentes, no nos presentaron órdenes de aprehensión al ingresar a nuestras casas, incluso pensábamos que se trataba de un secuestro o desapariciones forzadas de mis compañeros Beatriz Pérez Flores, Yuriko Maribel Becerril Villavicencio, quien no estuvo presente el día de los hechos imputados, Francisco Ceballos Vargas y Fermín Esquivel Rojas, Cutberto Vilchis García y Miguel Ángel Vilchis García, Miguel Ángel Vilchis Arce y a su servidora, e iban por uno más, Librado Vilchis García, pero a él no lo lograron detener.",0.541333260777616,93,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"Cabe señalar que a nosotros nunca se nos aplicó el principio de una presunción de inocencia, violando nuestros derechos humanos, no supimos la razón de nuestra detención sino hasta la primera audiencia, en la que se nos vinculó injustamente a proceso con una medida cautelar excesiva de prisión preventiva bajo el número de la carpeta 11462017.",0.541333260777616,56,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"Ahí supimos de los delitos que se nos fabricaron: robo con violencia, lesiones y privación ilegal de tres personas, derivados de un evento que había ocurrido un año atrás, el 30 de septiembre del 2016, cuando intentaron despojarnos de nuestras tierras con armas de fuego.",0.541333260777616,45,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"El día de los hechos, el supuesto abogado Mario Alberto De León Venegas, contrató a varias personas para tomar posesión de nuestro terreno de Salazar.",0.541333260777616,25,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,Él se presentó como apoderado del Ejido de San Mateo Atarasquillo y apoderado de los supuestos compradores de la tierra de la comunidad de Salazar.,0.541333260777616,25,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"De los hechos acontecidos ese 30 de septiembre del 2016 se levantaron dos denuncias ante el Ministerio Público, de Mario Alberto de León Venegas, que culminó con nuestra detención, y la de nuestros compañeros Miguel Ángel Vilchis García por despojo, daños de bienes y disparo de arma de fuego, de la cual del día de hoy no hay ningún seguimiento por parte de esa autoridad.",0.541333260777616,65,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"Reiteramos el agradecimiento a nuestro presidente Andrés Manuel López Obrador, así como la disposición y el apoyo de la Secretaría de Gobernación, encabezada por la doctora Olga Sánchez Cordero, y a la Subsecretaría de los Derechos Humanos, dirigida por el licenciado Alejandro Encinas, y de manera particular al licenciado Neftalí Granados, que analizó, acompañó y apoyó nuestro caso.",0.541333260777616,58,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,"Yo soy Salazar, y por tierra y libertad.",0.541333260777616,8,05,06,2019
DANEYRA KIKEY BECERRIL VILLAVICENCIO,Gracias.,0.541333260777616,1,05,06,2019
