Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buenos días, señor presidente. Hans Salazar, ZMG Noticias.",0.541333260777616,8,05,06,2019
PREGUNTA,"La pregunta para este tema: ¿Cuántos casos sobre liberación de luchadores sociales, sobre defensores ambientales hay en puerta? ¿Hay algún número en específico? ¿Qué casos son los que ahorita se tienen en lo inmediato?",0.541333260777616,34,05,06,2019
PREGUNTA,Sería mi primera pregunta.,0.541333260777616,4,05,06,2019
PREGUNTA," Segunda pregunta, con el tema de la Guardería ABC, el caso de hace 10 años. Hay una querella que ya se ha mencionado, se ha confirmado por parte del director del IMSS en contra del exgobernador de Sonora.",0.541333260777616,38,05,06,2019
PREGUNTA,"¿Hay más en puerta, más querellas en puerta por este caso, concretamente contra autoridades que fueron en su momento y pueden ser responsables sobre el tema de la Guardería ABC?",0.541333260777616,30,05,06,2019
PREGUNTA,"¿Qué otras acciones concretas y si va a haber reunión, si ha habido reuniones con los padres y familiares de este lamentable hecho de la Guardería ABC?",0.541333260777616,27,05,06,2019
PREGUNTA,"  Presidente, nada más para precisar.",0.541333260777616,5,05,06,2019
PREGUNTA,"En el caso de esta lucha contra la delincuencia, sobre todo con la bandera de huachicoleo, ¿qué opinión le merece estos datos que se dieron?, principalmente que Guanajuato es uno de los estados que ha enfrentado esta problemática, la baja de homicidios, el tema que se ha reforzado las fuerzas federales.",0.541333260777616,51,05,06,2019
PREGUNTA,"¿Qué opinión le merece esta disminución en ese estado?, que principalmente usted le ha puesto principal ojo en este combate.",0.541333260777616,20,05,06,2019
PREGUNTA," Gracias, presidente.",0.541333260777616,2,05,06,2019
PREGUNTA,"Aprovechando que está aquí la secretaria y en estos temas de cambios, yo quisiera preguntarle: ¿Qué tan difícil ha sido llevar a cabo este cambio de la dependencia que, como bien el presidente ha señalado, pues antes se regañaba, de cambiar esta lógica, de dar una nueva imagen a la secretaría?",0.541333260777616,51,05,06,2019
PREGUNTA,"Y al presidente preguntarle, el secretario Durazo ha dicho que ya en los próximos días van a empezar a mandar los elementos a diferentes estados, como Guanajuato, Michoacán, Jalisco, preguntarle: ¿Cuál es su expectativa respecto a la capacidad táctica y los resultados de la primera generación de los elementos, hablando de este tema de seguridad, de que se quiere evitar más de este tipo de presos políticos?",0.541333260777616,67,05,06,2019
PREGUNTA," Ah, bueno, le comentaba al señor presidente si nos podría dar su opinión, su expectativa sobre la capacidad táctica y los resultados que pueda generar la primera generación de estos elementos de la Guardia Nacional, que ya el secretario Durazo señaló van a ser desplegados en Jalisco, en Michoacán y Guanajuato.",0.541333260777616,51,05,06,2019
PREGUNTA,"  Presidente, nada más para precisar.",0.541333260777616,5,05,06,2019
PREGUNTA,"En el caso de esta lucha contra la delincuencia, sobre todo con la bandera de huachicoleo qué opinión le merece estos datos que se dieron, principalmente que Guanajuato es uno de los estados que ha enfrentado esta problemática, la baja de homicidios, el tema que se han reforzado las fuerzas federales.",0.541333260777616,51,05,06,2019
PREGUNTA,¿Qué opinión le merece esta disminución en ese estado que principalmente usted le ha puesto principal ojo en este combate?,0.541333260777616,20,05,06,2019
