Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Ánimo.,0.541333260777616,3,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de hoy informar que se mantienen las pláticas en Washington para llegar a un acuerdo y que no se apliquen las medidas que se han definido de manera unilateral, medidas arancelarias, impuestos, tarifas que afectan a quienes producen en México y venden sus mercancías en Estados Unidos. Se está dialogando.",0.541333260777616,52,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy a las 10:00 de la mañana, continúan las pláticas y espero que se llegue a un acuerdo, tengo confianza en que se llegue a un acuerdo para que no se apliquen estas medidas unilaterales a partir del lunes próximo, como lo ha expresado el presidente Donald Trump.",0.541333260777616,48,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros queremos tener una relación, lo reitero, de amistad con el pueblo y con el gobierno de Estados Unidos. Esa es nuestra postura.",0.541333260777616,23,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y para definir este asunto, para fijar con mucha claridad esa postura de conservar una relación de amistad, vamos a llevar a cabo, y estoy convocando al pueblo de México, a todos los sectores de todas las clases sociales, de todas las culturas, para un acto de unidad en defensa de la dignidad de México y en favor de la amistad con el pueblo de Estados Unidos.",0.541333260777616,67,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a llevar a cabo este acto el sábado próximo a las cinco de la tarde, en Tijuana, Baja California.",0.541333260777616,20,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Estoy invitando a los gobernadores de todos los estados del país.,0.541333260777616,11,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Voy a invitar a los legisladores federales, locales, de todas las expresiones.",0.541333260777616,12,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Voy a invitar a los ministros de la Suprema Corte de Justicia y a los integrantes del Poder Judicial.,0.541333260777616,19,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Voy a invitar a dirigentes, obreros, dirigentes campesinos, a dirigentes de organizaciones sociales.",0.541333260777616,13,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Voy a invitar a líderes religiosos.,0.541333260777616,6,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Voy a invitar a dirigentes empresariales.,0.541333260777616,6,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Es un acto de unidad para defender la dignidad de México y en favor de la amistad con el pueblo de Estados Unidos.,0.541333260777616,23,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es sábado próximo, a la cinco de la tarde, en Tijuana.",0.541333260777616,11,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya se va a dar a conocer en el transcurso del día de hoy el sitio en el que nos vamos a congregar, aviso con tiempo para que, los que quieran asistir, pues ya empiecen a prepararse, porque es donde comienza nuestra patria y lleva tiempo el traslado a Tijuana.",0.541333260777616,50,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero creo que van a participar de todo el país, ciudadanos de todo el país.",0.541333260777616,15,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y ahí vamos a fijar nuestra postura que, repito, se va a desenvolver, se va a expresar, tomando en cuenta que deseamos tener una buena vecindad con Estados Unidos, pero al mismo tiempo defendiendo la dignidad de México.",0.541333260777616,38,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Queremos actuar con mucha prudencia, pero al mismo tiempo con firmeza en la defensa de nuestra soberanía.",0.541333260777616,17,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Se han portado muy bien las autoridades de Estados Unidos, el presidente Trump, porque no se han cerrado al diálogo, y esperemos que el día de hoy se logre un acuerdo.",0.541333260777616,31,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"De todas maneras, vamos a hacer el acto el sábado en Tijuana.",0.541333260777616,12,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Eso es lo que quería decirles, convocar a este acto de unidad, con el propósito de defender la dignidad de México y la amistad con el pueblo de Estados Unidos, que no se rompa la sagrada amistad que tenemos con el pueblo de Estados Unidos.",0.541333260777616,45,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, nosotros no queremos polemizar, confrontar, para nada.",0.541333260777616,8,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos ya una propuesta, que el día de ayer se presentó, lo que tiene que ver con la política migratoria.",0.541333260777616,20,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y hoy a las 10 se va a tener otro encuentro, y está informando el secretario de Relaciones Exteriores, Marcelo Ebrard, sobre estos temas. Yo no voy a pronunciarme a fondo, en definitiva, hasta el sábado a las 5 de la tarde.",0.541333260777616,42,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Esto no significa que no va a haber información, Marcelo Ebrard va a estar permanentemente informando al pueblo de México.",0.541333260777616,20,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Y el sábado a las 5 de la tarde yo voy a dar conocer mi propuesta como presidente de México.,0.541333260777616,20,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Yo estoy optimista, yo pienso que se va a llegar a un acuerdo. Lo deseamos.",0.541333260777616,15,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Siempre hemos dicho que lo mejor es el diálogo y el acuerdo, que eso es lo que más conviene a Estados Unidos y a México, que no es recomendable la confrontación y así, además, lo está expresando el pueblo de México, quieren que se mantenga una relación de amistad con el pueblo y con el gobierno de Estados Unidos.",0.541333260777616,59,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, por ahí vamos a actuar, sin amenazas, sin balandronadas, con mucha responsabilidad. Tenemos que actuar de manera responsable y lo estamos haciendo.",0.541333260777616,23,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a esperar qué sucede, hay quienes quisieran que nos confrontáramos.",0.541333260777616,12,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Nosotros vamos a cuidar la relación con el gobierno de Estados Unidos.,0.541333260777616,12,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a cuidar la relación con el presidente Trump, pero sobre todo vamos a cuidar la relación con el pueblo de Estados Unidos. Eso es lo que más nos importa, el tener muy buena relación con los estadounidenses.",0.541333260777616,38,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos acá y empezamos.,0.541333260777616,4,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, los dos.",0.541333260777616,3,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, estamos atentos a los resultados de las pláticas y estoy optimista, pienso que se va a llegar a un acuerdo.",0.541333260777616,21,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y se está escuchando la opinión de todos, de empresarios, de los obreros, de los gobernadores.",0.541333260777616,16,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ayer me reuní con gobernadores del PRI, se habló del tema.",0.541333260777616,11,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Estoy escuchando la opinión de todos y no quiero todavía hablar de una posible respuesta en el caso de que se impongan de manera unilateral estos aranceles.,0.541333260777616,27,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, todo se está analizando, todo, es un tema, yo diría que de interés público. No sólo lo está haciendo el gobierno, lo está haciendo la gente, basta ver las redes sociales, las benditas redes sociales, ahí están las más variadas opiniones, todas las recomendaciones.",0.541333260777616,45,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Yo siempre veo las redes sociales, siempre estoy atento de lo que se opina, es una forma de estar recogiendo los sentimientos de la gente.",0.541333260777616,25,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Además, tengo comunicación constante con los ciudadanos de manera directa, los que no interactúan en redes sociales también tienen opinión sobre el asunto y los escucho y estamos en sintonía.",0.541333260777616,30,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Siempre vamos a estar consultando a los ciudadanos.,0.541333260777616,8,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Se están viendo todas las opciones, pero la postura nuestra es el conservar, ante todo, la amistad con el pueblo de Estados Unidos. No confrontarnos.",0.541333260777616,25,06,06,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos analizando todo, hay quienes hablan de diversificar las relaciones económicas, comerciales, financieras, lo que ha sido el tema en política exterior desde hace mucho tiempo, el de no poner, decía Porfirio Díaz, todos los huevos en una canasta, diversificar.",0.541333260777616,40,06,06,2019
