Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OCTAVIO ROMERO OROPEZA, Buenos días.,0.541333260777616,2,16,7,2019
OCTAVIO ROMERO OROPEZA,"Gracias, señor presidente.",0.541333260777616,3,16,7,2019
OCTAVIO ROMERO OROPEZA,Muy buenos días a todas y a todos.,0.541333260777616,8,16,7,2019
OCTAVIO ROMERO OROPEZA,"Les informamos que el día de ayer el Consejo de Administración de Petróleos Mexicanos aprobó por unanimidad el Plan de Negocios 2019-2023 en la Sesión Ordinaria 945. Cabe mencionar que en este consejo forman parte la Secretaría de Hacienda, Secretaría de Energía, Secretaría de Economía, Medio Ambiente, la Comisión Federal de Electricidad y los consejeros independientes.",0.541333260777616,56,16,7,2019
OCTAVIO ROMERO OROPEZA,"Como ustedes saben, la Ley de Petróleos Mexicanos señala que Pemex tiene que presentar en esas fechas su presupuesto para el año 2020, que fue aprobado en la misma sesión el día de ayer. Procede enviar este presupuesto aprobado a la Secretaría de Hacienda para que sea considerado en la elaboración del proyecto de Presupuesto de Egresos de la Federación el próximo ejercicio fiscal.",0.541333260777616,64,16,7,2019
OCTAVIO ROMERO OROPEZA,El plan muestra la nueva visión estratégica de la empresa en la línea con la política del Gobierno de México en materia energética y de desarrollo económico. Los aspectos más relevantes se presentan a continuación.,0.541333260777616,35,16,7,2019
OCTAVIO ROMERO OROPEZA,Primero partimos de un diagnóstico. Pemex ha presentado una caída constante en su producción de crudo en los últimos 14 años como consecuencia de la disminución de los montos de inversión. De tal forma que solamente en los últimos cinco años la reducción en la producción fue de casi 600 mil barriles en promedio diario.,0.541333260777616,55,16,7,2019
OCTAVIO ROMERO OROPEZA,"En el tramo de los 14 años la disminución fue del orden de más de un millón 800 mil barriles, de tal forma que en enero, ya del 2019, la producción era de un millón 625 mil barriles, se cayó más la producción en 14 años que la que se producía en enero de este año. Ya se ha logrado, como se ha dicho en otras ocasiones, estabilizar esto y lograr un ligero repunte.",0.541333260777616,74,16,7,2019
OCTAVIO ROMERO OROPEZA,"Cabe señalar que en el periodo 2011-2018, el 45 por ciento de la inversión de exploración se orientó a proyectos de aguas profundas sin que a la fecha Pemex haya producido un solo barril. Este dato es relevante por el cambio en la política de inversión de la empresa.",0.541333260777616,49,16,7,2019
OCTAVIO ROMERO OROPEZA,"Ahora nos vamos a concentrar en el desarrollo de aguas someras y áreas terrestres, lo que nos va a permitir, dado sus menores costos, duplicar la actividad exploratoria con los mismos recursos.",0.541333260777616,32,16,7,2019
OCTAVIO ROMERO OROPEZA,"Al igual que en el caso de las actividades de exploración y producción, la inversión en las refinerías registró importantes decrementos en los últimos años afectando, incluso, la disponibilidad de recursos para mantenimiento y esto ocasionó la caída de los niveles de proceso del Sistema Nacional de Refinación, llevando la producción de refinados a mínimos históricos como se observa en la lámina.",0.541333260777616,62,16,7,2019
OCTAVIO ROMERO OROPEZA,"El dato de enero es relevante, caímos al mínimo histórico de 507 mil barriles de proceso. Al mismo tiempo, se registraba una caída de la producción de petróleo y del proceso de crudo en las refinerías, la deuda de Pemex se incrementaba.",0.541333260777616,42,16,7,2019
OCTAVIO ROMERO OROPEZA,"En esta gráfica podemos observar que, en sólo tres años, de 2013 a 2016, la deuda de Pemex se duplicó al pasar poco más de un billón a más de dos billones de pesos.",0.541333260777616,34,16,7,2019
OCTAVIO ROMERO OROPEZA,El resultado de lo anterior es que durante los últimos 10 años Pemex ha registrado déficits financieros como se puede observar en la gráfica.,0.541333260777616,24,16,7,2019
OCTAVIO ROMERO OROPEZA,"No obstante estos resultados financieros, es relevante señalar que la principal variable que determina dichos resultados es la elevada carga fiscal de la empresa.",0.541333260777616,24,16,7,2019
OCTAVIO ROMERO OROPEZA,"En la gráfica siguiente podemos observar que Pemex genera ingresos por casi dos billones de pesos; sin embargo, paga impuestos y derechos por cerca de un billón de pesos, con lo que al sumar el pago de intereses de la deuda se llega al déficit financiero.",0.541333260777616,46,16,7,2019
OCTAVIO ROMERO OROPEZA,"Es importante enfatizar que Pemex es una empresa que genera valor. Si medimos la rentabilidad en términos del Ebitda, que son los ingresos antes de intereses, impuestos, depreciación y amortización, y la comparamos con otras empresas petroleras internacionales, podemos observar que Pemex está por arriba el promedio de la industria, como se indica en la gráfica.",0.541333260777616,56,16,7,2019
OCTAVIO ROMERO OROPEZA,"Podemos ver que en primer lugar está Statoil, luego sigue Petrobras y en tercer lugar Petróleos Mexicanos.",0.541333260777616,17,16,7,2019
OCTAVIO ROMERO OROPEZA,"En resumen, son tres los problemas estructurales que enfrenta la empresa: la elevada carga impositiva, su deuda y la baja inversión. Esto atrapó a Pemex en un círculo vicioso.",0.541333260777616,29,16,7,2019
OCTAVIO ROMERO OROPEZA,"La estrategia la esencia de este plan es proponer soluciones que resuelvan estos problemas históricos. Para ello, con el apoyo del gobierno de la República, al anunciar que respaldará y apoyará un cambio al régimen fiscal de Pemex se ha dado un paso histórico a fin de que la empresa tenga un alivio en su carga fiscal que le permita liberar recursos para detonar proyectos de inversión en la producción de petróleo.",0.541333260777616,72,16,7,2019
OCTAVIO ROMERO OROPEZA,"Cabe señalar que, como una primera medida para este año 2019, se amplió el beneficio fiscal en el pago de los derechos de producción de petróleo a través de la publicación de un decreto que resultó en un beneficio del orden de 30 mil millones de pesos para este año.",0.541333260777616,50,16,7,2019
OCTAVIO ROMERO OROPEZA,"El objetivo es que el gobierno de la República apoye a Pemex los primeros tres años de la administración en lo que será una etapa de transición para recuperar la producción de petróleo, para que en la segunda mitad de la administración sea Pemex quien apoye al gobierno federal para financiar el desarrollo y el crecimiento económico de nuestro país.",0.541333260777616,60,16,7,2019
OCTAVIO ROMERO OROPEZA,"Para resolver el problema de la elevada carga fiscal, el gobierno federal tiene previsto presentar una propuesta de reforma a la Ley de Ingresos sobre Hidrocarburos para reducir la tasa del Derecho de Utilidad Compartida, el DUC, a través de un esquema gradual de siete por ciento para el próximo año 2020 y de cuatro por ciento para el 2021.",0.541333260777616,60,16,7,2019
OCTAVIO ROMERO OROPEZA,Cabe señalar que la tasa actual es de 65 por ciento y que se llegaría a una tasa de 54 por ciento para el 2021.,0.541333260777616,25,16,7,2019
OCTAVIO ROMERO OROPEZA,"Finalmente, para esta etapa de transición de apoyo del gobierno federal a Pemex, se está considerando aportaciones de capital para el periodo también 2019-2022, a fin de complementar los requerimientos de inversión.",0.541333260777616,32,16,7,2019
OCTAVIO ROMERO OROPEZA,"De especial relevancia será la capitalización destinada al financiamiento de la nueva refinería de Dos Bocas, cuya construcción será fondeada con recursos federales.",0.541333260777616,23,16,7,2019
OCTAVIO ROMERO OROPEZA,"Para 2021 se reducirán las aportaciones de capital del gobierno federal a tan sólo 38 mil millones de pesos. En esta gráfica se muestran los requerimientos de inversión para los próximos años, destacando cómo contribuye la disminución de la carga fiscal y las aportaciones de capital del gobierno para el periodo de transición 19-21.",0.541333260777616,54,16,7,2019
OCTAVIO ROMERO OROPEZA,"Asimismo, se contempla que la inversión pública se complemente con la inversión privada a través de contratos de servicios de largo plazo para la producción de petróleo, los CSIEE. Lo anterior permitirá que Pemex pueda contar con recursos para invertir en la producción del petróleo y en la recuperación de la capacidad de las refinerías.",0.541333260777616,55,16,7,2019
OCTAVIO ROMERO OROPEZA,"En materia de exploración, la estrategia se orienta en intensificar la actividad en áreas terrestres y aguas someras privilegiando prospectos aledaños a los campos en producción, en reducir también los tiempos entre el descubrimiento y la primera producción de los nuevos campos, y en fortalecer el portafolio exploratorio para el mediano y largo plazo.",0.541333260777616,54,16,7,2019
OCTAVIO ROMERO OROPEZA,"Para incrementar la producción de aceite y gas, uno de los ejes fundamentales del Plan de Negocios consiste en acelerar el desarrollo de los nuevos yacimientos descubiertos, así como incrementar la actividad de desarrollo en campos en explotación, tanto con pozos nuevos, como con reparaciones mayores.",0.541333260777616,46,16,7,2019
OCTAVIO ROMERO OROPEZA,"Con el fin de detener la declinación e incrementar el factor de recuperación en los campos maduros, se tiene considerado aumentar la actividad de mantenimiento a la producción base, así como la implementación de procesos de recuperación secundaria y mejorada.",0.541333260777616,40,16,7,2019
OCTAVIO ROMERO OROPEZA,Con ello se prevé incrementar la producción a niveles de dos millones 697 mil barriles promedio diario en el último año de esta administración. En el documento se detallan las estrategias y sus actividades en que se sustenta esta meta.,0.541333260777616,40,16,7,2019
OCTAVIO ROMERO OROPEZA,"Por lo que se refiere a transformación industrial, el plan prevé una recuperación gradual de la capacidad de refinación a partir de los mayores montos de inversión que se destinan para la rehabilitación de las seis refinerías y el desarrollo de la nueva refinería de Dos Bocas.",0.541333260777616,47,16,7,2019
OCTAVIO ROMERO OROPEZA,"La intención de este Plan de Negocios es que Pemex tenga recursos para invertir, que le permitan a partir del próximo año incrementar sus niveles de producción en toda la cadena de valor generando los recursos para mejorar su balance financiero.",0.541333260777616,41,16,7,2019
OCTAVIO ROMERO OROPEZA,"De esta forma, con esta estrategia integral, Petróleos Mexicanos logra su equilibrio presupuestario en el año 2021 y, como puede observarse en la pantalla, año con año conforme aumenta la producción de petróleo se incrementa el superávit financiero de la empresa.",0.541333260777616,41,16,7,2019
OCTAVIO ROMERO OROPEZA,Es conveniente resaltar que la variable más relevante en este plan de negocios para lograr los resultados planteados es la reducción de la carga fiscal de la empresa.,0.541333260777616,28,16,7,2019
OCTAVIO ROMERO OROPEZA,"Finalmente, la estrategia que se presenta en este plan de negocios tiene la virtud de que en el mediano plazo y en largo nuestro país se beneficia por mayores transferencias de ingresos petroleros a la Hacienda pública federal.",0.541333260777616,38,16,7,2019
