Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PATRICIA ELISA DURAN REVELES, Muy buenos días a todas y a todos los presentes. Lo más loable de un hombre de Estado es su compromiso social y lo más admirable de quien gobierna es el cumplimiento de su palabra dada a los ciudadanos.,0.4811506876894286,39,25,7,2019
PATRICIA ELISA DURAN REVELES,"Muy apreciado señor presidente, Andrés Manuel López Obrador:",0.4811506876894286,8,25,7,2019
PATRICIA ELISA DURAN REVELES,"Desde mi personal emoción y mucha emoción, por su apoyo y por su sensibilidad municipalista, reconozco en usted a un estadista comprometido con su pueblo.",0.4811506876894286,25,25,7,2019
PATRICIA ELISA DURAN REVELES,Gracias por ser un mandatario que sí cumple lo que promete. Felicidades por su honestidad y congruencia.,0.4811506876894286,17,25,7,2019
PATRICIA ELISA DURAN REVELES,"A nombre de la comunidad de Naucalpan de Juárez que me honro en representar como presidenta municipal, vengo a recibir de manos del presidente de México, el predio donde construiremos una nueva institución de educación superior.",0.4811506876894286,36,25,7,2019
PATRICIA ELISA DURAN REVELES,"En este terreno de más de 21 mil metros cuadrados, ubicado en el ejido de Los Remedios, Naucalpan, realizaremos uno de los proyectos insignia de nuestro gobierno: la universidad pública naucalpense, cuya oferta educativa será multidisciplinaria y ofrecerá oportunidad de estudio profesional a los más de 65 mil jóvenes que hay en Naucalpan entre 15 y 19 años.",0.4811506876894286,58,25,7,2019
PATRICIA ELISA DURAN REVELES,De inmediato promoveremos convenios con el gobierno del estado y con otras escuelas de educación superior a fin de ofrecer carreras alineadas a las necesidades del desarrollo municipal de Naucalpan y de la región.,0.4811506876894286,34,25,7,2019
PATRICIA ELISA DURAN REVELES,"Con recursos propios invertiremos 32 millones de pesos, 32 millones de pesos para que a partir del próximo año podamos ya formar a la primera generación de estudiantes en la universidad pública naucalpense. Será un honor y un privilegio, señor presidente, que nos distinga con su presencia para inaugurar y entregar esta universidad que será completa y funcional en sus instalaciones en Naucalpan.",0.4811506876894286,63,25,7,2019
PATRICIA ELISA DURAN REVELES,"Le refrendo mi personal reconocimiento. Los jóvenes de Naucalpan se lo agradecen, los naucalpenses se lo agradecemos. Con respeto y con cariño, a nombre de los naucalpenses le expreso nuestra más profunda gratitud por su generosidad y solidaridad.",0.4811506876894286,38,25,7,2019
PATRICIA ELISA DURAN REVELES,Tenga la seguridad de que nuestro gobierno en Naucalpan y yo haremos nuestra mejor parte para que su gestión presidencial siga siendo exitosa en beneficio de los mexicanos.,0.4811506876894286,28,25,7,2019
PATRICIA ELISA DURAN REVELES,"En Naucalpan no les vamos a fallar. Muchas gracias, señor presidente.",0.4811506876894286,11,25,7,2019
PATRICIA ELISA DURAN REVELES, Por supuesto.,0.4811506876894286,2,25,7,2019
PATRICIA ELISA DURAN REVELES,"Con relación a la fundación, sí, efectivamente, ese predio se donó al gobierno municipal, el gobierno municipal lo dona la fundación y la empresa está actuando arbitrariamente. Ese terreno era municipal y se donó a la fundación.",0.4811506876894286,37,25,7,2019
PATRICIA ELISA DURAN REVELES,"En el tema, también complementando lo que se le pregunta al presidente, en el caso de Naucalpan en los ejes que hemos marcado principalmente de apoyo a las personas con discapacidad, estamos ahorita ya en el inicio de la construcción de un nuevo CRIS, en Naucalpan. Ya tendríamos dos centros de rehabilitación para personas con discapacidad. Y ahí también estaríamos atendiendo a estas personas en caso que se les desalojaran.",0.4811506876894286,70,25,7,2019
PATRICIA ELISA DURAN REVELES,"Lo que sí quiero comentar es que el gobierno municipal le está dando todo el apoyo a la fundación, completamente, jurídico y todo el apoyo que se necesita para que no los desalojen.",0.4811506876894286,33,25,7,2019
