Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.9384397760356878,2,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Vamos a informar el día de hoy, como lo hicimos ayer, del trabajo de mantenimiento que se está llevando a cabo en las plantas de la Comisión Federal de Electricidad y que nos está permitiendo incrementar el volumen de la energía que se produce. Hay cosas que no se saben y es importante informar.",0.24218603071725986,54,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El día de ayer hablamos de cómo en el tiempo que llevamos se ha ido mejorando la producción de combustibles, de gasolinas, de diésel por la atención, el mantenimiento a las seis refinerías. Eso es importante el que estemos produciendo más gasolinas.",0.004885965353087128,42,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo mismo en el caso de industria eléctrica. Le pedimos al ingeniero Carlos Andrés Morales Mar, que es el director corporativo de operaciones de la Comisión Federal de Electricidad, que nos explique qué se está haciendo, qué se ha logrado en esta materia.",0.2187803879757934,43,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Si les parece, para tener el antecedente, contextualizar, empezamos con lo de las gasolinas de nuevo, y luego vemos lo de la energía eléctrica para que se pueda tener la idea en conjunto del programa de mantenimiento en el sector energético nacional.",0.5175506587985965,42,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nada más es regresar, a ver si tienen por ahí las láminas de ayer o empezamos con el ingeniero y luego presentamos las de ayer.",0.11653284302347276,25,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"A ver, esto tiene que ver con la producción de gasolina, básicamente de cuánto se está procesando de petróleo en las refinerías, cuál ha sido el comportamiento, cómo va recuperándose la producción, cómo se cayó, cómo la recibimos y cómo ha ido incrementándose el volumen en producción de combustible.",0.002556800452377405,49,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"A ver, la siguiente. Esto es producción de gasolinas, esto es diésel, turbosina. A ver, vemos primero gasolinas, si tienen. Esa es gasolina. Ahora sí, diésel y turbosina, que esa es la que se ha mantenido igual.",0.00765783512973516,37,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No tenemos refinerías nuevas, es el mantenimiento o es producto del mantenimiento de las refinerías existentes, que estaban abandonadas y que ahora se les está dando mantenimiento y están operando a más capacidad.",0.25203321893929986,33,26,7,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo mismo se está haciendo en el caso, repito, de la Comisión Federal de Electricidad. Le damos la palabra al ingeniero Morales Mar.",0.24806775471224493,23,26,7,2019
