Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO RODRIGUEZ VARGAS," Con su permiso, señor presidente.",0.32823650481604266,5,29,7,2019
RICARDO RODRIGUEZ VARGAS,Muy buenos días a todas y a todos.,0.32823650481604266,8,29,7,2019
RICARDO RODRIGUEZ VARGAS,Vamos a dar una exposición con dos contenidos.,0.32823650481604266,8,29,7,2019
RICARDO RODRIGUEZ VARGAS,El primero es los resultados de la subasta de joyas el día de ayer en Los Pinos y la segunda parte de la presentación será el resultado de la solicitud que nos hizo el Instituto para Devolver al Pueblo lo Robado el señor presidente sobre el destino de los bienes del ciudadano chino-mexicano Zhenli Ye Gon.,0.32823650481604266,56,29,7,2019
RICARDO RODRIGUEZ VARGAS,Empezamos con los resultados de la subasta.,0.32823650481604266,7,29,7,2019
RICARDO RODRIGUEZ VARGAS,El día de ayer vendimos 110 lotes de 148.,0.32823650481604266,9,29,7,2019
RICARDO RODRIGUEZ VARGAS,¿A qué equivale estos 110 lotes?,0.32823650481604266,6,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Equivale a 10 millones 302 mil pesos. Fueron alrededor del 74 por ciento de los lotes lo que vendimos. No se vendieron los bienes o los lotes de más alto valor, los considerados si así lo quieren ver, más fifís. El reloj de 2.9 millones de pesos, así como otros relojes, el Jacob & co. que valía alrededor de 1.1, está valuado como precio inicial. Esos no se vendieron.",0.32823650481604266,69,29,7,2019
RICARDO RODRIGUEZ VARGAS,"No obstante, nosotros, para el Instituto para Devolverle al Pueblo lo Robado lo consideramos como una buena subasta al momento de haber vendido 10.3 millones de pesos, fueron más de 10 millones de pesos, que van a ir también, debido a la instrucción del señor presidente, al municipio de Coalcomán, la rehabilitación de caminos rurales, al municipio de Coalcomán en Michoacán.",0.32823650481604266,61,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Ayer tuvimos alrededor de 70 participantes que fue un buen número, algunos lo hicieron vía telefónica.",0.32823650481604266,16,29,7,2019
RICARDO RODRIGUEZ VARGAS,"También comentarles que, para los bienes de más alto valor, por ahí recibimos la postulación de algunas personas de comprarlos no en subastas, sino comprarlo mediante otro tipo de mecanismos los cuales los estamos evaluando, pero siempre en compañía de la Función Pública para que todo esto sea acorde a la normatividad y a la ley.",0.32823650481604266,56,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Los bienes que no se vendieron, estos bienes de alto valor o estos bienes fifís, por así llamarlos, serán en las próximas subastas o también buscar mecanismos alternos de cómo venderlos, insisto, siempre de la mano con la Función Pública.",0.32823650481604266,40,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Este tipo de bienes, aquí pueden ver el reloj Cartier para mujer, tampoco no se vendió, está valuado en alrededor de 900 mil pesos y todos estos bienes, este fue de 2.9 que tampoco se vendió.",0.32823650481604266,36,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Sin embargo, destacar que sí hubo una gran participación de la ciudadanía en aquellos segmentos de precio medio y a un precio de precio menor y de precio medio, tuvimos un muy buen sobreprecio.",0.32823650481604266,34,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Miren, este reloj tampoco fue de los que se vendieron, pero en contraposición o en cambio tuvimos una muy buena aceptación, insisto, en el segmento bajo y mediano, ahí se agotaron, se dio incluso una buena puja en algunos casos interesantes, en algunos casos con un sobrevalor.",0.32823650481604266,47,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Por ejemplo, me gustaría citar algunos ejemplos, un reloj para caballero marca Patek Philippe, su precio de salida fue 843 mil pesos, la puja al final fue en un millón 20 mil pesos, con un sobreprecio de 21 por ciento.",0.32823650481604266,40,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Ahí puede ver lo que les comento, el reloj para caballero marca Rolex empezó con un valor de 655, él se vendió a ese precio inicial.",0.32823650481604266,26,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Un lote integrado de anillos para caballero en platino con diamante, igual, un precio inicial de 630, no hubo puja y se vendió en 630 mil.",0.32823650481604266,26,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Otro ejemplo es una pulsera en oro de 18 quilates adornada, ahí fue un sobreprecio de 160 por ciento, empezó en 20 mil y término vendiéndose en 50 mil pesos.",0.32823650481604266,30,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Un último ejemplo es un reloj para caballero marca Corum con caja y hebilla de oro, ahí también se dio una puja interesante, tuvimos un sobreprecio de 132 por ciento, es decir, al final el valor al cual se vendió este reloj fue más de 200 mil pesos, 202 mil pesos.",0.32823650481604266,51,29,7,2019
RICARDO RODRIGUEZ VARGAS,"Entonces, como les comento, para el Instituto para Devolverle al Pueblo lo robado lo definimos como una buena subasta, una subasta que dejó más de 10 millones de pesos para el municipio de Coalcomán, Michoacán, para la rehabilitación de los caminos.",0.32823650481604266,41,29,7,2019
RICARDO RODRIGUEZ VARGAS,"En las próximas semanas de nueva cuenta el instituto dará al municipio estos recursos, obviamente, el señor presidente es quien presidirá esta ceremonia y cumpliendo sus instrucciones muy puntuales de devolverle al pueblo lo robado y que sean recursos para municipios de los más pobres del país.",0.32823650481604266,47,29,7,2019
