Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE, ANDRÉS MANUEL LÓPEZ OBRADOR: Buenos días.,0.39266632539322405,6,31,7,2019
PRESIDENTE,Amanecemos con una buena noticia.,0.4123066610855542,5,31,7,2019
PRESIDENTE,"Dio a conocer el Inegi los resultados del crecimiento económico en el segundo trimestre y, contrario a lo que pronosticaban algunos de que se iba a caer la economía y que íbamos a entrar en recesión, afortunadamente la economía creció, de acuerdo a los datos del Inegi.",0.006389327603380538,47,31,7,2019
PRESIDENTE,"No les funcionó su pronóstico a los expertos, y miren lo que se publica hace un momento. Esto, en El Financiero, porque tengo que dar la fuente. Se suponía que no iba a haber crecimiento, que se iba a caer y que entonces, con dos trimestres seguidos de decrecimiento, entrábamos en recesión, esa es la definición técnica. Pues resultó que no.",0.0039965649534506945,61,31,7,2019
PRESIDENTE,"Estos son los datos ya del Inegi en comparación con el primer semestre del año pasado, tenemos un crecimiento de 0.3, no solo con relación al crecimiento del segundo trimestre del año pasado, con el segundo trimestre de este año.",0.03216787667728727,40,31,7,2019
PRESIDENTE,"Entonces, esta es una muy buena noticia, sobre todo porque despeja el miedo, la intención de crear desconfianza. Nosotros no tenemos duda, pero sí insistir tanto en la recesión sí lleva a crear dudas, cierta incertidumbre; nosotros sabemos que va muy bien la economía, que está bien el país.",0.5066300128839245,49,31,7,2019
PRESIDENTE,"No quiere decir que todo esté resuelto, hay problemas que estamos enfrentando, pero desde luego vamos muy bien en la parte económica, en lo que tiene que ver con el bienestar.",0.5614295210778576,31,31,7,2019
PRESIDENTE,"Esto es también producto, muy contrario de lo que se piensa, ya ven que se insiste mucho en que no hay crecimiento porque no hay gasto. Esto demuestra de que sí, con austeridad, gastando bien, se puede crecer.",0.0436625298764256,38,31,7,2019
PRESIDENTE,¿Qué es lo que ha habido?,0.32823650481604266,6,31,7,2019
PRESIDENTE,"Gasto, pero bien orientado, a los que más lo necesitan. Es también reactivación de la economía, nada más que abajo, porque lo que queremos es una modernidad surgida, forjada desde abajo y para todos.",0.5505366429155818,34,31,7,2019
PRESIDENTE,"Esto no lo alcanzan a entender los tecnócratas neoliberales, ellos nada más apuestan a lo de arriba, incluso a inversiones de capital, grandes inversiones de capital con empresas automatizadas de poca generación de mano de obra, de mayor concentración de utilidades.",0.04988106628284258,41,31,7,2019
PRESIDENTE,"El modelo nuestro es que el crecimiento se convierta en desarrollo en un país en donde necesitamos crear empleos, tenemos que procurar que la inversión vaya bien dirigida y le dé trabajo a la gente o buscar los equilibrios entre la automatización, la robótica y la ocupación de mano de obra; un poco lo que estamos haciendo en Oaxaca, no es uso de maquinaria para la construcción de caminos, sino revolvedoras y mucho empleo, uso intensivo de mano de obra.",0.05210485265902116,80,31,7,2019
PRESIDENTE,"Estos del Financial Times se burlaron porque di a conocer de cómo funcionaba un trapiche en la huasteca y que de eso vivía un campesino que sembraba su tierra, sembraba caña, tenía su trapiche artesanal y con un caballo como motor movía el trapiche y hacía jugos de caña y los vendía.",0.0160390204862598,52,31,7,2019
PRESIDENTE,"Esa economía, aunque se burlen. Es muy importante, lo pequeño es hermoso, nada más que en la concepción tecnocrática neoliberal eso no importa.",0.5902067074252829,23,31,7,2019
PRESIDENTE,"Aquí en el Ajusco del lado del Estado de México los campesinos siembran maíz, habas y el maíz que siembran, si lo vendieran sin darle valor agregado no les resultaría.",0.005464824404820305,30,31,7,2019
PRESIDENTE,¿Qué hacen?,0.5017099481900792,2,31,7,2019
PRESIDENTE,"Siembran el maíz, siembran el haba, hacen tlacoyos y vienen a vender a la Ciudad de México los tlacoyos, que, por cierto, exquisitos, suculentos, de antojo para un desayuno más tarde, es un valor agregado. Esa economía popular es importante no abandonarla.",0.7444298328603026,42,31,7,2019
PRESIDENTE,"Les pongo otro ejemplo: se instala, al estilo, en la concepción del Financial Times una armadora de una empresa automotriz en un estado de la República, se les consigue el terreno, se les dan facilidades fiscales y ocupan tres mil, cinco mil trabajadores. Una inversión cuantiosa con procesos automatizados, tres mil, cinco mil",0.001701807014754803,53,31,7,2019
PRESIDENTE,"Con el programa Sembrando Vida se siembran 500 mil hectáreas, 200 mil empleos y la inversión mucho menor.",0.10358686380485498,18,31,7,2019
PRESIDENTE,"No quiere decir que vamos a dejar de promover la inversión extranjera para que se sigan creando empleos en la industria y en empresas de autopartes, en la empresa automotriz, nada más que lo otro también importa. Eso no lo conciben los tecnócratas y los especialistas en materia financiera.  Entonces, estamos muy contentos porque la economía mexicana está respondiendo.",0.5836638195934953,59,31,7,2019
PRESIDENTE,"Hay otros parámetros, otros datos. Hoy el secretario de Hacienda va a dar una conferencia de prensa para tratar este asunto, el secretario de Hacienda Arturo Herrera, para darles a conocer más elementos, las proyecciones que tenemos hacia adelante y cómo estamos también en el concierto de las naciones, cómo está la economía de México -porque eso también se tiene que tomar en cuenta- cómo está el crecimiento en el mundo, cómo está el crecimiento en los países de América Latina para tener buenas referencias, contextualizar a veces nada más se ve la parte y no el todo; de modo que Arturo va a informar bien.",0.25889559897438863,106,31,7,2019
