Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARCELO EBRARD CASAUBON," Gracias, señor presidente.",0.32823650481604266,3,14,8,2019
MARCELO EBRARD CASAUBON,Muy buenos días.,0.32823650481604266,3,14,8,2019
MARCELO EBRARD CASAUBON,"Bueno, como les había yo adelantado, me comprometí a presentarles a ustedes cuáles son los municipios en los que se va a trabajar con especial énfasis o localidades en Honduras, El Salvador y en su caso con el nuevo gobierno de Guatemala, en donde se va a aplicar principalmente o proponemos que aplique principalmente el programa Sembrando Vida y el programa Jóvenes Construyendo el Futuro.",0.32823650481604266,65,14,8,2019
MARCELO EBRARD CASAUBON,"Para el caso de Honduras, Distrito Central, San Pedro Sula, La Ceiba, El Progreso y Choluteca, los porcentajes que ustedes ven ahí es el porcentaje que de acuerdo a los estudios de que disponemos es el origen, porcentaje del total de personas de Honduras que han sido retornadas de México a ese país en los últimos años, incluido este año.",0.32823650481604266,60,14,8,2019
MARCELO EBRARD CASAUBON,"Estos son los porcentajes más altos de origen, entonces, por eso tiene sentido trabajar ahí.",0.32823650481604266,15,14,8,2019
MARCELO EBRARD CASAUBON,"En este caso Distrito Central es una ciudad, obviamente San Pedro Sula también es una zona urbana.",0.32823650481604266,17,14,8,2019
MARCELO EBRARD CASAUBON,"Entonces, por eso en el caso de Honduras el programa de Jóvenes Construyendo el Futuro va a ser muy importante.",0.32823650481604266,20,14,8,2019
MARCELO EBRARD CASAUBON,"En El Salvador está más repartido, San Miguel, Santa Ana, Soyapango, San Salvador, Ahuachapan.",0.32823650481604266,14,14,8,2019
MARCELO EBRARD CASAUBON,"En el caso de Guatemala propondremos Malacatán, Guatemala, Tacana, Coatepeque y Huehuetenango.",0.32823650481604266,12,14,8,2019
MARCELO EBRARD CASAUBON,¿Cuáles son las acciones a este momento que se tienen de estos programas?,0.32823650481604266,13,14,8,2019
MARCELO EBRARD CASAUBON,"En el caso Sembrando Vida en El Salvador y Honduras se propuso un apoyo económico de 250 dólares; habrá 20 mil beneficiarios en El Salvador y 13 mil beneficiarios en Honduras, -estoy hablando del programa Sembrando Vida- se van a incorporar de manera progresiva hasta alcanzar ese número en el mes diciembre.",0.32823650481604266,52,14,8,2019
MARCELO EBRARD CASAUBON,"Se acordó que haremos un primer corte a los ocho meses, es decir, en marzo de 2020 estaremos informando qué se logró con esta acción, qué impacto tuvo, estaremos presentando los resultados de manera conjunta.",0.32823650481604266,35,14,8,2019
MARCELO EBRARD CASAUBON,"Se va a realizar a través de la Agencia Mexicana de Cooperación y Desarrollo, como ustedes saben, y los insumos agrícolas serán aportados en conjunto con el ministerio de agricultura de cada país, considerando aportar el 50 por ciento cada uno.",0.32823650481604266,41,14,8,2019
MARCELO EBRARD CASAUBON,"Es importante resaltar que, por ejemplo, en el caso de El Salvador, el número total en este año de personas rescatadas por el Inami es de 14 mil 184 y mediante las acciones que va a impulsar la Agencia Mexicana de Cooperación y Desarrollo se crearán 20 mil empleos; es decir, vamos a crear más empleos que los rescate y se retornen a El Salvador.",0.32823650481604266,65,14,8,2019
MARCELO EBRARD CASAUBON,"Jóvenes Construyendo el Futuro en Honduras: se va a apoyar 180 dólares a siete mil beneficiarios, es la misma cantidad que en México, nada más que en dólares. La duración de esta primera etapa del proyecto también va a ser de ocho meses, para poderlo evaluar a los ocho meses, y se va a realizar, como ya lo expliqué, igual a través de la Agencia Mexicana de Cooperación y Desarrollo.",0.32823650481604266,70,14,8,2019
MARCELO EBRARD CASAUBON,"Les informo también que tenemos ya instalado un mecanismo de coordinación migratoria en el que participan varios países, cinco países en este caso, Guatemala, Honduras, El Salvador, Cuba y Haití; y hemos sostenido ya 14 reuniones de la comisión intersecretarial que se creó para atender este tema con los países referidos.",0.32823650481604266,51,14,8,2019
MARCELO EBRARD CASAUBON,"Les informo también que tenemos a esta fecha 35 países, cinco agencias de cooperación y ocho organismos internacionales apoyando la iniciativa mexicana.",0.32823650481604266,22,14,8,2019
MARCELO EBRARD CASAUBON,Me refiero a ellos de manera muy rápida.,0.32823650481604266,8,14,8,2019
MARCELO EBRARD CASAUBON,"En América tenemos el apoyo de: Argentina, Bolivia, Brasil, Canadá, Chile, Costa Rica, Estados Unidos, Canadá, Guatemala, Perú y Uruguay.",0.32823650481604266,20,14,8,2019
MARCELO EBRARD CASAUBON,"En Europa, Alemania, Austria, Bulgaria, Eslovaquia, España, Finlandia, Francia, Hungría, Irlanda, Italia, Letonia, Países Bajos, Portugal, Polonia, Reino Unido, Rusia, Rumanía, Suiza y la Unión Europea.",0.32823650481604266,26,14,8,2019
MARCELO EBRARD CASAUBON,"En Asia y Oceanía tenemos la asistencia de Australia, China, Corea, Japón y Nueva Zelanda.",0.32823650481604266,15,14,8,2019
MARCELO EBRARD CASAUBON,Son en total 35 países denominados cooperantes internacionales o que potencialmente serán donantes o ya lo son en este momento en favor del Plan de Desarrollo Integral presentado por México.,0.32823650481604266,30,14,8,2019
