Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA, Muy buenos días.,0.5327235164123718,3,05,08,2019
RICARDO SHEFFIELD PADILLA,Quién es quién en los precios de los combustibles.,0.5327235164123718,9,05,08,2019
RICARDO SHEFFIELD PADILLA,"Tenemos primeramente la gasolina regular, que en esta semana que concluye, la gasolinera por segunda semana con el precio más alto y el margen más alto, un margen de tres pesos 69 centavos por litro y un precio al público de 20 pesos con 80 centavos en Guanajuato, Guanajuato, Grupo Seca Gasolineras; mientras que la más económica y con el margen menor de 13 centavos por litro el margen y un precio al público de 17 pesos con 69 centavos en Servicio Parrilla en Centro, Tabasco.",0.5327235164123718,86,05,08,2019
RICARDO SHEFFIELD PADILLA,"En el combustible Premium el precio y el margen más alto lo encontramos en Orsan del Norte, San Pedro Garza García, Nuevo León, con un precio al público de 21.99 por litro y un margen de tres pesos con 64 centavos por litro; mientras que el margen más bajo lo encontramos en Tlilapan, Veracruz, a 42 centavos por litro de margen, un precio al público de 18.99 en la gasolina Premium.",0.5327235164123718,71,05,08,2019
RICARDO SHEFFIELD PADILLA,"Y en el combustible diésel tenemos un margen de tres pesos con siete centavos que lo tiene Gabino Barrera Estrada en Churumuco, Michoacán, con un precio al público de 23 pesos con ocho centavos por litro; y el más económico en Nacajuca, Tabasco, 18 pesos con 99 centavos por litro, un margen de 45 centavos.",0.5327235164123718,55,05,08,2019
RICARDO SHEFFIELD PADILLA,"Y si vemos los promedios nacionales por marca, hemos estado viendo en los últimos dos meses como está muy plano ya. Quiere decir que en los promedios no hay una gran diferencia entre los más caros y los más económicos, pero aun así se han mantenido como los más caros en el país, Chevron, Redco y Arco, mientras se han mantenido como los más económicos Total, LaGas y Orsan; Pemex está en el medio de la tabla.",0.5327235164123718,77,05,08,2019
RICARDO SHEFFIELD PADILLA,"Y si vemos los trabajos realizados por la Profeco en materia de verificación, en esta semana que concluyó, atendimos mil 228 quejas presentadas por los consumidores en nuestra app. Por cierto, una gasolinera en la zona metropolitana de Guadalajara reunió casi 200 de esas mil 228 quejas; obviamente verificamos esta gasolinera y encontramos ahí descalibradas las bombas.",0.5327235164123718,57,05,08,2019
RICARDO SHEFFIELD PADILLA,"Son 459 visitas, una de esas visitas pues atendió casi 200 quejas de esta gasolinera en la zona metropolitana de Guadalajara, e inmovilizamos 30 bombas. Hubo cuatro gasolineras que no se dejaron verificar en esta semana: una en Puebla, Puebla; otra en Aguascalientes, Aguascalientes; otra más en Campeche, Campeche; y en Tecolotlán, Jalisco.",0.5327235164123718,53,05,08,2019
RICARDO SHEFFIELD PADILLA,"Por último, en relación a la app, comentarles que llevamos al momento 85 mil 790 descargas de la app, sigue creciendo ya de manera moderada después del arranque inicial. Y ya llevamos un poquito más de un mes de haber respondido a Apple por el sistema IOS algunas observaciones; sin embargo, todavía no tenemos disponible en Apple el sistema, esperemos que ya pronto no lo permitan tener disponible a los consumidores también del sistema IOS.",0.5327235164123718,75,05,08,2019
RICARDO SHEFFIELD PADILLA,"Y en la app el precio más bajo en todo el país se presenta en Centro, Tabasco, con un precio de 17 pesos con 40 centavos por litro de gasolina regular y la más cara 21.75 en La Paz Baja California Sur.",0.5327235164123718,42,05,08,2019
RICARDO SHEFFIELD PADILLA,"Mientras que en el combustible Premium tenemos el precio más bajo en el país, en Agua Dulce, Veracruz, a 18, 89 por litro; y el precio más alto en el país en Bahía de Banderas Nayarit con 23 pesos, 29 centavos por litro de Premium.",0.5327235164123718,45,05,08,2019
RICARDO SHEFFIELD PADILLA,"Y en diésel el precio más bajo 18,89 en Acajuca, Tabasco; y el más alto a 23 pesos con ocho centavos en Churumuco, Michoacán. Estos precios son sólo el más alto y el más bajo, como hacemos con más de 10 mil precios de servicios y productos en todo el país cada semana en Quién es quién en los precios.",0.5327235164123718,60,05,08,2019
RICARDO SHEFFIELD PADILLA,"En gas LP, en tanques estacionarios, el precio más alto 10 pesos con 78 centavos por litro, que se presenta en Servigas Guadiana, en Francisco I. Madero, Coahuila con un margen de 5 pesos 35 centavos por litro; mientras el más económico para tanques estacionarios está en Servigas S.A. de C. V. en Tarímbaro, Michoacán, con un precio al público de siete pesos 47 centavos por litro y un margen de dos pesos con 21 centavos por litro.",0.5327235164123718,78,05,08,2019
RICARDO SHEFFIELD PADILLA,"En los cilindros de gas que se vende por kilo, a 19, 97 el kilo, es el precio más alto que está en Servigas de Guadiana en Francisco I. Madero, Coahuila igual que el estacionario con un margen de nueve pesos 32 centavos; y Servigas de S.A de C.V. En Tarímbaro, Michocacán presenta el precio más bajo a 13 pesos con 84 centavos por kilo, un margen de tres pesos con 50 centavos.",0.5327235164123718,73,05,08,2019
RICARDO SHEFFIELD PADILLA,"Y en el tema de verificaciones a quienes expenden el gas LP, verificamos 34 expendedores, de ellos 10 recibieron infracciones y uno se negó a ser verificado.",0.5327235164123718,27,05,08,2019
RICARDO SHEFFIELD PADILLA,"Ya estamos preparando un operativo especial en el tema de Gas LP, porque ya hemos ido contando varias estaciones que no se han permitido verificar.",0.5327235164123718,25,05,08,2019
RICARDO SHEFFIELD PADILLA,"Vimos la calibración de 331 básculas y seis resultaron con problemas de calibración, fueron inmovilizadas, se inmovilizaron seis de 18 vehículos verificados, se inmovilizaron dos de 39 auto tanques verificados.",0.5327235164123718,30,05,08,2019
RICARDO SHEFFIELD PADILLA,"Y verificamos 19 lotes de cilindros, 648 en total de estos lotes, 15 se encontraron con problemas que representan inseguridad para los consumidores. Este es un porcentaje en promedio del dos por ciento.",0.5327235164123718,33,05,08,2019
RICARDO SHEFFIELD PADILLA,"Hemos visto una reducción muy significativa, lo cual implica que a raíz de que hemos estado observando y publicando los resultados en cilindros de gas se ha notado una baja muy significativa, andábamos cerca del 40 por ciento de cilindros de gas en mal estado.",0.5327235164123718,45,05,08,2019
RICARDO SHEFFIELD PADILLA,Quiere decir que sacaron de sus bodegas los expendedores los cilindros nuevos y los estamos viendo ya remplazados en el mercado.,0.5327235164123718,21,05,08,2019
RICARDO SHEFFIELD PADILLA,Muchas gracias.,0.5327235164123718,2,05,08,2019
RICARDO SHEFFIELD PADILLA," Por parte de Profeco, sobre todo en el Día del Niño, en el mes de abril, fin de año y Reyes, tenemos operativos especiales. Año con año destruimos varios miles de juguetes con apariencia de arma, solamente se permite la importación y venta de aquellos que por sus colores resulte evidente que son un juguete, pero cualquier otro que a distancia no se puede distinguir, nosotros lo decomisamos y lo destruimos.",0.5327235164123718,71,05,08,2019
RICARDO SHEFFIELD PADILLA,"Si nos pasa, por favor, la información de en donde está detectado, no tenemos ningún reporte especial en el Estado de México.",0.5327235164123718,22,05,08,2019
RICARDO SHEFFIELD PADILLA,Con mucho gusto hacemos un verificativo.,0.5327235164123718,6,05,08,2019
