Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.9384397760356878,2,6,8,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues el día de hoy vamos a informar sobre los lamentables sucesos, de la muerte, el fallecimiento de mexicanos en las balaceras de Estados Unidos, en particular lo que tiene que ver con el Paso, Texas. Va informar sobre este tema Marcelo Ebrard, secretario de Relaciones Exteriores.",0.050678142431712994,47,6,8,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y también vamos a informar sobre la próxima subasta del Instituto para Devolverle al Pueblo lo Robado, esta próxima subasta se va a llevar a cabo el domingo próximo.",0.1484490357610029,29,6,8,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Son los dos temas y luego abrimos la sesión de preguntas y respuestas.,0.18653353841422607,13,6,8,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, le pedimos a Marcelo que informe sobre el primer caso.",0.2744306743928294,11,6,8,2019
MARCELO EBRARD CASAUBON," Con su permiso, señor presidente.",0.323306212195259,5,6,8,2019
MARCELO EBRARD CASAUBON,"Buenos días a todas, a todos",0.8896628877580698,6,6,8,2019
MARCELO EBRARD CASAUBON,"Como es de su conocimiento, el día de ayer, por instrucciones del señor presidente de la República, me trasladé a la ciudad de El Paso, Texas y el informe que les puedo dar es el siguiente.",0.10669417511278328,36,6,8,2019
MARCELO EBRARD CASAUBON,"En primer lugar. Respecto a la atención inmediata a las familias el Consulado mexicano en El Paso estuvo en todo tiempo sábado, domingo, lunes, el día de ayer martes en contacto con las familias afectadas.",0.6925376281696553,35,6,8,2019
MARCELO EBRARD CASAUBON,"Tenemos desgraciadamente confirmado el fallecimiento de ocho personas, cuatro mujeres y cuatro hombres, originarios de la ciudad de Chihuahua una persona, dos de Ciudad Juárez, una de Aguascalientes, una Torreón, otra de Yepomera, Chihuahua, otra de Zacatecas, Zacatecas y finalmente Ciudad Juárez.",0.03887498093043803,42,6,8,2019
MARCELO EBRARD CASAUBON,"En total tres de Ciudad Juárez, una de la Ciudad de Chihuahua, otra de Yepomera, Chihuahua y tres fuera de Chihuahua, que son Aguascalientes, Torreón y Zacatecas.",0.7732643964055705,27,6,8,2019
MARCELO EBRARD CASAUBON,"Heridas y todavía en tratamiento tenemos seis y esperamos, de estas seis, tenemos en terapia intensiva o en estado delicado tres personas y tres en situación estable y fuera de riesgo. Este fue el reporte médico que ayer me entregaron en persona, esto en dos centros médicos en El Paso.",0.009591075738804593,50,6,8,2019
MARCELO EBRARD CASAUBON,"Y se han dado de alta dos personas, una de nueve años de edad, la más pequeña y la otra de 60 años de edad.",0.24881428384433812,25,6,8,2019
MARCELO EBRARD CASAUBON,"El día de ayer se liberaron los cuerpos de las ocho personas fallecidas, que fue una de las preocupaciones más grandes que teníamos por cuanto al tiempo, que muchas veces las víctimas de estos hechos tienen que invertir para recuperar el cuerpo de sus deudos.",0.031951847590263455,45,6,8,2019
MARCELO EBRARD CASAUBON,"El día de ayer se liberaron los cuerpos y tenemos ya el apoyo de los servicios funerarios, cinco no van a permanecer en la ciudad de Ciudad Juárez, sino en diferentes ciudades, y tres servicios funerarios se llevarán a cabo en Ciudad Juárez.",0.2734759684675387,43,6,8,2019
MARCELO EBRARD CASAUBON,"Tuve la oportunidad el día de ayer de conversar personalmente y expresarles la solidaridad y el afecto de todo México a cinco de las familias que tuvieron fallecidos, las otras tres no pude hablar con esas familias, pues por la situación en el momento que estaban el día de ayer recibiendo, o malas noticias o recuperando los cuerpos de sus deudos, pero el consulado sí tiene relación con todos.",0.5105093135145251,69,6,8,2019
MARCELO EBRARD CASAUBON,"Sin duda, es una de las tragedias más grandes que ha tocado vivir a las y a los mexicanos en territorio norteamericano. Recabamos testimonios muy impactantes de las personas que estuvieron ahí, detalles que hablan de maldad sin fin de esta persona, entrar a una tienda Walmart en un día de oferta para el regreso a clases, el Walmart lleno de familias, el tipo con toda sangre fría se puso una especie de audífono para no escuchar las detonaciones, ni los gritos de los heridos y literalmente entró y disparó a mansalva sobre las personas, sean estas de nueve años o bebes, o familias completas.",0.5317981883854072,105,6,8,2019
MARCELO EBRARD CASAUBON,"No creo exagerar si les digo que es la tragedia más grande que hemos visto. Y además el sujeto, con toda intención de atacar a mexicanas y mexicanos o personas de origen mexicano, porque esa tienda es una tienda muy conocida entre nuestra comunidad, que por cierto es una comunidad binacional. Binacional digo porque en Estados Unidos, en El Paso, la proporción de personas que son de origen mexicano o hispano es enorme, entonces, es una comunidad binacional, así me lo dijo ayer el alcalde, a quien también le externé nuestras condolencias y solidaridad.",0.5466831956614182,94,6,8,2019
MARCELO EBRARD CASAUBON,"Él ha sido muy claro respecto a las implicaciones que tiene esta agresión a la comunidad de Ciudad Juárez, El Paso, y fue muy claro también en sus intervenciones. Ayer tuvo también una conferencia de prensa después de hablar conmigo, que es una comunidad binacional y por lo tanto se entiende como una agresión a una comunidad binacional y, por lo tanto, es inaceptable, rechazable, desde cualquier punto de vista.",0.24506470902978958,70,6,8,2019
MARCELO EBRARD CASAUBON,"El día de ayer también ratifiqué, reiteré, la condena absoluta del gobierno y pueblo de México a los hechos, reiteré también, informé que el día de hoy proporcionaremos a la Fiscalía General de la República todos los elementos con los que contamos hasta este momento, a efecto de que pueda integrarse debidamente la carpeta de investigación que la fiscalía abrió desde que tuvo conocimiento de estos hechos.",0.03867753813362283,67,6,8,2019
MARCELO EBRARD CASAUBON,"Decimos que es un acto de terrorismo porque así está establecido en el Código Penal de México. Y el día de hoy habrá entrevista con el fiscal de distrito y diversas comunicaciones, porque en Estados Unidos procede, pero es una decisión de las autoridades norteamericanas el terrorismo denominado doméstico, que hoy por hoy es el principal riesgo, según nos dijeron diversas autoridades en los Estados Unidos, dentro del territorio de Estados Unidos. Corresponderá, entonces, a la Fiscalía General de la República iniciar el proceso legal correspondiente.",0.0067081606044065885,86,6,8,2019
MARCELO EBRARD CASAUBON,"Asimismo, les informo que estamos integrando la información correspondiente, necesaria, para que la fiscalía pueda participar debidamente de acuerdo a los convenios, tratados internacionales o acuerdos bilaterales en virtud del fallecimiento de ocho mexicanas y mexicanos; es decir, se busca que la Fiscalía General de la República tenga acceso a las investigaciones",0.026787797136342165,52,6,8,2019
MARCELO EBRARD CASAUBON,y en su momento al juicio correspondiente.,0.16895726182199808,7,6,8,2019
MARCELO EBRARD CASAUBON,"Y eso es muy relevante, por un lado, porque debemos garantizar que se haga justicia y también se debe participar y se debe tener información para respaldar a las víctimas, familiares de las víctimas de este acto terrorista, de esta tragedia.",0.5229534361301968,41,6,8,2019
MARCELO EBRARD CASAUBON,Nos preocupa que otras personas piensen igual que este sujeto. Queremos -y es algo indispensable hacer- participar en la investigación por parte de la Fiscalía General de la República con el auxilio de la secretaría a mi cargo para poder estimar si hay vínculos de otras personas con este sujeto y si efectivamente el manifiesto que se publicó es de su autoría.,0.009329296403724017,62,6,8,2019
MARCELO EBRARD CASAUBON,"Y todo esto se los externamos ayer a las autoridades norteamericanas. Debo decir que encontramos muy buena disposición, tan es así que ayer mismo liberaron los cuerpos de las ocho personas. Desde luego, la Fiscalía General de la República y nosotros mismos les mantendremos al tanto del avance de esto que acabo de describir.",0.5950559947424251,54,6,8,2019
MARCELO EBRARD CASAUBON,"Habrá también acción legal respecto al arma homicida, un arma de asalto. Sabemos que las leyes norteamericanas son muy permisivas. Me decían que incluso hasta a veces en las propias tiendas se venden armas, tipo Walmart, tipo esas tiendas.",0.5004362972271794,39,6,8,2019
MARCELO EBRARD CASAUBON,"Pero no obstante que conocemos esa circunstancia, es nuestra obligación iniciar el proceso legal correspondiente y va a ser un tema de perseverancia como muchas otras grandes causas que tenemos que defender. Esta es una causa central, porque perdieron la vidas mexicanas y mexicanos.",0.057549948318129145,44,6,8,2019
MARCELO EBRARD CASAUBON,"Entonces, lo que en otro momento yo podría darles como una opinión respetuosa, hoy en día es algo distinto. Nos asiste la razón y la ley.",0.47315976858595366,26,6,8,2019
MARCELO EBRARD CASAUBON,"Por último, decir que el día de ayer leímos con mucho interés y cuidado el pronunciamiento que se publicó por parte de la Presidencia de los Estados Unidos donde nos llamó la atención que por primera vez y de manera muy clara se condena al racismo y se establece que el supremacismo blanco es un riesgo e incluso se convoca a actuar en contra del racismo; por supuesto nosotros suscribimos eso plenamente y ojalá esa línea política avance en Estados Unidos.",0.5181745845920989,81,6,8,2019
MARCELO EBRARD CASAUBON,"Por último, decirles que hemos establecido contacto con los diferentes países que tenemos comunidades en los Estados Unidos para establecer una política de defensa y protección común.",0.28340083959023477,27,6,8,2019
MARCELO EBRARD CASAUBON,¿Defensa de qué?,0.541333260777616,3,6,8,2019
MARCELO EBRARD CASAUBON,"Pues nosotros tenemos que defender la civilización mexicana, nuestros valores, nuestra aportación, pero también tenemos que defender la lengua, la cultura, será el propósito de este encuentro o de esta acción conjunta en los próximos meses, respetando los ámbitos legales, porque no tenemos ninguna pretensión de intervenir en la vida interna de los Estados Unidos.",0.07388276058652708,55,6,8,2019
MARCELO EBRARD CASAUBON,"Esto sería el informe hasta aquí y con esto daría yo paso a lo que va a informar mi colega, y después vemos preguntas.",0.14365686891123164,24,6,8,2019
RICARDO RODRIGUEZ VARGAS," Buenos días. Con su venía, señor presidente.",0.4891475144229658,7,6,8,2019
RICARDO RODRIGUEZ VARGAS,Muy buenos días a todas y todos.,0.926123185901524,7,6,8,2019
RICARDO RODRIGUEZ VARGAS,El día de hoy vamos a dar a conocer la segunda subasta de bienes inmuebles en el Complejo Cultural Los Pinos como Instituto para Devolver al Pueblo lo Robado.,0.041872053667578256,29,6,8,2019
RICARDO RODRIGUEZ VARGAS,"Vamos a presentar las principales características de la subasta, así como un aviso. Consideramos de suma trascendencia hacia dónde se van a destinar los recursos que se obtengan, sobre todo de la venta de la casa que está en Lomas de Chapultepec que perteneció al ciudadano chino-mexicano Zhenli Ye Gon.",0.2513660406550283,50,6,8,2019
RICARDO RODRIGUEZ VARGAS,"Como les comento, la vamos a llevar el próximo domingo a las 12 del día, en lo que ya es costumbre para el Instituto para Devolver al Pueblo lo Robado, que es el Centro Cultural Los Pinos, por lo que ello representa es que estamos llevando ahí las subastas.",0.1481789524242481,49,6,8,2019
RICARDO RODRIGUEZ VARGAS,"Ustedes pueden ver, ahí está la casa-habitación, está valorada en 95 millones de pesos, se trata de una mansión estilo francés, situada en Lomas de Chapultepec, es una casa verdaderamente lujosa, ubicada en un terreno de mil 200 metros cuadrados, con una construcción de casi mil 600 metros.",0.007566544623614586,48,6,8,2019
RICARDO RODRIGUEZ VARGAS,"Tiene cuatro niveles, en el sótano se cuenta con un garaje y ahí hay o tenían una cava bastante amplia, ahí estaban botellas, tenían las botellas de vino, igual tiene un área que es destinada para una planta eléctrica de emergencia, dado que tiene un elevador, cuando se iba la luz hay una planta eléctrica, hay dos cuartos de lavado, cuartos de planchado, cuartos de servicio y cuarto de juegos en lo que sería el sótano. Ahí lo pueden ver, como les comentaba, es una mansión bastante lujosa.",0.16361191232485303,88,6,8,2019
RICARDO RODRIGUEZ VARGAS,"En la planta baja tiene un patio descubierto, un gran vestíbulo con escaleras palaciegas, también está una cocina que es amplísima, tiene unos refrigeradores que son bastantes famosos, Sub-Zero, vamos, bastante lujosa los interiores de la cocina.",0.9766994481028003,37,6,8,2019
RICARDO RODRIGUEZ VARGAS,"También tiene una alberca, en la alberca tiene un spa, tiene un sauna y tiene un domo que permite controlar la temperatura; en contraposición, en ese mismo piso también se tiene un spa dedicado especialmente para controlar la temperatura del ambiente.",0.7590683253221333,41,6,8,2019
RICARDO RODRIGUEZ VARGAS,"En la planta alta están las recamaras, cuatro de ellas con balcón descubierto, vestidor y un baño jacuzzi. Finalmente, en el último nivel se cuenta con un cuarto de baño y un gigantesco salón de entretenimiento con un bar con capacidad para 200 personas, estilo francés, como en la Bella Época y una terraza descubierta en el área de la azotea. Todos los acabados y los pisos son de mármol auténtico y cuenta, como les comentaba, con una planta de luz. Ahí pueden ver las características de la casa.",0.6638770284897928,89,6,8,2019
RICARDO RODRIGUEZ VARGAS,"Vamos a subastar 25 bienes inmuebles, de los cuales, de esos 25, cinco son de la fiscalía, uno de ellos es la casa; tenemos de otras entidades transferentes, que son el SAT, Ferronales, de Tesofe y de un fideicomiso que tenemos, Fiderca.",0.0034136104227548273,42,6,8,2019
RICARDO RODRIGUEZ VARGAS,"En total, son 234 millones el precio inicial, pero insistimos lo que es de suma trascendencia, y ahorita les comento por qué pongo tanto énfasis en la casa, sobre todo por el destino a donde se van a dar estos recursos.",0.150436457736448,41,6,8,2019
RICARDO RODRIGUEZ VARGAS,"Hemos tenido, el SAE ha puesto un módulo para atender a las personas que vayan a ver la casa, el módulo se encuentra afuera de la vivienda. Hemos recibido interés de diversos grupos. Les voy a comentar, algunos embajadores han ido a visitar la casa, porque para algunos es de interés adquirir la vivienda para poner la embajada.",0.2498542161804006,58,6,8,2019
