Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
FERNANDO CALVILLO ALVAREZ, Muy buenos días a todos.,0.32823650481604266,5,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Señor presidente, don Manuel Bartlett.",0.32823650481604266,5,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Celebramos que se alcance un acuerdo con CFE, el cual ha resultado fundamentalmente de la voluntad del diálogo. A lo largo de casi 25 años Fermaca ha invertido en el desarrollo de infraestructura energética de nuestro país y hoy refrendamos nuestro compromiso de ofrecer servicios que representen un mayor bienestar para los mexicanos.",0.32823650481604266,53,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Reconocemos la buena disposición del director general de la CFE, licenciado Manuel Bartlett; y del presidente de la República, don Andrés Manuel López Obrador, quien tomó este tema como una prioridad de su gobierno.",0.32823650481604266,34,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Asimismo, queremos agradecer al licenciado Antonio del Valle, presidente del Consejo Mexicano de Hombres de Negocios; y al ingeniero Carlos Salazar Lomelín, presidente del CCE.",0.32823650481604266,25,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Fermaca es una empresa mexicana que es respaldada por fondos de inversión internacionales, como bien lo mencionó don Manuel, fondos de pensiones y al menos una docena de bancos de inversión para la construcción de los gasoductos que operamos.",0.32823650481604266,39,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Este acuerdo generará importantes ahorros a la CFE que destinará para proyectos estratégicos para el desarrollo nacional y nos permite mantener la vigencia de nuestros contratos actuales. Asimismo, permitirá la entrada en operación de nuestro gasoducto La Laguna Aguascalientes, el cual cuenta con 453 kilómetros este mismo mes.",0.32823650481604266,48,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Los gasoductos de Fermaca constituyen la red troncal privada más importante para el abasto de gas natural, que suman dos mil 150 kilómetros desde la Cuenca de Guaje en Texas, con acceso al gas más barato del mundo.",0.32823650481604266,38,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Cuando nuestra red troncal esté terminada en el primer semestre del 2020, podremos suministrar gas natural al Norte, Occidente y Centro de México, garantizando así un futuro más próspero para nuestro país.",0.32823650481604266,32,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Refrendamos nuestro compromiso con México y con el anuncio, señor presidente, de una inversión de 12 mil millones de pesos adicionales a través de la expansión de nuestro sistema de gasoductos, y nuestro compromiso por apoyar cualquier esfuerzo para llevar gas natural al sureste del país.",0.32823650481604266,46,11,09,2019
FERNANDO CALVILLO ALVAREZ,Le reitero nuestro agradecimiento al señor presidente Andrés Manuel López Obrador.,0.32823650481604266,11,11,09,2019
FERNANDO CALVILLO ALVAREZ,Muchas gracias.,0.32823650481604266,2,11,09,2019
FERNANDO CALVILLO ALVAREZ," Fernando Calvillo, servidor de usted. Soy presidente del consejo de la empresa.",0.32823650481604266,12,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Por supuesto que hay confianza, todavía este año hemos estado invirtiendo la cantidad de casi 350 millones de dólares, tenemos absoluta confianza en el gobierno federal.",0.32823650481604266,26,11,09,2019
FERNANDO CALVILLO ALVAREZ,Y con los 12 mil millones de pesos adicionales que vamos a invertir estamos hablando de que Fermaca ha invertido en los últimos 15 años aquí en el país alrededor de tres mil 500 millones de dólares en toda su red de gasoductos.,0.32823650481604266,43,11,09,2019
FERNANDO CALVILLO ALVAREZ,"Como comentábamos, la idea es expandir el sistema para poder proveer de más gas, tanto a la CFE, como a las industrias mexicanas, y la idea es hacer una inversión muy importante este año en compresión para poder meter más a los ductos.",0.32823650481604266,43,11,09,2019
FERNANDO CALVILLO ALVAREZ," La verdad es que no hubo ningún titubeo, como siempre pues pueden existir diferencias y puntos de vista, pero yo creo que lo más importante es el diálogo; y la verdad es que el señor presidente convocó a que llegáramos a un arreglo. Y la verdad que con las discusiones y las negociaciones con don Manuel y su equipo la ampliación del plazo de los contratos, por supuesto que ayudó mucho para que las tarifas fueran competitivas.",0.32823650481604266,77,11,09,2019
FERNANDO CALVILLO ALVAREZ," Tiene inicio de operaciones este mes, este próximo viernes y el Villa de Reyes, Guadalajara para marzo del próximo año.",0.32823650481604266,20,11,09,2019
