Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.32823650481604266,2,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, el día de hoy vamos a tratar sobre la investigación que se está llevando a cabo para saber el paradero de los 43 jóvenes de la normal de Ayotzinapa.",0.32823650481604266,30,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hemos estado en reunión con los padres, con las mamás, con los papás de los jóvenes, hemos estado varias veces en comunicación con ellos.",0.32823650481604266,24,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos el compromiso de encontrar a los jóvenes, no hay ningún obstáculo, ninguna limitación, está participando la Secretaría de la Defensa, presentando información, las instalaciones que no se permitía visitar se han abierto a los padres, a los abogados, a los investigadores.",0.32823650481604266,42,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Y ahora vamos a informar sobre el estado que guarda la investigación.,0.32823650481604266,12,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ofrecí en la última entrevista que sostuvimos con los padres que me iba yo a poner el día de hoy, y lo mismo Alejandro, esta playera, y estoy cumpliendo con eso.",0.32823650481604266,31,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Ellos me entregaron esta playera y me pidieron que me la pusiera y estoy por eso así.,0.32823650481604266,17,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es un asunto fundamental para el gobierno de la República el que podamos esclarecer los hechos, encontrar a los jóvenes desaparecidos y hacer justicia.",0.32823650481604266,24,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"No hay, repito, ninguna limitante, no hay impunidad para nadie y se está trabajando en colaboración con la Fiscalía General de la República.",0.32823650481604266,23,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y yo espero que se tengan pronto resultados, porque se están atendiendo las cosas bien, se está trabajando de manera profesional, y ahora Alejandro va a informarnos.",0.32823650481604266,27,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y, guardando el respeto por la autonomía de la fiscalía, se invitó también al fiscal del caso para que nos informe a todos sobre cómo va este proceso de investigación.",0.32823650481604266,30,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a empezar con Alejandro, que él nos informe.",0.32823650481604266,10,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Hago el compromiso con ustedes, voy a tomar posesión y voy a emitir un decreto para que se lleve a cabo la investigación.",0.32823650481604266,23,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, este es el tema de hoy.",0.32823650481604266,7,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Abrimos para preguntas.,0.32823650481604266,3,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, como epílogo de esta comparecencia, de este informe, decir que hay voluntad del gobierno de la República para esclarecer estos hechos, conocer la verdad, encontrar a los jóvenes y que haya justicia.",0.32823650481604266,33,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos una gran ventaja, no hay impunidad, eso es importantísimo, porque cuando se trata de crímenes de Estado es muy difícil llegar a la verdad si se mantiene el acuerdo de que impere la versión del Estado, pero cuando no hay impunidad todo el gobierno de la República, el Estado mexicano, actúa para conocer los hechos.",0.32823650481604266,56,26,09,2019
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hablamos de cómo está participado el Ejército y están participando todas las instituciones, y no hay ningún obstáculo para contar con investigadores, observadores internacionales, están las puertas abiertas del país para ayudar a esclarecer este asunto.",0.32823650481604266,36,26,09,2019
